show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,duration_min,seasons,primary_genre
s100037,Movie,Title 0038,Unknown,Unknown,United States,2012-12-21,2012,TV-14,70 min,International TV Shows,A Netflix title used for portfolio analytics.,2012,12,70.0,,International TV Shows
s100038,Movie,Title 0039,Director A,"Actor A, Actor B",France,2011-10-06,1981,TV-MA,112 min,Kids' TV,A Netflix title used for portfolio analytics.,2011,10,112.0,,Kids' TV
s100039,Movie,Title 0040,Unknown,Unknown,United States,2018-06-23,2019,TV-PG,123 min,International Movies,A Netflix title used for portfolio analytics.,2018,6,123.0,,International Movies
s100040,Movie,Title 0041,Director S,Unknown,India,2020-11-30,1999,UR,99 min,Kids' TV,A Netflix title used for portfolio analytics.,2020,11,99.0,,Kids' TV
s100041,Movie,Title 0042,Unknown,Unknown,United States,2015-09-29,2016,TV-MA,112 min,"Kids' TV, Stand-Up Comedy, Thrillers",A Netflix title used for portfolio analytics.,2015,9,112.0,,Kids' TV
s100042,Movie,Title 0043,Unknown,Unknown,United Kingdom,2016-11-27,1989,TV-MA,88 min,Documentaries,A Netflix title used for portfolio analytics.,2016,11,88.0,,Documentaries
s100043,Movie,Title 0044,Unknown,Unknown,India,2013-12-29,2014,TV-MA,114 min,"Dramas, TV Dramas",A Netflix title used for portfolio analytics.,2013,12,114.0,,Dramas
s100044,Movie,Title 0045,Unknown,Unknown,United States,2011-02-04,2008,PG,119 min,TV Dramas,A Netflix title used for portfolio analytics.,2011,2,119.0,,TV Dramas
s100045,TV Show,Title 0046,Director B,Unknown,Unknown,2020-12-25,2013,G,2 Seasons,Dramas,A Netflix title used for portfolio analytics.,2020,12,,2.0,Dramas
s100046,Movie,Title 0047,Unknown,Unknown,India,2019-09-05,2003,TV-G,76 min,TV Comedies,A Netflix title used for portfolio analytics.,2019,9,76.0,,TV Comedies
s100047,TV Show,Title 0048,Unknown,Unknown,Brazil,2019-01-01,2002,TV-MA,1 Season,"TV Dramas, Thrillers",A Netflix title used for portfolio analytics.,2019,1,,1.0,TV Dramas
s100048,Movie,Title 0049,Unknown,Unknown,Canada,2008-05-09,2002,TV-14,84 min,Horror Movies,A Netflix title used for portfolio analytics.,2008,5,84.0,,Horror Movies
s100049,TV Show,Title 0050,Unknown,"Actor A, Actor B",United States,2013-12-14,1990,PG-13,3 Seasons,Horror Movies,A Netflix title used for portfolio analytics.,2013,12,,3.0,Horror Movies
s100050,Movie,Title 0051,Director I,"Actor A, Actor B","South Korea, Japan",2008-04-24,2006,TV-MA,75 min,International TV Shows,A Netflix title used for portfolio analytics.,2008,4,75.0,,International TV Shows
s100051,Movie,Title 0052,Director U,Unknown,Unknown,2017-10-14,2017,TV-Y7,59 min,"International Movies, TV Dramas",A Netflix title used for portfolio analytics.,2017,10,59.0,,International Movies
s100052,Movie,Title 0053,Unknown,Unknown,Unknown,2014-02-07,2002,TV-14,129 min,"TV Dramas, Thrillers",A Netflix title used for portfolio analytics.,2014,2,129.0,,TV Dramas
s100053,Movie,Title 0054,Unknown,"Actor A, Actor B",Thailand,2011-04-11,2003,TV-MA,89 min,Dramas,A Netflix title used for portfolio analytics.,2011,4,89.0,,Dramas
s100054,Movie,Title 0055,Director J,Unknown,United States,2019-11-01,1977,TV-MA,98 min,Romantic Movies,A Netflix title used for portfolio analytics.,2019,11,98.0,,Romantic Movies
s100055,Movie,Title 0056,Unknown,Unknown,Germany,2018-03-31,1998,TV-Y,107 min,TV Comedies,A Netflix title used for portfolio analytics.,2018,3,107.0,,TV Comedies
s100056,Movie,Title 0057,Unknown,Unknown,"Spain, Australia",2014-01-06,1975,TV-MA,77 min,Comedies,A Netflix title used for portfolio analytics.,2014,1,77.0,,Comedies
s100057,TV Show,Title 0058,Unknown,Unknown,Spain,2008-05-15,2004,UR,4 Seasons,International TV Shows,A Netflix title used for portfolio analytics.,2008,5,,4.0,International TV Shows
s100058,Movie,Title 0059,Unknown,Unknown,India,2019-06-19,2011,TV-MA,127 min,International Movies,A Netflix title used for portfolio analytics.,2019,6,127.0,,International Movies
s100059,TV Show,Title 0060,Director M,Unknown,Canada,2008-03-13,2014,PG,2 Seasons,"Kids' TV, TV Comedies",A Netflix title used for portfolio analytics.,2008,3,,2.0,Kids' TV
s100060,TV Show,Title 0061,Unknown,Unknown,United Kingdom,2016-02-14,2013,TV-14,4 Seasons,Romantic Movies,A Netflix title used for portfolio analytics.,2016,2,,4.0,Romantic Movies
s100061,Movie,Title 0062,Unknown,Unknown,Japan,2018-08-04,2006,TV-Y7,112 min,Horror Movies,A Netflix title used for portfolio analytics.,2018,8,112.0,,Horror Movies
s100062,Movie,Title 0063,Director E,Unknown,Japan,2009-08-04,2016,TV-Y7,52 min,Kids' TV,A Netflix title used for portfolio analytics.,2009,8,52.0,,Kids' TV
s100063,Movie,Title 0064,Director W,"Actor A, Actor B",United States,2011-06-12,2010,TV-Y7,82 min,Thrillers,A Netflix title used for portfolio analytics.,2011,6,82.0,,Thrillers
s100064,Movie,Title 0065,Director N,Unknown,United States,2020-03-20,2013,TV-MA,78 min,TV Comedies,A Netflix title used for portfolio analytics.,2020,3,78.0,,TV Comedies
s100065,Movie,Title 0066,Director M,Unknown,South Korea,2011-06-13,1989,TV-MA,92 min,Action & Adventure,A Netflix title used for portfolio analytics.,2011,6,92.0,,Action & Adventure
s100066,TV Show,Title 0067,Unknown,Unknown,Japan,2013-09-27,2001,UR,3 Seasons,Dramas,A Netflix title used for portfolio analytics.,2013,9,,3.0,Dramas
s100067,TV Show,Title 0068,Unknown,Unknown,United Kingdom,2009-03-13,2009,R,4 Seasons,Horror Movies,A Netflix title used for portfolio analytics.,2009,3,,4.0,Horror Movies
s100068,TV Show,Title 0069,Director Q,"Actor A, Actor B",United States,2016-06-12,2000,TV-MA,4 Seasons,"Comedies, Romantic Movies",A Netflix title used for portfolio analytics.,2016,6,,4.0,Comedies
s100069,Movie,Title 0070,Director S,"Actor A, Actor B","United States, Spain",2018-06-24,1992,TV-14,98 min,"Dramas, Thrillers",A Netflix title used for portfolio analytics.,2018,6,98.0,,Dramas
s100070,TV Show,Title 0071,Director O,Unknown,Canada,2008-09-10,2005,TV-Y7,2 Seasons,Horror Movies,A Netflix title used for portfolio analytics.,2008,9,,2.0,Horror Movies
s100071,Movie,Title 0072,Director W,"Actor A, Actor B",United States,2010-04-26,2015,TV-MA,80 min,"International Movies, Stand-Up Comedy",A Netflix title used for portfolio analytics.,2010,4,80.0,,International Movies
s100072,Movie,Title 0073,Director W,Unknown,United States,2018-02-02,2012,R,134 min,International Movies,A Netflix title used for portfolio analytics.,2018,2,134.0,,International Movies
s100073,Movie,Title 0074,Unknown,"Actor A, Actor B",United States,2010-06-07,1991,TV-MA,86 min,"Kids' TV, TV Comedies",A Netflix title used for portfolio analytics.,2010,6,86.0,,Kids' TV
s100074,TV Show,Title 0075,Director B,Unknown,United Kingdom,2008-06-07,2001,TV-14,3 Seasons,Documentaries,A Netflix title used for portfolio analytics.,2008,6,,3.0,Documentaries
s100075,Movie,Title 0076,Unknown,Unknown,India,2010-06-07,1975,R,94 min,Action & Adventure,A Netflix title used for portfolio analytics.,2010,6,94.0,,Action & Adventure
s100076,Movie,Title 0077,Director H,"Actor A, Actor B",Spain,2019-08-21,2000,TV-14,110 min,Action & Adventure,A Netflix title used for portfolio analytics.,2019,8,110.0,,Action & Adventure
s100077,Movie,Title 0078,Unknown,Unknown,"United Kingdom, Mexico",2015-07-19,2001,PG-13,130 min,Comedies,A Netflix title used for portfolio analytics.,2015,7,130.0,,Comedies
s100078,Movie,Title 0079,Unknown,Unknown,"Germany, Spain",2014-09-04,1989,TV-14,75 min,"Comedies, Kids' TV",A Netflix title used for portfolio analytics.,2014,9,75.0,,Comedies
s100079,Movie,Title 0080,Unknown,Unknown,Turkey,2009-07-06,2013,R,78 min,"Action & Adventure, International Movies",A Netflix title used for portfolio analytics.,2009,7,78.0,,Action & Adventure
s100080,Movie,Title 0081,Director Y,Unknown,United States,2018-12-21,1980,TV-14,89 min,"Horror Movies, Thrillers",A Netflix title used for portfolio analytics.,2018,12,89.0,,Horror Movies
s100081,Movie,Title 0082,Unknown,Unknown,"United States, Spain",2020-05-21,1984,TV-14,84 min,Documentaries,A Netflix title used for portfolio analytics.,2020,5,84.0,,Documentaries
s100082,Movie,Title 0083,Unknown,Unknown,"United Kingdom, Canada",2008-05-18,2009,TV-14,104 min,"Horror Movies, TV Comedies",A Netflix title used for portfolio analytics.,2008,5,104.0,,Horror Movies
s100083,TV Show,Title 0084,Unknown,"Actor A, Actor B",United States,2010-12-05,2006,TV-MA,6 Seasons,TV Comedies,A Netflix title used for portfolio analytics.,2010,12,,6.0,TV Comedies
s100084,TV Show,Title 0085,Unknown,"Actor A, Actor B","Italy, South Korea",2013-07-25,1995,TV-MA,3 Seasons,"Documentaries, Dramas",A Netflix title used for portfolio analytics.,2013,7,,3.0,Documentaries
s100085,Movie,Title 0086,Unknown,Unknown,India,2017-09-05,2010,PG-13,102 min,"Action & Adventure, TV Dramas",A Netflix title used for portfolio analytics.,2017,9,102.0,,Action & Adventure
s100086,Movie,Title 0087,Unknown,Unknown,Germany,2011-03-22,1985,TV-MA,92 min,International TV Shows,A Netflix title used for portfolio analytics.,2011,3,92.0,,International TV Shows
s100087,TV Show,Title 0088,Director F,"Actor A, Actor B",United States,2013-01-04,2010,TV-MA,4 Seasons,Kids' TV,A Netflix title used for portfolio analytics.,2013,1,,4.0,Kids' TV
s100088,TV Show,Title 0089,Unknown,"Actor A, Actor B",India,2018-09-03,2016,TV-Y,6 Seasons,"Documentaries, Romantic Movies",A Netflix title used for portfolio analytics.,2018,9,,6.0,Documentaries
s100089,Movie,Title 0090,Director B,Unknown,United States,2012-06-16,2018,TV-MA,99 min,Kids' TV,A Netflix title used for portfolio analytics.,2012,6,99.0,,Kids' TV
s100090,TV Show,Title 0091,Unknown,Unknown,United States,2018-11-21,2015,TV-MA,3 Seasons,Thrillers,A Netflix title used for portfolio analytics.,2018,11,,3.0,Thrillers
s100091,TV Show,Title 0092,Unknown,"Actor A, Actor B",Australia,2013-05-07,2009,R,2 Seasons,"Comedies, Romantic Movies",A Netflix title used for portfolio analytics.,2013,5,,2.0,Comedies
s100092,Movie,Title 0093,Unknown,"Actor A, Actor B","South Korea, Italy",2017-12-12,2016,TV-14,134 min,"Comedies, TV Dramas",A Netflix title used for portfolio analytics.,2017,12,134.0,,Comedies
s100093,TV Show,Title 0094,Unknown,Unknown,United States,2010-06-18,1996,PG-13,2 Seasons,"International Movies, International TV Shows",A Netflix title used for portfolio analytics.,2010,6,,2.0,International Movies
s100094,Movie,Title 0095,Director G,Unknown,United Kingdom,2009-07-02,2017,R,69 min,Action & Adventure,A Netflix title used for portfolio analytics.,2009,7,69.0,,Action & Adventure
s100095,Movie,Title 0096,Unknown,"Actor A, Actor B",United States,2009-11-05,2009,R,109 min,"Comedies, Horror Movies, Romantic Movies",A Netflix title used for portfolio analytics.,2009,11,109.0,,Comedies
s100096,TV Show,Title 0097,Director J,Unknown,France,2009-04-08,2004,R,7 Seasons,"Kids' TV, Romantic Movies",A Netflix title used for portfolio analytics.,2009,4,,7.0,Kids' TV
s100097,TV Show,Title 0098,Unknown,"Actor A, Actor B",United States,2020-12-15,2016,TV-MA,5 Seasons,TV Comedies,A Netflix title used for portfolio analytics.,2020,12,,5.0,TV Comedies
s100098,Movie,Title 0099,Director K,Unknown,Mexico,2013-03-01,2010,TV-PG,83 min,Horror Movies,A Netflix title used for portfolio analytics.,2013,3,83.0,,Horror Movies
s100099,Movie,Title 0100,Unknown,"Actor A, Actor B","United Kingdom, Turkey",2008-06-24,2009,TV-14,74 min,"Horror Movies, Stand-Up Comedy",A Netflix title used for portfolio analytics.,2008,6,74.0,,Horror Movies
s100100,Movie,Title 0101,Unknown,"Actor A, Actor B",United States,2013-12-24,2002,PG-13,109 min,Action & Adventure,A Netflix title used for portfolio analytics.,2013,12,109.0,,Action & Adventure
s100101,Movie,Title 0102,Unknown,Unknown,United States,2014-07-18,1985,TV-14,94 min,Horror Movies,A Netflix title used for portfolio analytics.,2014,7,94.0,,Horror Movies
s100102,TV Show,Title 0103,Director U,Unknown,Turkey,2010-07-14,1997,TV-MA,4 Seasons,"International Movies, Kids' TV",A Netflix title used for portfolio analytics.,2010,7,,4.0,International Movies
s100103,Movie,Title 0104,Director D,Unknown,United States,2010-07-27,2004,TV-MA,115 min,"Documentaries, International Movies",A Netflix title used for portfolio analytics.,2010,7,115.0,,Documentaries
s100104,Movie,Title 0105,Director G,Unknown,United States,2010-10-22,1985,TV-14,96 min,"Dramas, Stand-Up Comedy, TV Comedies",A Netflix title used for portfolio analytics.,2010,10,96.0,,Dramas
s100105,TV Show,Title 0106,Unknown,Unknown,United States,2015-07-13,1990,TV-MA,1 Season,Action & Adventure,A Netflix title used for portfolio analytics.,2015,7,,1.0,Action & Adventure
s100106,TV Show,Title 0107,Unknown,"Actor A, Actor B",Australia,2015-09-12,2011,TV-14,5 Seasons,Thrillers,A Netflix title used for portfolio analytics.,2015,9,,5.0,Thrillers
s100107,TV Show,Title 0108,Director F,Unknown,United States,2012-06-12,1998,TV-MA,2 Seasons,International Movies,A Netflix title used for portfolio analytics.,2012,6,,2.0,International Movies
s100108,Movie,Title 0109,Director V,Unknown,"India, Italy",2009-12-26,2006,TV-14,113 min,"Comedies, Documentaries",A Netflix title used for portfolio analytics.,2009,12,113.0,,Comedies
s100109,Movie,Title 0110,Director Z,Unknown,United States,2016-03-01,2017,UR,88 min,Romantic Movies,A Netflix title used for portfolio analytics.,2016,3,88.0,,Romantic Movies
s100110,Movie,Title 0111,Unknown,Unknown,Canada,2017-08-03,2015,TV-Y7,100 min,Documentaries,A Netflix title used for portfolio analytics.,2017,8,100.0,,Documentaries
s100111,Movie,Title 0112,Director F,Unknown,Mexico,2016-05-23,2007,R,108 min,Action & Adventure,A Netflix title used for portfolio analytics.,2016,5,108.0,,Action & Adventure
s100112,Movie,Title 0113,Unknown,"Actor A, Actor B",United States,2014-07-04,2009,TV-MA,110 min,"Kids' TV, Stand-Up Comedy",A Netflix title used for portfolio analytics.,2014,7,110.0,,Kids' TV
s100113,Movie,Title 0114,Unknown,Unknown,Unknown,2018-09-06,2000,TV-14,92 min,"Dramas, International Movies",A Netflix title used for portfolio analytics.,2018,9,92.0,,Dramas
s100114,TV Show,Title 0115,Director F,"Actor A, Actor B",United States,2011-11-22,1994,TV-14,3 Seasons,"International TV Shows, TV Comedies, Thrillers",A Netflix title used for portfolio analytics.,2011,11,,3.0,International TV Shows
s100115,TV Show,Title 0116,Unknown,Unknown,India,2008-01-11,1987,TV-MA,4 Seasons,"Horror Movies, TV Dramas",A Netflix title used for portfolio analytics.,2008,1,,4.0,Horror Movies
s100116,Movie,Title 0117,Unknown,Unknown,Australia,2019-01-16,2008,PG,76 min,Documentaries,A Netflix title used for portfolio analytics.,2019,1,76.0,,Documentaries
s100117,Movie,Title 0118,Director X,"Actor A, Actor B","Nigeria, United States",2015-09-16,1988,TV-14,95 min,Kids' TV,A Netflix title used for portfolio analytics.,2015,9,95.0,,Kids' TV
s100118,Movie,Title 0119,Unknown,"Actor A, Actor B",United States,2013-07-04,2003,TV-MA,134 min,TV Comedies,A Netflix title used for portfolio analytics.,2013,7,134.0,,TV Comedies
s100119,Movie,Title 0120,Unknown,"Actor A, Actor B",United States,2017-11-13,1984,TV-PG,111 min,"International TV Shows, Romantic Movies",A Netflix title used for portfolio analytics.,2017,11,111.0,,International TV Shows
s100120,Movie,Title 0121,Unknown,Unknown,Nigeria,2011-06-21,2012,TV-MA,153 min,Dramas,A Netflix title used for portfolio analytics.,2011,6,153.0,,Dramas
s100121,Movie,Title 0122,Unknown,"Actor A, Actor B","Nigeria, Australia",2015-07-20,1997,PG-13,109 min,International TV Shows,A Netflix title used for portfolio analytics.,2015,7,109.0,,International TV Shows
s100122,Movie,Title 0123,Unknown,"Actor A, Actor B",India,2020-03-10,1999,TV-14,120 min,"Dramas, Thrillers",A Netflix title used for portfolio analytics.,2020,3,120.0,,Dramas
s100123,TV Show,Title 0124,Unknown,Unknown,United Kingdom,2019-05-01,2012,R,6 Seasons,Documentaries,A Netflix title used for portfolio analytics.,2019,5,,6.0,Documentaries
s100124,TV Show,Title 0125,Unknown,"Actor A, Actor B",Unknown,2010-03-11,1991,TV-14,3 Seasons,TV Dramas,A Netflix title used for portfolio analytics.,2010,3,,3.0,TV Dramas
s100125,Movie,Title 0126,Director I,Unknown,Brazil,2010-11-20,1983,NR,122 min,"Action & Adventure, TV Comedies",A Netflix title used for portfolio analytics.,2010,11,122.0,,Action & Adventure
s100126,Movie,Title 0127,Unknown,Unknown,India,2018-05-06,1999,TV-MA,75 min,TV Comedies,A Netflix title used for portfolio analytics.,2018,5,75.0,,TV Comedies
s100127,TV Show,Title 0128,Director U,Unknown,United States,2008-08-14,1999,TV-Y7,3 Seasons,"Action & Adventure, International TV Shows",A Netflix title used for portfolio analytics.,2008,8,,3.0,Action & Adventure
s100128,TV Show,Title 0129,Unknown,"Actor A, Actor B","Australia, Japan",2010-05-19,2016,TV-MA,3 Seasons,International TV Shows,A Netflix title used for portfolio analytics.,2010,5,,3.0,International TV Shows
s100129,Movie,Title 0130,Director P,"Actor A, Actor B","United States, Spain",2017-10-09,1991,TV-MA,96 min,TV Dramas,A Netflix title used for portfolio analytics.,2017,10,96.0,,TV Dramas
s100130,Movie,Title 0131,Unknown,Unknown,United States,2019-08-30,1995,UR,110 min,International Movies,A Netflix title used for portfolio analytics.,2019,8,110.0,,International Movies
s100131,TV Show,Title 0132,Director O,Unknown,India,2008-03-22,2009,TV-14,5 Seasons,"International Movies, TV Comedies",A Netflix title used for portfolio analytics.,2008,3,,5.0,International Movies
s100132,TV Show,Title 0133,Unknown,"Actor A, Actor B",Canada,2016-06-20,2003,TV-14,2 Seasons,TV Comedies,A Netflix title used for portfolio analytics.,2016,6,,2.0,TV Comedies
s100133,Movie,Title 0134,Unknown,Unknown,United States,2020-08-06,1985,TV-MA,93 min,TV Dramas,A Netflix title used for portfolio analytics.,2020,8,93.0,,TV Dramas
s100134,Movie,Title 0135,Unknown,Unknown,"Brazil, India",2014-09-08,2005,TV-G,128 min,Action & Adventure,A Netflix title used for portfolio analytics.,2014,9,128.0,,Action & Adventure
s100135,TV Show,Title 0136,Director Y,Unknown,Australia,2020-11-29,2013,TV-14,4 Seasons,TV Dramas,A Netflix title used for portfolio analytics.,2020,11,,4.0,TV Dramas
s100136,TV Show,Title 0137,Director Y,Unknown,South Korea,2008-06-27,2016,TV-PG,5 Seasons,International TV Shows,A Netflix title used for portfolio analytics.,2008,6,,5.0,International TV Shows
s100137,Movie,Title 0138,Director P,Unknown,United States,2008-08-10,1998,R,137 min,Comedies,A Netflix title used for portfolio analytics.,2008,8,137.0,,Comedies
s100138,Movie,Title 0139,Unknown,Unknown,Nigeria,2014-09-02,2001,TV-MA,77 min,Comedies,A Netflix title used for portfolio analytics.,2014,9,77.0,,Comedies
s100139,TV Show,Title 0140,Unknown,Unknown,Turkey,2015-01-06,1999,R,4 Seasons,TV Dramas,A Netflix title used for portfolio analytics.,2015,1,,4.0,TV Dramas
s100140,Movie,Title 0141,Director B,Unknown,Turkey,2008-06-02,2011,TV-MA,104 min,Romantic Movies,A Netflix title used for portfolio analytics.,2008,6,104.0,,Romantic Movies
s100141,Movie,Title 0142,Director Q,"Actor A, Actor B",United States,2008-06-01,2010,R,124 min,Action & Adventure,A Netflix title used for portfolio analytics.,2008,6,124.0,,Action & Adventure
s100142,Movie,Title 0143,Unknown,"Actor A, Actor B",United States,2010-08-15,2012,TV-14,120 min,TV Comedies,A Netflix title used for portfolio analytics.,2010,8,120.0,,TV Comedies
s100143,Movie,Title 0144,Director Z,"Actor A, Actor B",United States,2010-09-04,2015,TV-MA,96 min,"Comedies, Horror Movies",A Netflix title used for portfolio analytics.,2010,9,96.0,,Comedies
s100144,TV Show,Title 0145,Unknown,"Actor A, Actor B",India,2020-04-04,2017,TV-14,2 Seasons,Horror Movies,A Netflix title used for portfolio analytics.,2020,4,,2.0,Horror Movies
s100145,Movie,Title 0146,Unknown,"Actor A, Actor B","United States, Australia",2019-04-26,2014,TV-MA,109 min,International TV Shows,A Netflix title used for portfolio analytics.,2019,4,109.0,,International TV Shows
s100146,Movie,Title 0147,Unknown,Unknown,India,2020-01-30,1992,TV-14,90 min,Kids' TV,A Netflix title used for portfolio analytics.,2020,1,90.0,,Kids' TV
s100147,Movie,Title 0148,Director Z,"Actor A, Actor B",United States,2015-04-10,1987,TV-PG,103 min,International Movies,A Netflix title used for portfolio analytics.,2015,4,103.0,,International Movies
