show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s100026,Movie,Title 0027,Director J,"Actor A, Actor B",United States,2011-07-21,2008,PG-13,73 min,"Action & Adventure, International TV Shows",A Netflix title used for portfolio analytics.
s100027,TV Show,Title 0028,Director A,Unknown,"Australia, Italy",2018-12-16,1979,TV-14,4 Seasons,Comedies,A Netflix title used for portfolio analytics.
s100028,Movie,Title 0029,Director F,"Actor A, Actor B","Turkey, Canada",2012-02-13,1991,TV-G,61 min,"Documentaries, Dramas",A Netflix title used for portfolio analytics.
s100029,Movie,Title 0030,Unknown,Unknown,South Korea,2010-09-29,2000,TV-MA,127 min,International TV Shows,A Netflix title used for portfolio analytics.
s100030,Movie,Title 0031,Unknown,Unknown,Spain,2016-07-15,2013,TV-MA,104 min,Romantic Movies,A Netflix title used for portfolio analytics.
s100031,Movie,Title 0032,Unknown,Unknown,United States,2016-12-23,2015,PG-13,149 min,Comedies,A Netflix title used for portfolio analytics.
s100032,Movie,Title 0033,Unknown,"Actor A, Actor B",United States,2018-03-10,2016,TV-MA,110 min,Documentaries,A Netflix title used for portfolio analytics.
s100033,Movie,Title 0034,Director J,Unknown,United States,2011-02-19,2004,TV-MA,78 min,Dramas,A Netflix title used for portfolio analytics.
s100034,Movie,Title 0035,Unknown,Unknown,United States,2016-09-06,2015,TV-14,110 min,Horror Movies,A Netflix title used for portfolio analytics.
s100035,TV Show,Title 0036,Director B,Unknown,United States,2014-03-23,1999,TV-Y7,3 Seasons,Kids' TV,A Netflix title used for portfolio analytics.
s100036,TV Show,Title 0037,Unknown,"Actor A, Actor B","South Korea, Germany",2018-12-26,1993,TV-14,2 Seasons,Romantic Movies,A Netflix title used for portfolio analytics.
s100037,Movie,Title 0038,Unknown,Unknown,United States,2012-12-21,2012,TV-14,70 min,International TV Shows,A Netflix title used for portfolio analytics.
s100038,Movie,Title 0039,Director A,"Actor A, Actor B",France,2011-10-06,1981,TV-MA,112 min,Kids' TV,A Netflix title used for portfolio analytics.
s100039,Movie,Title 0040,Unknown,Unknown,United States,2018-06-23,2019,TV-PG,123 min,International Movies,A Netflix title used for portfolio analytics.
s100040,Movie,Title 0041,Director S,Unknown,India,2020-11-30,1999,UR,99 min,Kids' TV,A Netflix title used for portfolio analytics.
s100041,Movie,Title 0042,Unknown,Unknown,United States,2015-09-29,2016,TV-MA,112 min,"Kids' TV, Stand-Up Comedy, Thrillers",A Netflix title used for portfolio analytics.
s100042,Movie,Title 0043,Unknown,Unknown,United Kingdom,2016-11-27,1989,TV-MA,88 min,Documentaries,A Netflix title used for portfolio analytics.
s100043,Movie,Title 0044,Unknown,Unknown,India,2013-12-29,2014,TV-MA,114 min,"Dramas, TV Dramas",A Netflix title used for portfolio analytics.
s100044,Movie,Title 0045,Unknown,Unknown,United States,2011-02-04,2008,PG,119 min,TV Dramas,A Netflix title used for portfolio analytics.
s100045,TV Show,Title 0046,Director B,Unknown,,2020-12-25,2013,G,2 Seasons,Dramas,A Netflix title used for portfolio analytics.
s100046,Movie,Title 0047,Unknown,Unknown,India,2019-09-05,2003,TV-G,76 min,TV Comedies,A Netflix title used for portfolio analytics.
s100047,TV Show,Title 0048,Unknown,Unknown,Brazil,,2002,TV-MA,,"TV Dramas, Thrillers",A Netflix title used for portfolio analytics.
s100048,Movie,Title 0049,Unknown,Unknown,Canada,2008-05-09,2002,TV-14,84 min,Horror Movies,A Netflix title used for portfolio analytics.
s100049,TV Show,Title 0050,Unknown,"Actor A, Actor B",United States,2013-12-14,1990,PG-13,3 Seasons,Horror Movies,A Netflix title used for portfolio analytics.
s100050,Movie,Title 0051,Director I,"Actor A, Actor B","South Korea, Japan",2008-04-24,2006,TV-MA,75 min,International TV Shows,A Netflix title used for portfolio analytics.
s100051,Movie,Title 0052,Director U,Unknown,,2017-10-14,2017,TV-Y7,59 min,"International Movies, TV Dramas",A Netflix title used for portfolio analytics.
s100052,Movie,Title 0053,Unknown,Unknown,,2014-02-07,2002,TV-14,129 min,"TV Dramas, Thrillers",A Netflix title used for portfolio analytics.
s100053,Movie,Title 0054,Unknown,"Actor A, Actor B",Thailand,2011-04-11,2003,TV-MA,89 min,Dramas,A Netflix title used for portfolio analytics.
s100054,Movie,Title 0055,Director J,Unknown,United States,2019-11-01,1977,TV-MA,98 min,Romantic Movies,A Netflix title used for portfolio analytics.
s100055,Movie,Title 0056,Unknown,Unknown,Germany,2018-03-31,1998,TV-Y,107 min,TV Comedies,A Netflix title used for portfolio analytics.
s100056,Movie,Title 0057,Unknown,Unknown,"Spain, Australia",2014-01-06,1975,TV-MA,77 min,Comedies,A Netflix title used for portfolio analytics.
s100057,TV Show,Title 0058,Unknown,Unknown,Spain,2008-05-15,2004,UR,4 Seasons,International TV Shows,A Netflix title used for portfolio analytics.
s100058,Movie,Title 0059,Unknown,Unknown,India,2019-06-19,2011,TV-MA,127 min,International Movies,A Netflix title used for portfolio analytics.
s100059,TV Show,Title 0060,Director M,Unknown,Canada,2008-03-13,2014,PG,2 Seasons,"Kids' TV, TV Comedies",A Netflix title used for portfolio analytics.
s100060,TV Show,Title 0061,Unknown,Unknown,United Kingdom,2016-02-14,2013,TV-14,4 Seasons,Romantic Movies,A Netflix title used for portfolio analytics.
s100061,Movie,Title 0062,Unknown,Unknown,Japan,2018-08-04,2006,TV-Y7,112 min,Horror Movies,A Netflix title used for portfolio analytics.
s100062,Movie,Title 0063,Director E,Unknown,Japan,2009-08-04,2016,TV-Y7,52 min,Kids' TV,A Netflix title used for portfolio analytics.
s100063,Movie,Title 0064,Director W,"Actor A, Actor B",United States,2011-06-12,2010,TV-Y7,82 min,Thrillers,A Netflix title used for portfolio analytics.
s100064,Movie,Title 0065,Director N,Unknown,United States,2020-03-20,2013,TV-MA,78 min,TV Comedies,A Netflix title used for portfolio analytics.
s100065,Movie,Title 0066,Director M,Unknown,South Korea,2011-06-13,1989,TV-MA,92 min,Action & Adventure,A Netflix title used for portfolio analytics.
s100066,TV Show,Title 0067,Unknown,Unknown,Japan,2013-09-27,2001,UR,3 Seasons,Dramas,A Netflix title used for portfolio analytics.
s100067,TV Show,Title 0068,Unknown,Unknown,United Kingdom,2009-03-13,2009,R,4 Seasons,Horror Movies,A Netflix title used for portfolio analytics.
s100068,TV Show,Title 0069,Director Q,"Actor A, Actor B",United States,2016-06-12,2000,TV-MA,4 Seasons,"Comedies, Romantic Movies",A Netflix title used for portfolio analytics.
s100069,Movie,Title 0070,Director S,"Actor A, Actor B","United States, Spain",2018-06-24,1992,TV-14,98 min,"Dramas, Thrillers",A Netflix title used for portfolio analytics.
s100070,TV Show,Title 0071,Director O,Unknown,Canada,2008-09-10,2005,TV-Y7,2 Seasons,Horror Movies,A Netflix title used for portfolio analytics.
s100071,Movie,Title 0072,Director W,"Actor A, Actor B",United States,2010-04-26,2015,TV-MA,80 min,"International Movies, Stand-Up Comedy",A Netflix title used for portfolio analytics.
s100072,Movie,Title 0073,Director W,Unknown,United States,2018-02-02,2012,R,134 min,International Movies,A Netflix title used for portfolio analytics.
s100073,Movie,Title 0074,Unknown,"Actor A, Actor B",United States,2010-06-07,1991,TV-MA,86 min,"Kids' TV, TV Comedies",A Netflix title used for portfolio analytics.
s100074,TV Show,Title 0075,Director B,Unknown,United Kingdom,2008-06-07,2001,TV-14,3 Seasons,Documentaries,A Netflix title used for portfolio analytics.
s100075,Movie,Title 0076,Unknown,Unknown,India,2010-06-07,1975,R,94 min,Action & Adventure,A Netflix title used for portfolio analytics.
s100076,Movie,Title 0077,Director H,"Actor A, Actor B",SPAIN,2019-08-21,2000,TV-14,110 min,Action & Adventure,A Netflix title used for portfolio analytics.
s100077,Movie,Title 0078,Unknown,Unknown,"United Kingdom, Mexico",2015-07-19,2001,PG-13,130 min,Comedies,A Netflix title used for portfolio analytics.
s100078,Movie,Title 0079,Unknown,Unknown,"Germany, Spain",2014-09-04,1989,TV-14,75 min,"Comedies, Kids' TV",A Netflix title used for portfolio analytics.
s100079,Movie,Title 0080,Unknown,Unknown,Turkey,2009-07-06,2013,R,78 min,"Action & Adventure, International Movies",A Netflix title used for portfolio analytics.
s100080,Movie,Title 0081,Director Y,Unknown,United States,2018-12-21,1980,TV-14,89 min,"Horror Movies, Thrillers",A Netflix title used for portfolio analytics.
s100081,Movie,Title 0082,Unknown,Unknown,"United States, Spain",2020-05-21,1984,TV-14,84 min,Documentaries,A Netflix title used for portfolio analytics.
s100082,Movie,Title 0083,Unknown,Unknown,"United Kingdom, Canada",2008-05-18,2009,TV-14,104 min,"Horror Movies, TV Comedies",A Netflix title used for portfolio analytics.
s100083,TV Show,Title 0084,Unknown,"Actor A, Actor B",United States,2010-12-05,2006,TV-MA,6 Seasons,TV Comedies,A Netflix title used for portfolio analytics.
s100084,TV Show,Title 0085,Unknown,"Actor A, Actor B","Italy, South Korea",2013-07-25,1995,TV-MA,3 Seasons,"Documentaries, Dramas",A Netflix title used for portfolio analytics.
s100085,Movie,Title 0086,Unknown,Unknown,India,2017-09-05,2010,PG-13,102 min,"Action & Adventure, TV Dramas",A Netflix title used for portfolio analytics.
s100086,Movie,Title 0087,Unknown,Unknown,GERMANY,2011-03-22,1985,TV-MA,92 min,International TV Shows,A Netflix title used for portfolio analytics.
s100087,TV Show,Title 0088,Director F,"Actor A, Actor B",United States,2013-01-04,2010,TV-MA,4 Seasons,Kids' TV,A Netflix title used for portfolio analytics.
s100088,TV Show,Title 0089,Unknown,"Actor A, Actor B",India,2018-09-03,2016,TV-Y,6 Seasons,"Documentaries, Romantic Movies",A Netflix title used for portfolio analytics.
s100089,Movie,Title 0090,Director B,Unknown,United States,2012-06-16,2018,TV-MA,99 min,Kids' TV,A Netflix title used for portfolio analytics.
s100090,TV Show,Title 0091,Unknown,Unknown,United States,2018-11-21,2015,TV-MA,3 Seasons,Thrillers,A Netflix title used for portfolio analytics.
s100091,TV Show,Title 0092,Unknown,"Actor A, Actor B",Australia,2013-05-07,2009,R,2 Seasons,"Comedies, Romantic Movies",A Netflix title used for portfolio analytics.
s100092,Movie,Title 0093,Unknown,"Actor A, Actor B","South Korea, Italy",2017-12-12,2016,TV-14,134 min,"Comedies, TV Dramas",A Netflix title used for portfolio analytics.
s100093,TV Show,Title 0094,Unknown,Unknown,United States,2010-06-18,1996,PG-13,2 Seasons,"International Movies, International TV Shows",A Netflix title used for portfolio analytics.
s100094,Movie,Title 0095,Director G,Unknown,United Kingdom,2009-07-02,2017,R,69 min,Action & Adventure,A Netflix title used for portfolio analytics.
s100095,Movie,Title 0096,Unknown,"Actor A, Actor B",United States,2009-11-05,2009,R,109 min,"Comedies, Horror Movies, Romantic Movies",A Netflix title used for portfolio analytics.
s100096,TV Show,Title 0097,Director J,Unknown,France,2009-04-08,2004,R,7 Seasons,"Kids' TV, Romantic Movies",A Netflix title used for portfolio analytics.
s100097,TV Show,Title 0098,Unknown,"Actor A, Actor B",UNITED STATES,2020-12-15,2016,TV-MA,5 Seasons,TV Comedies,A Netflix title used for portfolio analytics.
s100098,Movie,Title 0099,Director K,Unknown,Mexico,2013-03-01,2010,TV-PG,83 min,Horror Movies,A Netflix title used for portfolio analytics.
s100099,Movie,Title 0100,Unknown,"Actor A, Actor B","United Kingdom, Turkey",2008-06-24,2009,TV-14,74 min,"Horror Movies, Stand-Up Comedy",A Netflix title used for portfolio analytics.
s100100,Movie,Title 0101,Unknown,"Actor A, Actor B",United States,2013-12-24,2002,PG-13,109 min,Action & Adventure,A Netflix title used for portfolio analytics.
s100101,Movie,Title 0102,Unknown,Unknown,United States,2014-07-18,1985,TV-14,94 min,Horror Movies,A Netflix title used for portfolio analytics.
s100102,TV Show,Title 0103,Director U,Unknown,Turkey,2010-07-14,1997,TV-MA,4 Seasons,"International Movies, Kids' TV",A Netflix title used for portfolio analytics.
s100103,Movie,Title 0104,Director D,Unknown,United States,2010-07-27,2004,TV-MA,115 min,"Documentaries, International Movies",A Netflix title used for portfolio analytics.
s100104,Movie,Title 0105,Director G,Unknown,United States,2010-10-22,1985,TV-14,96 min,"Dramas, Stand-Up Comedy, TV Comedies",A Netflix title used for portfolio analytics.
s100105,TV Show,Title 0106,Unknown,Unknown,United States,2015-07-13,1990,TV-MA,1 Season,Action & Adventure,A Netflix title used for portfolio analytics.
s100106,TV Show,Title 0107,Unknown,"Actor A, Actor B",Australia,2015-09-12,2011,TV-14,5 Seasons,Thrillers,A Netflix title used for portfolio analytics.
s100107,TV Show,Title 0108,Director F,Unknown,United States,2012-06-12,1998,TV-MA,2 Seasons,International Movies,A Netflix title used for portfolio analytics.
s100108,Movie,Title 0109,Director V,Unknown,"India, Italy",2009-12-26,2006,TV-14,113 min,"Comedies, Documentaries",A Netflix title used for portfolio analytics.
s100109,Movie,Title 0110,Director Z,Unknown,United States,2016-03-01,2017,UR,88 min,Romantic Movies,A Netflix title used for portfolio analytics.
s100110,Movie,Title 0111,Unknown,Unknown,Canada,2017-08-03,2015,TV-Y7,100 min,Documentaries,A Netflix title used for portfolio analytics.
s100111,Movie,Title 0112,Director F,Unknown,Mexico,2016-05-23,2007,R,108 min,Action & Adventure,A Netflix title used for portfolio analytics.
s100112,Movie,Title 0113,Unknown,"Actor A, Actor B",United States,2014-07-04,2009,TV-MA,110 min,"Kids' TV, Stand-Up Comedy",A Netflix title used for portfolio analytics.
s100113,Movie,Title 0114,Unknown,Unknown,,2018-09-06,2000,TV-14,92 min,"Dramas, International Movies",A Netflix title used for portfolio analytics.
s100114,TV Show,Title 0115,Director F,"Actor A, Actor B",United States,2011-11-22,1994,TV-14,3 Seasons,"International TV Shows, TV Comedies, Thrillers",A Netflix title used for portfolio analytics.
s100115,TV Show,Title 0116,Unknown,Unknown,India,2008-01-11,1987,TV-MA,4 Seasons,"Horror Movies, TV Dramas",A Netflix title used for portfolio analytics.
s100116,Movie,Title 0117,Unknown,Unknown,Australia,2019-01-16,2008,PG,76 min,Documentaries,A Netflix title used for portfolio analytics.
s100117,Movie,Title 0118,Director X,"Actor A, Actor B","Nigeria, United States",2015-09-16,1988,TV-14,95 min,Kids' TV,A Netflix title used for portfolio analytics.
s100118,Movie,Title 0119,Unknown,"Actor A, Actor B",United States,2013-07-04,2003,TV-MA,134 min,TV Comedies,A Netflix title used for portfolio analytics.
s100119,Movie,Title 0120,Unknown,"Actor A, Actor B",United States,2017-11-13,1984,TV-PG,111 min,"International TV Shows, Romantic Movies",A Netflix title used for portfolio analytics.
s100120,Movie,Title 0121,Unknown,Unknown,Nigeria,2011-06-21,2012,TV-MA,153 min,Dramas,A Netflix title used for portfolio analytics.
s100121,Movie,Title 0122,Unknown,"Actor A, Actor B","Nigeria, Australia",2015-07-20,1997,PG-13,109 min,International TV Shows,A Netflix title used for portfolio analytics.
s100122,Movie,Title 0123,Unknown,"Actor A, Actor B",India,2020-03-10,1999,TV-14,120 min,"Dramas, Thrillers",A Netflix title used for portfolio analytics.
s100123,TV Show,Title 0124,Unknown,Unknown,United Kingdom,2019-05-01,2012,R,6 Seasons,Documentaries,A Netflix title used for portfolio analytics.
s100124,TV Show,Title 0125,Unknown,"Actor A, Actor B",,2010-03-11,1991,TV-14,3 Seasons,TV Dramas,A Netflix title used for portfolio analytics.
s100125,Movie,Title 0126,Director I,Unknown,Brazil,2010-11-20,1983,NR,122 min,"Action & Adventure, TV Comedies",A Netflix title used for portfolio analytics.
s100126,Movie,Title 0127,Unknown,Unknown,INDIA,2018-05-06,1999,TV-MA,75 min,TV Comedies,A Netflix title used for portfolio analytics.
s100127,TV Show,Title 0128,Director U,Unknown,UNITED STATES,2008-08-14,1999,TV-Y7,3 Seasons,"Action & Adventure, International TV Shows",A Netflix title used for portfolio analytics.
s100128,TV Show,Title 0129,Unknown,"Actor A, Actor B","Australia, Japan",2010-05-19,2016,TV-MA,3 Seasons,International TV Shows,A Netflix title used for portfolio analytics.
s100129,Movie,Title 0130,Director P,"Actor A, Actor B","United States, Spain",2017-10-09,1991,TV-MA,96 min,TV Dramas,A Netflix title used for portfolio analytics.
s100130,Movie,Title 0131,Unknown,Unknown,United States,2019-08-30,1995,UR,110 min,International Movies,A Netflix title used for portfolio analytics.
s100131,TV Show,Title 0132,Director O,Unknown,INDIA,2008-03-22,2009,TV-14,5 Seasons,"International Movies, TV Comedies",A Netflix title used for portfolio analytics.
s100132,TV Show,Title 0133,Unknown,"Actor A, Actor B",Canada,2016-06-20,2003,TV-14,2 Seasons,TV Comedies,A Netflix title used for portfolio analytics.
s100133,Movie,Title 0134,Unknown,Unknown,United States,2020-08-06,1985,TV-MA,93 min,TV Dramas,A Netflix title used for portfolio analytics.
s100134,Movie,Title 0135,Unknown,Unknown,"Brazil, India",2014-09-08,2005,TV-G,128 min,Action & Adventure,A Netflix title used for portfolio analytics.
s100135,TV Show,Title 0136,Director Y,Unknown,Australia,2020-11-29,2013,TV-14,4 Seasons,TV Dramas,A Netflix title used for portfolio analytics.
s100136,TV Show,Title 0137,Director Y,Unknown,South Korea,2008-06-27,2016,TV-PG,5 Seasons,International TV Shows,A Netflix title used for portfolio analytics.
s100137,Movie,Title 0138,Director P,Unknown,United States,2008-08-10,1998,R,137 min,Comedies,A Netflix title used for portfolio analytics.
s100138,Movie,Title 0139,Unknown,Unknown,Nigeria,2014-09-02,2001,TV-MA,77 min,Comedies,A Netflix title used for portfolio analytics.
s100139,TV Show,Title 0140,Unknown,Unknown,Turkey,2015-01-06,1999,R,4 Seasons,TV Dramas,A Netflix title used for portfolio analytics.
s100140,Movie,Title 0141,Director B,Unknown,Turkey,2008-06-02,2011,TV-MA,104 min,Romantic Movies,A Netflix title used for portfolio analytics.
s100141,Movie,Title 0142,Director Q,"Actor A, Actor B",United States,2008-06-01,2010,R,124 min,Action & Adventure,A Netflix title used for portfolio analytics.
s100142,Movie,Title 0143,Unknown,"Actor A, Actor B",United States,2010-08-15,2012,TV-14,120 min,TV Comedies,A Netflix title used for portfolio analytics.
s100143,Movie,Title 0144,Director Z,"Actor A, Actor B",United States,2010-09-04,2015,TV-MA,96 min,"Comedies, Horror Movies",A Netflix title used for portfolio analytics.
s100144,TV Show,Title 0145,Unknown,"Actor A, Actor B",India,2020-04-04,2017,TV-14,2 Seasons,Horror Movies,A Netflix title used for portfolio analytics.
s100145,Movie,Title 0146,Unknown,"Actor A, Actor B","United States, Australia",2019-04-26,2014,TV-MA,109 min,International TV Shows,A Netflix title used for portfolio analytics.
s100146,Movie,Title 0147,Unknown,Unknown,India,2020-01-30,1992,TV-14,90 min,Kids' TV,A Netflix title used for portfolio analytics.
s100147,Movie,Title 0148,Director Z,"Actor A, Actor B",United States,2015-04-10,1987,TV-PG,103 min,International Movies,A Netflix title used for portfolio analytics.
s100148,Movie,Title 0149,Unknown,Unknown,United Kingdom,2019-12-20,1987,TV-MA,83 min,Thrillers,A Netflix title used for portfolio analytics.
s100149,Movie,Title 0150,Unknown,Unknown,India,2014-04-30,1982,TV-MA,111 min,TV Dramas,A Netflix title used for portfolio analytics.
s100150,Movie,Title 0151,Unknown,Unknown,United Kingdom,2012-03-16,2017,PG,110 min,Documentaries,A Netflix title used for portfolio analytics.
s100151,Movie,Title 0152,Director A,Unknown,,2016-09-15,2013,TV-MA,111 min,Documentaries,A Netflix title used for portfolio analytics.
s100152,TV Show,Title 0153,Unknown,Unknown,United States,2011-09-25,1988,TV-MA,2 Seasons,"Dramas, TV Comedies",A Netflix title used for portfolio analytics.
s100153,Movie,Title 0154,Unknown,Unknown,United States,2016-02-25,2016,TV-14,98 min,Thrillers,A Netflix title used for portfolio analytics.
s100154,Movie,Title 0155,Unknown,"Actor A, Actor B",Canada,2011-10-11,2001,PG-13,76 min,Horror Movies,A Netflix title used for portfolio analytics.
s100155,Movie,Title 0156,Unknown,Unknown,United States,2009-12-23,2009,G,127 min,Romantic Movies,A Netflix title used for portfolio analytics.
s100156,Movie,Title 0157,Unknown,Unknown,United States,2011-05-08,2004,TV-14,101 min,International Movies,A Netflix title used for portfolio analytics.
s100157,TV Show,Title 0158,Unknown,Unknown,UNITED STATES,2015-10-11,2014,R,2 Seasons,TV Dramas,A Netflix title used for portfolio analytics.
s100158,TV Show,Title 0159,Director X,Unknown,Spain,2014-04-21,2007,TV-Y,3 Seasons,Action & Adventure,A Netflix title used for portfolio analytics.
s100159,Movie,Title 0160,Director N,"Actor A, Actor B","Mexico, Germany",2015-07-25,1995,PG-13,133 min,"Action & Adventure, Documentaries",A Netflix title used for portfolio analytics.
s100160,Movie,Title 0161,Unknown,Unknown,Canada,2020-10-02,2010,TV-14,110 min,Kids' TV,A Netflix title used for portfolio analytics.
s100161,TV Show,Title 0162,Director T,Unknown,United States,,1988,TV-PG,5 Seasons,Horror Movies,A Netflix title used for portfolio analytics.
s100162,TV Show,Title 0163,Unknown,Unknown,United States,2016-11-27,2008,TV-14,3 Seasons,"Action & Adventure, TV Dramas",A Netflix title used for portfolio analytics.
s100163,Movie,Title 0164,Director X,Unknown,Japan,2019-04-28,2005,TV-MA,114 min,International Movies,A Netflix title used for portfolio analytics.
s100164,TV Show,Title 0165,Director D,"Actor A, Actor B","United States, Turkey",2016-09-01,1998,TV-MA,2 Seasons,Horror Movies,A Netflix title used for portfolio analytics.
s100165,TV Show,Title 0166,Director F,Unknown,India,2008-04-23,2002,TV-14,4 Seasons,Romantic Movies,A Netflix title used for portfolio analytics.
s100166,Movie,Title 0167,Director R,"Actor A, Actor B",Mexico,2010-05-19,2015,TV-14,96 min,"TV Dramas, Thrillers",A Netflix title used for portfolio analytics.
s100167,TV Show,Title 0168,Unknown,"Actor A, Actor B","Canada, United States",2014-10-24,2012,TV-MA,5 Seasons,"Dramas, Horror Movies",A Netflix title used for portfolio analytics.
s100168,Movie,Title 0169,Unknown,"Actor A, Actor B",Thailand,2009-11-10,1985,TV-PG,118 min,"Action & Adventure, Horror Movies, Thrillers",A Netflix title used for portfolio analytics.
s100169,Movie,Title 0170,Unknown,Unknown,"Australia, Japan",2018-10-24,1999,TV-14,77 min,Romantic Movies,A Netflix title used for portfolio analytics.
s100170,Movie,Title 0171,Unknown,Unknown,"United Kingdom, France",2009-07-14,2014,TV-G,86 min,Comedies,A Netflix title used for portfolio analytics.
s100171,Movie,Title 0172,Director T,Unknown,Germany,2012-06-01,2012,TV-Y7,73 min,Thrillers,A Netflix title used for portfolio analytics.
s100172,TV Show,Title 0173,Unknown,Unknown,United States,2014-09-10,2015,PG,7 Seasons,Horror Movies,A Netflix title used for portfolio analytics.
s100173,Movie,Title 0174,Unknown,"Actor A, Actor B",United States,2011-03-02,1997,UR,88 min,"Comedies, Thrillers",A Netflix title used for portfolio analytics.
s100174,Movie,Title 0175,Unknown,Unknown,India,2008-11-04,2017,TV-MA,119 min,"TV Dramas, Thrillers",A Netflix title used for portfolio analytics.
s100175,Movie,Title 0176,Director P,Unknown,Spain,2018-08-02,2019,TV-MA,81 min,International Movies,A Netflix title used for portfolio analytics.
s100176,Movie,Title 0177,Unknown,"Actor A, Actor B",United States,2010-11-02,1986,TV-14,100 min,Romantic Movies,A Netflix title used for portfolio analytics.
s100177,Movie,Title 0178,Director S,Unknown,Thailand,2009-07-18,2014,R,90 min,"Comedies, International Movies",A Netflix title used for portfolio analytics.
s100178,Movie,Title 0179,Director U,Unknown,Germany,2015-12-24,1999,TV-MA,79 min,Kids' TV,A Netflix title used for portfolio analytics.
s100179,Movie,Title 0180,Unknown,Unknown,Mexico,2010-06-17,1993,PG-13,123 min,Dramas,A Netflix title used for portfolio analytics.
s100180,Movie,Title 0181,Director L,Unknown,United States,2020-03-12,2012,R,112 min,Kids' TV,A Netflix title used for portfolio analytics.
