order_id,order_date,region,state,segment,category,quantity,discount,sales,profit,customer_id,profit_ratio,profit_per_order,sales_per_customer,year,month
ORD-100036,2017-01-11,West,Utah,Corporate,Furniture,2,0.0827,255.47,39.09,C11988,0.153,39.09,1196.93,2017,2017-01
ORD-100037,2017-08-10,West,Nevada,Consumer,Office Supplies,7,0.1728,390.87,38.11,C11363,0.0975,38.11,3836.91,2017,2017-08
ORD-100038,2015-01-06,West,Washington,Corporate,Office Supplies,6,0.1032,157.0,30.47,C11432,0.1941,30.47,1894.75,2015,2015-01
ORD-100039,2014-09-08,East,Georgia,Corporate,Technology,2,0.0137,400.41,53.6,C11361,0.1339,53.6,2409.49,2014,2014-09
ORD-100040,2015-04-23,South,Louisiana,Consumer,Furniture,1,0.0313,164.0,23.65,C13082,0.1442,23.65,567.29,2015,2015-04
ORD-100041,2016-07-20,Central,Illinois,Consumer,Furniture,1,0.2934,114.82,11.54,C11908,0.1005,11.54,4443.78,2016,2016-07
ORD-100042,2016-02-22,South,Kentucky,Consumer,Office Supplies,1,0.0105,38.48,5.8,C10004,0.1507,5.8,1280.76,2016,2016-02
ORD-100043,2014-08-31,West,Idaho,Consumer,Office Supplies,4,0.037,337.31,53.32,C13692,0.1581,53.32,923.39,2014,2014-08
ORD-100044,2014-10-01,East,Virginia,Corporate,Technology,3,0.1726,837.17,150.22,C13307,0.1794,150.22,1930.02,2014,2014-10
ORD-100045,2016-05-10,Central,Ohio,Consumer,Technology,4,0.0593,683.71,138.8,C13467,0.203,138.8,2256.84,2016,2016-05
ORD-100046,2016-11-20,West,Colorado,Corporate,Office Supplies,6,0.2865,206.01,29.37,C10362,0.1426,29.37,3050.34,2016,2016-11
ORD-100047,2017-03-09,West,Colorado,Home Office,Technology,5,0.0722,1153.1,116.36,C13667,0.1009,116.36,1908.5,2017,2017-03
ORD-100048,2015-04-12,East,Georgia,Consumer,Furniture,3,0.1318,1009.92,47.59,C11442,0.0471,47.59,1815.54,2015,2015-04
ORD-100049,2016-05-29,West,Utah,Corporate,Furniture,2,0.1938,209.59,-10.64,C12172,-0.0508,-10.64,1630.39,2016,2016-05
ORD-100050,2015-01-22,Central,Wisconsin,Consumer,Technology,5,0.0279,1009.76,115.84,C12929,0.1147,115.84,2053.87,2015,2015-01
ORD-100051,2017-03-05,West,Oregon,Consumer,Technology,5,0.0305,958.21,101.7,C11867,0.1061,101.7,3466.71,2017,2017-03
ORD-100052,2017-09-13,Central,Illinois,Consumer,Furniture,3,0.1738,1323.74,66.02,C11746,0.0499,66.02,6338.76,2017,2017-09
ORD-100053,2014-08-26,East,Massachusetts,Consumer,Technology,1,0.1732,190.13,15.03,C10005,0.0791,15.03,3466.48,2014,2014-08
ORD-100054,2016-08-13,Central,Wisconsin,Consumer,Technology,4,0.1761,805.15,130.97,C10570,0.1627,130.97,1890.45,2016,2016-08
ORD-100055,2015-01-26,Central,Missouri,Corporate,Furniture,2,0.0615,311.5,43.96,C10658,0.1411,43.96,2304.11,2015,2015-01
ORD-100056,2017-08-05,Central,Ohio,Corporate,Technology,2,0.0658,380.01,34.82,C13866,0.0916,34.82,2328.64,2017,2017-08
ORD-100057,2016-09-01,East,Pennsylvania,Consumer,Technology,2,0.112,326.51,43.21,C13937,0.1323,43.21,2260.16,2016,2016-09
ORD-100058,2016-07-12,Central,Iowa,Corporate,Technology,1,0.063,181.41,27.76,C12070,0.153,27.76,1359.24,2016,2016-07
ORD-100059,2017-12-13,South,Oklahoma,Consumer,Office Supplies,3,0.0966,194.87,22.65,C10067,0.1162,22.65,321.21,2017,2017-12
ORD-100060,2016-02-04,East,North Carolina,Consumer,Office Supplies,4,0.3373,441.92,21.05,C12917,0.0476,21.05,2869.87,2016,2016-02
ORD-100061,2014-05-05,South,Oklahoma,Consumer,Furniture,2,0.0879,509.5,-56.16,C13303,-0.1102,-56.16,3285.93,2014,2014-05
ORD-100062,2014-06-12,Central,Ohio,Home Office,Office Supplies,1,0.1959,92.55,-10.94,C11841,-0.1182,-10.94,1016.06,2014,2014-06
ORD-100063,2017-02-12,South,Tennessee,Consumer,Furniture,2,0.1693,256.79,9.2,C13504,0.0358,9.2,4342.3,2017,2017-02
ORD-100064,2016-12-25,Central,Michigan,Consumer,Office Supplies,2,0.1802,160.84,34.15,C11409,0.2123,34.15,1911.68,2016,2016-12
ORD-100065,2015-02-16,West,Colorado,Consumer,Furniture,3,0.2117,614.13,83.98,C13652,0.1367,83.98,4871.05,2015,2015-02
ORD-100066,2017-05-18,East,New York,Consumer,Office Supplies,2,0.12,86.06,8.93,C12822,0.1038,8.93,2208.72,2017,2017-05
ORD-100067,2014-07-03,East,Pennsylvania,Consumer,Furniture,2,0.2021,433.7,48.2,C10065,0.1111,48.2,1442.33,2014,2014-07
ORD-100068,2015-05-28,East,Georgia,Corporate,Furniture,2,0.0434,367.78,57.49,C12004,0.1563,57.49,4990.93,2015,2015-05
ORD-100069,2017-09-10,South,South Carolina,Corporate,Office Supplies,3,0.1749,172.41,27.6,C13809,0.1601,27.6,1224.04,2017,2017-09
ORD-100070,2014-05-04,West,Nevada,Consumer,Furniture,4,0.0254,1088.39,78.72,C10584,0.0723,78.72,2610.91,2014,2014-05
ORD-100071,2015-08-09,South,Kentucky,Corporate,Furniture,2,0.0562,350.14,42.76,C10150,0.1221,42.76,4356.96,2015,2015-08
ORD-100072,2014-02-05,West,Oregon,Consumer,Furniture,4,0.2519,820.67,8.55,C13894,0.0104,8.55,1339.99,2014,2014-02
ORD-100073,2014-01-11,West,Nevada,Home Office,Office Supplies,4,0.0627,324.81,65.44,C10219,0.2015,65.44,1410.58,2014,2014-01
ORD-100074,2015-09-10,West,Washington,Consumer,Technology,2,0.1081,365.69,25.24,C11341,0.069,25.24,2123.38,2015,2015-09
ORD-100075,2016-09-19,East,Florida,Consumer,Furniture,2,0.0857,300.96,29.5,C13451,0.098,29.5,1151.51,2016,2016-09
ORD-100076,2016-03-05,Central,Ohio,Home Office,Furniture,2,0.1652,693.77,72.65,C12802,0.1047,72.65,1596.21,2016,2016-03
ORD-100077,2017-07-31,South,Texas,Consumer,Furniture,2,0.2213,258.44,27.76,C13485,0.1074,27.76,1765.13,2017,2017-07
ORD-100078,2015-10-03,South,Oklahoma,Consumer,Office Supplies,4,0.0738,415.13,97.12,C12843,0.234,97.12,1421.46,2015,2015-10
ORD-100079,2015-09-14,East,Virginia,Consumer,Technology,2,0.0419,433.06,41.46,C10303,0.0957,41.46,1684.98,2015,2015-09
ORD-100080,2016-12-26,South,Alabama,Corporate,Office Supplies,3,0.2694,156.31,11.85,C13343,0.0758,11.85,2020.59,2016,2016-12
ORD-100081,2017-03-25,Central,Ohio,Home Office,Technology,4,0.0564,969.19,87.59,C11257,0.0904,87.59,2219.16,2017,2017-03
ORD-100082,2017-05-31,Central,Minnesota,Corporate,Furniture,5,0.1277,1202.3,56.82,C10651,0.0473,56.82,2666.99,2017,2017-05
ORD-100083,2017-05-17,East,Pennsylvania,Consumer,Technology,3,0.0496,411.81,100.65,C13696,0.2444,100.65,2130.99,2017,2017-05
ORD-100084,2017-08-22,South,Oklahoma,Consumer,Office Supplies,1,0.012,31.44,5.33,C12210,0.1695,5.33,141.76,2017,2017-08
ORD-100085,2016-07-26,Central,Minnesota,Corporate,Office Supplies,2,0.2613,77.48,5.48,C10282,0.0707,5.48,2107.02,2016,2016-07
ORD-100086,2014-01-08,West,Idaho,Consumer,Office Supplies,4,0.0475,251.93,-77.45,C11267,-0.3074,-77.45,2738.92,2014,2014-01
ORD-100087,2017-08-14,South,Arkansas,Corporate,Technology,1,0.2257,209.37,20.0,C10314,0.0955,20.0,3878.84,2017,2017-08
ORD-100088,2016-01-30,West,Arizona,Consumer,Furniture,2,0.0436,276.56,10.55,C10453,0.0381,10.55,1212.85,2016,2016-01
ORD-100089,2017-10-10,Central,Iowa,Corporate,Office Supplies,3,0.0633,254.68,-54.09,C10694,-0.2124,-54.09,5672.2,2017,2017-10
ORD-100090,2015-10-09,West,Utah,Consumer,Furniture,1,0.0653,177.42,11.59,C10434,0.0653,11.59,177.42,2015,2015-10
ORD-100091,2016-12-12,West,California,Consumer,Office Supplies,4,0.0704,211.02,26.55,C10649,0.1258,26.55,2139.0,2016,2016-12
ORD-100092,2016-04-07,South,Oklahoma,Corporate,Furniture,2,0.0082,117.63,7.83,C13016,0.0666,7.83,1377.4,2016,2016-04
ORD-100093,2016-06-02,Central,Kansas,Consumer,Office Supplies,4,0.099,176.32,34.84,C10768,0.1976,34.84,1791.87,2016,2016-06
ORD-100094,2017-06-07,West,Nevada,Consumer,Office Supplies,1,0.2539,67.78,7.5,C13937,0.1107,7.5,2260.16,2017,2017-06
ORD-100095,2014-11-06,South,Arkansas,Consumer,Office Supplies,6,0.0122,545.16,92.56,C10640,0.1698,92.56,545.16,2014,2014-11
ORD-100096,2014-01-04,South,Texas,Corporate,Furniture,3,0.0016,542.62,92.65,C12307,0.1707,92.65,2559.47,2014,2014-01
ORD-100097,2017-04-02,South,Tennessee,Consumer,Technology,3,0.1202,1893.81,257.64,C10974,0.136,257.64,3351.6,2017,2017-04
ORD-100098,2016-01-31,South,Texas,Home Office,Office Supplies,2,0.0717,130.5,11.16,C10078,0.0855,11.16,3333.56,2016,2016-01
ORD-100099,2016-03-12,West,Colorado,Consumer,Technology,3,0.1025,476.84,54.36,C12597,0.114,54.36,2726.25,2016,2016-03
ORD-100100,2015-12-10,East,Florida,Corporate,Furniture,4,0.0954,918.25,77.98,C11906,0.0849,77.98,1994.81,2015,2015-12
ORD-100101,2014-12-11,South,Texas,Corporate,Technology,4,0.0757,992.38,172.63,C11799,0.174,172.63,1053.5,2014,2014-12
ORD-100102,2017-09-18,West,Idaho,Home Office,Technology,5,0.128,1605.27,94.33,C10669,0.0588,94.33,2017.61,2017,2017-09
ORD-100103,2014-12-14,Central,Iowa,Consumer,Office Supplies,3,0.0606,159.88,-16.29,C13973,-0.1019,-16.29,2076.35,2014,2014-12
ORD-100104,2017-09-25,Central,Kansas,Consumer,Technology,3,0.0,522.54,48.77,C11860,0.0933,48.77,1721.07,2017,2017-09
ORD-100105,2015-05-28,West,Arizona,Corporate,Technology,3,0.1149,522.02,73.73,C12682,0.1412,73.73,2173.29,2015,2015-05
ORD-100106,2014-03-11,East,Pennsylvania,Consumer,Technology,2,0.2846,363.24,-3.42,C11359,-0.0094,-3.42,909.34,2014,2014-03
ORD-100107,2015-05-31,West,Idaho,Corporate,Office Supplies,4,0.155,247.32,30.1,C13036,0.1217,30.1,2308.64,2015,2015-05
ORD-100108,2015-08-03,East,New Jersey,Consumer,Furniture,2,0.0285,250.76,13.13,C13354,0.0524,13.13,488.21,2015,2015-08
ORD-100109,2014-07-29,West,Utah,Consumer,Office Supplies,2,0.0632,193.03,40.91,C10331,0.2119,40.91,3680.89,2014,2014-07
ORD-100110,2014-06-13,South,Texas,Consumer,Furniture,3,0.1218,362.42,55.61,C13956,0.1534,55.61,1764.21,2014,2014-06
ORD-100111,2014-02-21,Central,Illinois,Consumer,Office Supplies,4,0.066,199.98,-26.07,C10944,-0.1304,-26.07,4066.66,2014,2014-02
ORD-100112,2015-07-02,West,Idaho,Home Office,Furniture,4,0.0881,622.25,52.12,C12219,0.0838,52.12,1316.09,2015,2015-07
ORD-100113,2014-09-27,Central,Ohio,Corporate,Technology,5,0.0364,1419.17,153.61,C10128,0.1082,153.61,3188.39,2014,2014-09
ORD-100114,2017-05-16,East,Virginia,Home Office,Office Supplies,2,0.0628,81.63,12.8,C10735,0.1568,12.8,81.63,2017,2017-05
ORD-100115,2014-09-06,Central,Michigan,Consumer,Office Supplies,3,0.0175,190.66,33.32,C13679,0.1748,33.32,1983.54,2014,2014-09
ORD-100116,2016-01-30,East,North Carolina,Consumer,Office Supplies,1,0.2249,54.12,9.61,C12112,0.1776,9.61,2470.59,2016,2016-01
ORD-100117,2017-04-24,Central,Kansas,Corporate,Office Supplies,6,0.0755,215.13,45.28,C10690,0.2105,45.28,1948.37,2017,2017-04
ORD-100118,2016-01-14,Central,Wisconsin,Home Office,Office Supplies,3,0.0719,152.59,28.95,C10913,0.1897,28.95,1994.88,2016,2016-01
ORD-100119,2015-02-27,West,Utah,Consumer,Office Supplies,4,0.2078,203.72,29.62,C11127,0.1454,29.62,5385.85,2015,2015-02
ORD-100120,2015-04-18,East,Massachusetts,Consumer,Technology,3,0.1096,965.87,136.33,C11030,0.1411,136.33,2521.19,2015,2015-04
ORD-100121,2014-05-08,East,Virginia,Consumer,Technology,3,0.2197,462.89,48.47,C12928,0.1047,48.47,3380.57,2014,2014-05
ORD-100122,2017-01-12,South,Louisiana,Consumer,Technology,8,0.1748,2904.63,150.16,C11453,0.0517,150.16,9245.38,2017,2017-01
ORD-100123,2017-08-04,West,Washington,Consumer,Office Supplies,1,0.0975,43.22,8.17,C12947,0.189,8.17,3862.06,2017,2017-08
ORD-100124,2014-04-20,West,Arizona,Consumer,Office Supplies,7,0.255,587.84,85.79,C13394,0.1459,85.79,1203.99,2014,2014-04
ORD-100125,2015-05-15,South,Alabama,Consumer,Office Supplies,2,0.0,150.24,24.18,C11412,0.1609,24.18,819.66,2015,2015-05
ORD-100126,2016-06-13,West,Colorado,Consumer,Office Supplies,4,0.1056,384.77,55.43,C10501,0.1441,55.43,732.55,2016,2016-06
ORD-100127,2015-09-01,East,Florida,Consumer,Furniture,3,0.0244,832.3,140.14,C13643,0.1684,140.14,2043.78,2015,2015-09
ORD-100128,2016-11-30,East,Pennsylvania,Home Office,Technology,3,0.2731,612.71,98.7,C13529,0.1611,98.7,1991.71,2016,2016-11
ORD-100129,2017-10-06,Central,Iowa,Consumer,Office Supplies,2,0.1324,108.05,16.27,C10694,0.1506,16.27,5672.2,2017,2017-10
ORD-100130,2015-02-15,South,Alabama,Consumer,Furniture,2,0.1977,202.81,8.59,C12240,0.0424,8.59,776.07,2015,2015-02
ORD-100131,2015-12-09,West,Arizona,Consumer,Technology,2,0.0419,560.02,-22.1,C12179,-0.0395,-22.1,3336.23,2015,2015-12
ORD-100132,2014-10-27,Central,Ohio,Consumer,Office Supplies,2,0.0793,77.46,11.41,C13086,0.1473,11.41,2010.47,2014,2014-10
ORD-100133,2016-02-11,West,California,Consumer,Technology,3,0.0471,746.33,57.57,C10160,0.0771,57.57,4423.22,2016,2016-02
ORD-100134,2017-05-31,East,Florida,Consumer,Technology,4,0.1624,556.2,38.22,C12668,0.0687,38.22,5801.32,2017,2017-05
ORD-100135,2017-01-11,Central,Minnesota,Consumer,Office Supplies,1,0.0876,67.18,16.45,C11049,0.2449,16.45,1693.47,2017,2017-01
ORD-100136,2017-04-30,East,New York,Consumer,Furniture,4,0.3215,549.94,25.03,C11588,0.0455,25.03,2424.98,2017,2017-04
ORD-100137,2017-06-17,West,Washington,Consumer,Office Supplies,3,0.0832,135.95,16.77,C13504,0.1234,16.77,4342.3,2017,2017-06
ORD-100138,2017-02-20,West,Colorado,Consumer,Office Supplies,4,0.1383,223.6,45.11,C10782,0.2017,45.11,696.23,2017,2017-02
ORD-100139,2015-02-26,East,New York,Consumer,Office Supplies,3,0.1496,123.74,9.66,C10885,0.0781,9.66,1600.46,2015,2015-02
ORD-100140,2016-11-02,South,Kentucky,Home Office,Office Supplies,4,0.1583,150.6,24.33,C11884,0.1616,24.33,150.6,2016,2016-11
ORD-100141,2014-11-28,West,Oregon,Corporate,Office Supplies,3,0.0962,156.98,33.14,C12488,0.2111,33.14,4327.24,2014,2014-11
ORD-100142,2015-08-06,South,Arkansas,Corporate,Technology,3,0.2352,731.05,-167.7,C12059,-0.2294,-167.7,7069.97,2015,2015-08
ORD-100143,2014-05-27,West,California,Consumer,Furniture,3,0.1379,556.76,20.72,C10702,0.0372,20.72,1712.42,2014,2014-05
ORD-100144,2015-07-03,Central,Iowa,Corporate,Office Supplies,3,0.141,76.89,13.96,C12500,0.1816,13.96,529.75,2015,2015-07
ORD-100145,2016-12-03,West,California,Corporate,Office Supplies,4,0.0335,260.33,32.74,C10350,0.1258,32.74,5355.91,2016,2016-12
ORD-100146,2016-10-23,Central,Wisconsin,Consumer,Office Supplies,2,0.0727,93.39,16.3,C10004,0.1745,16.3,1280.76,2016,2016-10
ORD-100147,2017-04-25,Central,Illinois,Consumer,Office Supplies,5,0.026,309.27,50.64,C12659,0.1637,50.64,2608.0,2017,2017-04
ORD-100148,2015-11-04,South,Arkansas,Consumer,Furniture,6,0.1233,1323.56,-21.05,C13375,-0.0159,-21.05,2124.51,2015,2015-11
ORD-100149,2016-09-03,West,California,Corporate,Office Supplies,4,0.088,244.29,34.74,C11817,0.1422,34.74,3797.92,2016,2016-09
ORD-100150,2016-10-24,South,Oklahoma,Corporate,Office Supplies,7,0.0741,447.84,76.71,C11167,0.1713,76.71,2703.81,2016,2016-10
ORD-100151,2014-12-03,East,Georgia,Consumer,Furniture,3,0.2345,983.23,36.35,C10335,0.037,36.35,3179.75,2014,2014-12
ORD-100152,2015-12-09,East,Pennsylvania,Consumer,Office Supplies,5,0.0652,249.97,53.24,C11427,0.213,53.24,2589.55,2015,2015-12
ORD-100153,2016-11-28,East,North Carolina,Corporate,Furniture,4,0.0384,894.95,141.66,C10427,0.1583,141.66,2410.64,2016,2016-11
ORD-100154,2015-09-25,West,Nevada,Consumer,Technology,1,0.026,140.5,18.86,C13097,0.1342,18.86,886.93,2015,2015-09
ORD-100155,2016-06-09,South,Alabama,Corporate,Furniture,4,0.109,1036.41,144.35,C12955,0.1393,144.35,7109.93,2016,2016-06
ORD-100156,2014-09-19,East,New York,Home Office,Furniture,4,0.1492,925.79,127.17,C12605,0.1374,127.17,3749.35,2014,2014-09
ORD-100157,2017-07-13,East,Massachusetts,Consumer,Office Supplies,3,0.2254,177.72,28.74,C10482,0.1617,28.74,348.27,2017,2017-07
ORD-100158,2015-11-06,East,Virginia,Consumer,Office Supplies,4,0.1236,383.52,-24.34,C10945,-0.0635,-24.34,1934.2,2015,2015-11
ORD-100159,2017-10-02,West,Oregon,Consumer,Technology,1,0.1927,256.6,31.43,C11525,0.1225,31.43,1343.52,2017,2017-10
ORD-100160,2014-07-03,East,Massachusetts,Home Office,Furniture,2,0.1167,266.86,22.22,C10469,0.0833,22.22,2319.7,2014,2014-07
ORD-100161,2014-12-24,Central,Michigan,Corporate,Furniture,2,0.0516,408.44,18.17,C10768,0.0445,18.17,1791.87,2014,2014-12
ORD-100162,2017-01-25,South,Texas,Corporate,Furniture,2,0.2343,328.47,-12.9,C10712,-0.0393,-12.9,1585.02,2017,2017-01
ORD-100163,2015-04-25,South,Oklahoma,Consumer,Furniture,3,0.0468,515.17,110.2,C10139,0.2139,110.2,3264.43,2015,2015-04
ORD-100164,2017-03-23,Central,Illinois,Corporate,Office Supplies,3,0.2385,100.49,12.69,C11787,0.1263,12.69,836.1,2017,2017-03
ORD-100165,2014-10-29,East,North Carolina,Corporate,Technology,2,0.0743,483.32,81.97,C11260,0.1696,81.97,1732.9,2014,2014-10
ORD-100166,2016-07-26,Central,Wisconsin,Home Office,Technology,4,0.0284,389.27,43.61,C12229,0.112,43.61,2924.53,2016,2016-07
ORD-100167,2017-10-08,Central,Michigan,Consumer,Office Supplies,6,0.0907,303.02,91.04,C11966,0.3004,91.04,2097.02,2017,2017-10
ORD-100168,2016-05-21,Central,Missouri,Consumer,Furniture,3,0.1875,579.88,28.71,C13532,0.0495,28.71,3871.05,2016,2016-05
ORD-100169,2016-06-29,East,Virginia,Consumer,Office Supplies,3,0.1592,115.14,10.14,C12729,0.0881,10.14,683.86,2016,2016-06
ORD-100170,2017-08-10,Central,Missouri,Corporate,Furniture,3,0.1291,689.92,69.55,C11531,0.1008,69.55,1062.1,2017,2017-08
ORD-100171,2014-08-17,Central,Ohio,Consumer,Furniture,2,0.0728,272.79,1.96,C12246,0.0072,1.96,1303.48,2014,2014-08
ORD-100172,2014-08-01,West,California,Consumer,Furniture,4,0.0451,1213.64,218.01,C11180,0.1796,218.01,2224.19,2014,2014-08
ORD-100173,2017-01-21,West,Utah,Home Office,Office Supplies,2,0.0981,207.38,35.91,C10173,0.1732,35.91,587.5,2017,2017-01
ORD-100174,2014-11-03,Central,Kansas,Consumer,Furniture,1,0.007,269.15,14.14,C13869,0.0525,14.14,2380.91,2014,2014-11
ORD-100175,2016-09-04,West,Oregon,Consumer,Office Supplies,2,0.1318,103.83,24.78,C11484,0.2387,24.78,909.38,2016,2016-09
ORD-100176,2017-11-29,South,Louisiana,Home Office,Furniture,5,0.1661,2043.49,120.47,C13707,0.059,120.47,3585.95,2017,2017-11
ORD-100177,2014-04-27,West,Washington,Consumer,Office Supplies,3,0.1226,122.55,16.76,C12434,0.1368,16.76,929.54,2014,2014-04
ORD-100178,2017-07-20,East,Pennsylvania,Consumer,Furniture,3,0.2364,619.35,23.78,C13662,0.0384,23.78,1438.95,2017,2017-07
ORD-100179,2016-06-07,South,Arkansas,Corporate,Office Supplies,2,0.1302,168.4,19.19,C12262,0.114,19.19,943.98,2016,2016-06
ORD-100180,2016-01-15,West,Colorado,Home Office,Furniture,2,0.3015,419.79,41.7,C12025,0.0993,41.7,688.95,2016,2016-01
ORD-100181,2014-06-06,West,Colorado,Consumer,Technology,2,0.058,416.96,30.94,C11239,0.0742,30.94,1095.54,2014,2014-06
ORD-100182,2014-09-28,Central,Wisconsin,Consumer,Technology,4,0.1234,873.96,31.2,C11146,0.0357,31.2,2947.27,2014,2014-09
ORD-100183,2016-04-15,West,Idaho,Consumer,Technology,1,0.0433,285.7,61.37,C12721,0.2148,61.37,1065.49,2016,2016-04
ORD-100184,2016-04-04,Central,Michigan,Home Office,Furniture,1,0.0492,200.71,25.08,C13902,0.125,25.08,1024.39,2016,2016-04
ORD-100185,2014-07-24,Central,Illinois,Home Office,Office Supplies,3,0.242,214.05,35.67,C12520,0.1666,35.67,1030.13,2014,2014-07
ORD-100186,2014-08-29,Central,Ohio,Consumer,Office Supplies,4,0.1109,262.22,58.78,C11546,0.2242,58.78,1997.11,2014,2014-08
ORD-100187,2016-10-01,South,Alabama,Corporate,Office Supplies,3,0.0315,147.5,32.54,C11443,0.2206,32.54,2577.1,2016,2016-10
ORD-100188,2014-11-04,Central,Minnesota,Corporate,Technology,3,0.1578,1039.17,84.71,C10095,0.0815,84.71,2021.87,2014,2014-11
