date,category,revenue,cost,profit
2024-06-02,B,2700,2491,209
2024-06-03,C,3698,1595,2103
2024-06-04,B,4769,1431,3338
2024-06-05,A,766,1517,-751
2024-06-06,B,383,1201,-818
2024-06-07,A,4003,2788,1215
2024-06-08,C,3665,2489,1176
2024-06-09,C,2334,1266,1068
2024-06-10,C,4693,2701,1992
2024-06-11,A,1565,930,635
2024-06-12,B,229,134,95
2024-06-13,C,4834,1103,3731
2024-06-14,A,2160,98,2062
2024-06-15,A,3772,1218,2554
2024-06-16,B,2594,118,2476
2024-06-17,C,1092,2794,-1702
2024-06-18,A,2221,2576,-355
2024-06-19,B,2684,2917,-233
2024-06-20,C,4296,1751,2545
2024-06-21,B,2323,1648,675
2024-06-22,B,4622,2244,2378
2024-06-23,A,3288,1919,1369
2024-06-24,A,3337,1065,2272
2024-06-25,A,4236,2706,1530
2024-06-26,B,4624,495,4129
2024-06-27,A,443,2318,-1875
2024-06-28,B,4561,1451,3110
2024-06-29,B,4804,2192,2612
2024-06-30,A,4923,311,4612
2024-07-01,C,2376,1898,478
2024-07-02,C,3301,946,2355
2024-07-03,C,988,1144,-156
2024-07-04,B,2143,2316,-173
2024-07-05,B,1441,1606,-165
2024-07-06,B,3820,141,3679
2024-07-07,A,2983,176,2807
2024-07-08,B,4312,129,4183
2024-07-09,A,2515,1897,618
2024-07-10,A,1217,1032,185
2024-07-11,C,4363,965,3398
2024-07-12,C,3101,2583,518
2024-07-13,C,1838,743,1095
2024-07-14,A,1464,74,1390
2024-07-15,A,2808,205,2603
2024-07-16,A,4890,2729,2161
2024-07-17,B,1024,1862,-838
2024-07-18,A,251,1603,-1352
2024-07-19,C,685,2016,-1331
2024-07-20,C,1012,1783,-771
2024-07-21,A,2421,1130,1291
2024-07-22,A,595,1678,-1083
2024-07-23,C,3895,68,3827
2024-07-24,A,2248,1457,791
2024-07-25,C,656,1266,-610
2024-07-26,B,1652,2334,-682
2024-07-27,C,2220,1460,760
2024-07-28,B,3185,326,2859
2024-07-29,A,3604,794,2810
2024-07-30,A,256,601,-345
2024-07-31,B,834,1226,-392
2024-08-01,A,4754,688,4066
2024-08-02,B,3376,286,3090
2024-08-03,A,254,1047,-793
2024-08-04,C,1096,2152,-1056
2024-08-05,A,2394,2053,341
2024-08-06,C,4726,1509,3217
2024-08-07,C,3005,2781,224
2024-08-08,B,4924,2206,2718
2024-08-09,A,1277,1257,20
2024-08-10,B,253,1441,-1188
2024-08-11,A,4287,2056,2231
2024-08-12,C,1816,1271,545
2024-08-13,C,3302,1444,1858
2024-08-14,A,2957,422,2535
2024-08-15,A,886,1570,-684
2024-08-16,B,4468,2298,2170
2024-08-17,A,4372,898,3474
2024-08-18,A,3867,2606,1261
2024-08-19,A,2978,1395,1583
2024-08-20,B,742,2372,-1630
2024-08-21,A,4762,2308,2454
2024-08-22,C,765,553,212
2024-08-23,B,3526,752,2774
2024-08-24,B,3883,2139,1744
2024-08-25,C,3801,364,3437
2024-08-26,C,1169,2885,-1716
2024-08-27,C,2449,2426,23
2024-08-28,A,4603,1090,3513
2024-08-29,C,1312,332,980
2024-08-30,A,1252,307,945
2024-08-31,B,2611,624,1987
2024-09-01,B,243,623,-380
2024-09-02,C,2589,2709,-120
2024-09-03,A,3328,1092,2236
2024-09-04,C,4682,1602,3080
2024-09-05,C,3305,2934,371
2024-09-06,A,4343,472,3871
2024-09-07,C,3242,1539,1703
2024-09-08,B,3404,1446,1958
2024-09-09,C,1457,807,650
2024-09-10,A,2813,2860,-47
2024-09-11,A,4285,1154,3131
2024-09-12,B,1457,1624,-167
2024-09-13,A,4394,2521,1873
2024-09-14,A,4733,478,4255
2024-09-15,B,3292,2071,1221
2024-09-16,C,400,253,147
2024-09-17,B,823,2293,-1470
2024-09-18,C,3110,2825,285
2024-09-19,B,167,2382,-2215
2024-09-20,C,3936,2042,1894
2024-09-21,B,4093,2293,1800
2024-09-22,C,2606,356,2250
2024-09-23,B,1637,1737,-100
2024-09-24,C,497,63,434
2024-09-25,B,4815,1910,2905
2024-09-26,A,3457,2011,1446
2024-09-27,C,1263,1130,133
2024-09-28,B,4925,772,4153
2024-09-29,C,655,829,-174
2024-09-30,C,3761,1283,2478
2024-10-01,B,1851,578,1273
2024-10-02,C,3041,847,2194
2024-10-03,B,2757,393,2364
2024-10-04,A,2895,1352,1543
2024-10-05,C,2429,258,2171
2024-10-06,A,2059,690,1369
2024-10-07,C,1701,1361,340
2024-10-08,C,2893,2349,544
2024-10-09,C,1580,2368,-788
2024-10-10,B,1202,1997,-795
2024-10-11,A,3376,969,2407
2024-10-12,C,1399,1773,-374
2024-10-13,B,3979,2094,1885
2024-10-14,C,1635,468,1167
2024-10-15,B,177,1799,-1622
2024-10-16,C,2931,2892,39
2024-10-17,A,3510,1438,2072
2024-10-18,A,2821,1149,1672
2024-10-19,C,3727,2822,905
2024-10-20,B,1632,2530,-898
2024-10-21,C,337,2206,-1869
2024-10-22,B,2096,2738,-642
2024-10-23,C,3527,1595,1932
2024-10-24,B,377,1120,-743
2024-10-25,A,3189,2476,713
2024-10-26,C,623,1900,-1277
2024-10-27,A,4375,1169,3206
2024-10-28,A,4318,1007,3311
2024-10-29,C,3222,152,3070
2024-10-30,C,4675,2989,1686
2024-10-31,B,1897,2951,-1054
2024-11-01,B,2231,1219,1012
2024-11-02,A,915,1953,-1038
2024-11-03,B,2794,1805,989
2024-11-04,B,542,2627,-2085
2024-11-05,C,3240,728,2512
2024-11-06,B,242,2018,-1776
2024-11-07,A,4387,1038,3349
2024-11-08,B,1510,1155,355
2024-11-09,A,4573,2525,2048
2024-11-10,C,634,1657,-1023
2024-11-11,A,1816,2919,-1103
2024-11-12,B,3464,1552,1912
2024-11-13,C,1132,1839,-707
2024-11-14,B,3442,1235,2207
2024-11-15,C,1510,981,529
2024-11-16,C,4600,1475,3125
2024-11-17,B,1272,1111,161
2024-11-18,B,988,2028,-1040
2024-11-19,C,3438,2608,830
2024-11-20,C,4617,2490,2127
2024-11-21,B,1741,2092,-351
2024-11-22,A,571,2810,-2239
2024-11-23,B,3040,2591,449
2024-11-24,C,646,1328,-682
2024-11-25,B,4826,1252,3574
2024-11-26,A,3697,2644,1053
2024-11-27,B,2925,643,2282
2024-11-28,C,3823,2486,1337
2024-11-29,B,463,1471,-1008
2024-11-30,C,2266,2255,11
2024-12-01,C,3409,1077,2332
2024-12-02,B,645,2264,-1619
2024-12-03,C,3340,1009,2331
2024-12-04,C,4829,2506,2323
2024-12-05,A,2036,2291,-255
2024-12-06,A,1062,2332,-1270
2024-12-07,A,3105,2815,290
2024-12-08,A,3906,1223,2683
2024-12-09,C,982,865,117
2024-12-10,B,3940,453,3487
2024-12-11,C,970,942,28
2024-12-12,C,4711,2775,1936
2024-12-13,C,3085,117,2968
2024-12-14,B,965,137,828
2024-12-15,A,4409,2314,2095
2024-12-16,C,3303,2098,1205
2024-12-17,C,2997,1208,1789
2024-12-18,A,2344,1770,574
2024-12-19,C,118,1424,-1306
2024-12-20,B,741,2237,-1496
2024-12-21,C,3183,2715,468
2024-12-22,C,429,2230,-1801
2024-12-23,A,965,1693,-728
2024-12-24,C,873,227,646
2024-12-25,C,4587,2907,1680
2024-12-26,B,4832,1431,3401
2024-12-27,A,2454,2477,-23
2024-12-28,A,3438,957,2481
2024-12-29,B,3618,2755,863
2024-12-30,C,3042,2547,495
2024-12-31,A,2667,635,2032
2025-01-01,A,1774,2560,-786
2025-01-02,C,2783,1039,1744
2025-01-03,C,3480,1181,2299
2025-01-04,A,839,2219,-1380
2025-01-05,C,1645,2114,-469
2025-01-06,A,4664,1269,3395
2025-01-07,C,2359,2424,-65
2025-01-08,C,1235,367,868
2025-01-09,B,973,2906,-1933
2025-01-10,C,4655,1552,3103
2025-01-11,B,2400,2084,316
2025-01-12,C,851,2092,-1241
2025-01-13,A,953,552,401
2025-01-14,A,3832,2072,1760
2025-01-15,C,2383,168,2215
2025-01-16,C,1429,759,670
2025-01-17,A,577,94,483
2025-01-18,C,2826,363,2463
2025-01-19,B,3191,467,2724
2025-01-20,B,4330,2653,1677
2025-01-21,B,4605,1151,3454
2025-01-22,B,1369,375,994
2025-01-23,B,4281,1489,2792
2025-01-24,C,2703,2036,667
2025-01-25,C,1569,2612,-1043
2025-01-26,B,477,2311,-1834
2025-01-27,C,1780,123,1657
2025-01-28,C,341,1652,-1311
2025-01-29,B,1019,558,461
2025-01-30,C,169,2429,-2260
2025-01-31,C,4024,737,3287
2025-02-01,C,2186,706,1480
2025-02-02,B,2107,1592,515
2025-02-03,C,900,1342,-442
2025-02-04,A,2879,1449,1430
2025-02-05,A,855,2697,-1842
2025-02-06,B,2095,1602,493
2025-02-07,A,1421,1125,296
2025-02-08,B,2430,374,2056
2025-02-09,A,209,1041,-832
2025-02-10,A,1116,2043,-927
2025-02-11,A,3965,766,3199
2025-02-12,B,124,2820,-2696
2025-02-13,B,2938,326,2612
2025-02-14,C,837,2633,-1796
2025-02-15,B,279,201,78
2025-02-16,A,331,1004,-673
2025-02-17,A,2017,1556,461
2025-02-18,B,442,308,134
2025-02-19,B,4672,2421,2251
2025-02-20,B,2723,918,1805
2025-02-21,C,554,1241,-687
2025-02-22,A,4484,737,3747
2025-02-23,C,4725,359,4366
2025-02-24,C,2376,2900,-524
2025-02-25,A,695,1552,-857
2025-02-26,A,3974,2717,1257
2025-02-27,B,4630,522,4108
2025-02-28,B,4597,2558,2039
2025-03-01,C,2769,863,1906
2025-03-02,B,2235,895,1340
2025-03-03,B,4064,1214,2850
2025-03-04,A,1665,716,949
2025-03-05,A,408,2359,-1951
2025-03-06,B,442,1858,-1416
2025-03-07,A,535,1493,-958
2025-03-08,B,276,1817,-1541
2025-03-09,A,238,1314,-1076
2025-03-10,A,293,404,-111
2025-03-11,A,3357,1922,1435
2025-03-12,A,3335,2074,1261
2025-03-13,B,1042,2867,-1825
2025-03-14,C,4720,229,4491
2025-03-15,A,3979,115,3864
2025-03-16,B,3213,869,2344
2025-03-17,B,3062,1421,1641
2025-03-18,A,4936,220,4716
2025-03-19,C,1053,2571,-1518
2025-03-20,A,1402,2631,-1229
2025-03-21,B,3481,1440,2041
2025-03-22,C,2980,1180,1800
2025-03-23,B,2287,2536,-249
2025-03-24,A,4987,884,4103
2025-03-25,C,645,276,369
2025-03-26,B,2027,491,1536
2025-03-27,B,4252,2493,1759
2025-03-28,B,104,777,-673
2025-03-29,A,3581,1654,1927
2025-03-30,C,3353,2181,1172
2025-03-31,A,1462,1086,376
2025-04-01,A,1920,1882,38
2025-04-02,A,2763,1898,865
2025-04-03,C,3038,2790,248
2025-04-04,A,1373,542,831
2025-04-05,A,3426,1598,1828
2025-04-06,A,3759,1193,2566
2025-04-07,A,3045,1019,2026
2025-04-08,B,3118,2450,668
2025-04-09,A,1231,2137,-906
2025-04-10,B,4863,689,4174
2025-04-11,A,2736,222,2514
2025-04-12,C,3129,1620,1509
2025-04-13,B,3119,308,2811
2025-04-14,B,4477,566,3911
2025-04-15,B,3259,2827,432
2025-04-16,B,353,572,-219
2025-04-17,C,428,1967,-1539
2025-04-18,A,2691,2936,-245
2025-04-19,B,2930,2214,716
2025-04-20,C,3144,2281,863
2025-04-21,B,1520,1979,-459
2025-04-22,A,3501,1189,2312
2025-04-23,B,2992,2259,733
2025-04-24,C,754,2640,-1886
2025-04-25,A,859,888,-29
2025-04-26,C,1898,1139,759
2025-04-27,A,3071,1143,1928
2025-04-28,A,4611,2544,2067
2025-04-29,A,3526,2513,1013
2025-04-30,B,354,2629,-2275
2025-05-01,C,3923,2538,1385
2025-05-02,C,1976,2835,-859
2025-05-03,C,2857,2019,838
2025-05-04,A,2724,2561,163
2025-05-05,B,4221,2493,1728
2025-05-06,A,3104,2808,296
2025-05-07,C,4616,1624,2992
2025-05-08,B,3834,1630,2204
2025-05-09,B,1344,2492,-1148
2025-05-10,B,1108,2423,-1315
2025-05-11,C,4414,1164,3250
2025-05-12,B,1610,799,811
2025-05-13,B,2059,1143,916
2025-05-14,A,2608,1239,1369
