date,category,revenue,cost,profit
2024-03-24,A,2237,232,2005
2024-03-25,B,3516,2210,1306
2024-03-26,A,4545,1256,3289
2024-03-27,B,3630,2578,1052
2024-03-28,B,1386,1219,167
2024-03-29,A,3279,880,2399
2024-03-30,B,3754,1701,2053
2024-03-31,B,2459,1186,1273
2024-04-01,C,544,2860,-2316
2024-04-02,B,135,525,-390
2024-04-03,B,1575,2860,-1285
2024-04-04,B,4057,1376,2681
2024-04-05,C,1898,1020,878
2024-04-06,A,1945,1069,876
2024-04-07,C,1508,1191,317
2024-04-08,C,1808,1886,-78
2024-04-09,A,3038,210,2828
2024-04-10,C,1400,2498,-1098
2024-04-11,A,1343,247,1096
2024-04-12,C,4076,1333,2743
2024-04-13,A,3197,709,2488
2024-04-14,B,4716,1825,2891
2024-04-15,C,109,1120,-1011
2024-04-16,C,2525,2060,465
2024-04-17,C,1760,448,1312
2024-04-18,C,2731,1783,948
2024-04-19,B,4915,1632,3283
2024-04-20,C,1172,2175,-1003
2024-04-21,B,3325,2221,1104
2024-04-22,B,1416,124,1292
2024-04-23,B,4245,2234,2011
2024-04-24,B,3783,651,3132
2024-04-25,A,3373,886,2487
2024-04-26,A,245,1578,-1333
2024-04-27,C,3140,549,2591
2024-04-28,A,1562,1646,-84
2024-04-29,A,4776,187,4589
2024-04-30,C,1684,2147,-463
2024-05-01,C,582,1844,-1262
2024-05-02,C,3279,1022,2257
2024-05-03,A,1349,1692,-343
2024-05-04,A,4868,1935,2933
2024-05-05,C,730,2351,-1621
2024-05-06,B,761,2078,-1317
2024-05-07,C,3603,2807,796
2024-05-08,B,2952,1950,1002
2024-05-09,B,2566,2660,-94
2024-05-10,C,1087,2854,-1767
2024-05-11,C,1646,1499,147
2024-05-12,C,749,596,153
2024-05-13,A,1068,971,97
2024-05-14,B,2737,630,2107
2024-05-15,A,1200,1422,-222
2024-05-16,A,540,2006,-1466
2024-05-17,C,869,2053,-1184
2024-05-18,A,1443,2146,-703
2024-05-19,C,4458,753,3705
2024-05-20,B,3829,2358,1471
2024-05-21,C,4006,2453,1553
2024-05-22,A,1677,1675,2
2024-05-23,A,4108,687,3421
2024-05-24,C,3451,2840,611
2024-05-25,C,4895,1059,3836
2024-05-26,A,2449,690,1759
2024-05-27,B,3702,2889,813
2024-05-28,B,1341,2709,-1368
2024-05-29,C,1225,1911,-686
2024-05-30,B,2701,2906,-205
2024-05-31,A,1290,1255,35
2024-06-01,C,4231,735,3496
2024-06-02,A,4939,1901,3038
2024-06-03,A,4548,237,4311
2024-06-04,B,172,1669,-1497
2024-06-05,C,2014,1737,277
2024-06-06,C,2572,1034,1538
2024-06-07,B,3146,597,2549
2024-06-08,A,807,2822,-2015
2024-06-09,A,1904,1481,423
2024-06-10,A,3813,925,2888
2024-06-11,A,2664,667,1997
2024-06-12,C,2575,2511,64
2024-06-13,C,3710,1415,2295
2024-06-14,B,4355,1293,3062
2024-06-15,B,2923,952,1971
2024-06-16,C,1835,212,1623
2024-06-17,C,1685,2024,-339
2024-06-18,A,166,319,-153
2024-06-19,A,3161,681,2480
2024-06-20,B,2528,955,1573
2024-06-21,C,4253,2064,2189
2024-06-22,B,441,1691,-1250
2024-06-23,C,2874,254,2620
2024-06-24,A,2917,631,2286
2024-06-25,B,2761,1629,1132
2024-06-26,B,1332,890,442
2024-06-27,C,3974,1886,2088
2024-06-28,A,2501,1301,1200
2024-06-29,B,1594,1769,-175
2024-06-30,A,4311,1692,2619
2024-07-01,B,761,2693,-1932
2024-07-02,A,3983,2347,1636
2024-07-03,C,3719,924,2795
2024-07-04,B,1968,1514,454
2024-07-05,B,2434,2293,141
2024-07-06,A,3474,739,2735
2024-07-07,A,1116,2060,-944
2024-07-08,B,4506,2736,1770
2024-07-09,C,307,1472,-1165
2024-07-10,A,2765,2051,714
2024-07-11,A,2593,721,1872
2024-07-12,A,732,1221,-489
2024-07-13,B,2202,1545,657
2024-07-14,B,3059,993,2066
2024-07-15,B,3183,2296,887
2024-07-16,B,4852,1499,3353
2024-07-17,C,2031,2589,-558
2024-07-18,C,3819,945,2874
2024-07-19,B,2662,2239,423
2024-07-20,C,1779,1386,393
2024-07-21,A,336,214,122
2024-07-22,A,4543,2411,2132
2024-07-23,A,4825,2118,2707
2024-07-24,B,1640,1155,485
2024-07-25,A,4043,1803,2240
2024-07-26,C,463,2402,-1939
2024-07-27,B,2468,1988,480
2024-07-28,C,385,420,-35
2024-07-29,A,248,1930,-1682
2024-07-30,A,4137,902,3235
2024-07-31,A,4651,433,4218
2024-08-01,B,1866,1981,-115
2024-08-02,C,4995,2542,2453
2024-08-03,B,1112,474,638
2024-08-04,B,2931,2258,673
2024-08-05,A,2607,678,1929
2024-08-06,B,1623,944,679
2024-08-07,B,2885,2587,298
2024-08-08,A,2656,2424,232
2024-08-09,B,3825,647,3178
2024-08-10,A,4676,2386,2290
2024-08-11,A,1701,642,1059
2024-08-12,A,2508,1737,771
2024-08-13,A,440,622,-182
2024-08-14,B,2917,2125,792
2024-08-15,A,2596,2140,456
2024-08-16,A,1825,1754,71
2024-08-17,B,1789,2520,-731
2024-08-18,B,3367,226,3141
2024-08-19,C,4506,578,3928
2024-08-20,B,361,1683,-1322
2024-08-21,B,1542,1015,527
2024-08-22,C,505,1567,-1062
2024-08-23,B,2290,247,2043
2024-08-24,B,4537,2707,1830
2024-08-25,B,343,2939,-2596
2024-08-26,B,4685,902,3783
2024-08-27,C,4207,1587,2620
2024-08-28,B,660,2119,-1459
2024-08-29,B,4237,1130,3107
2024-08-30,C,2825,2939,-114
2024-08-31,A,693,147,546
2024-09-01,C,1926,1953,-27
2024-09-02,A,3329,484,2845
2024-09-03,C,3387,686,2701
2024-09-04,C,4173,637,3536
2024-09-05,B,233,393,-160
2024-09-06,A,3238,1367,1871
2024-09-07,B,4019,2029,1990
2024-09-08,A,172,620,-448
2024-09-09,C,4594,660,3934
2024-09-10,C,4325,1777,2548
2024-09-11,A,3078,2340,738
2024-09-12,B,4461,1904,2557
2024-09-13,B,2085,2658,-573
2024-09-14,B,892,1009,-117
2024-09-15,B,4359,2129,2230
2024-09-16,C,194,2488,-2294
2024-09-17,C,1233,2374,-1141
2024-09-18,C,337,581,-244
2024-09-19,C,3046,1227,1819
2024-09-20,C,2630,2480,150
2024-09-21,B,2060,1141,919
2024-09-22,B,1148,1951,-803
2024-09-23,B,2629,933,1696
2024-09-24,B,3064,2311,753
2024-09-25,C,1063,1728,-665
2024-09-26,C,636,2473,-1837
2024-09-27,C,4323,2841,1482
2024-09-28,A,3779,2310,1469
2024-09-29,B,4287,2176,2111
2024-09-30,B,3824,1799,2025
2024-10-01,C,642,2725,-2083
2024-10-02,B,945,2701,-1756
2024-10-03,B,3703,831,2872
2024-10-04,C,3136,2777,359
2024-10-05,A,2594,2155,439
2024-10-06,A,4585,930,3655
2024-10-07,A,2819,496,2323
2024-10-08,C,1984,2163,-179
2024-10-09,B,4238,1833,2405
2024-10-10,C,4449,1327,3122
2024-10-11,C,3301,2041,1260
2024-10-12,B,2810,1117,1693
2024-10-13,A,2053,1627,426
2024-10-14,A,4837,1061,3776
2024-10-15,C,3950,2324,1626
2024-10-16,A,789,823,-34
2024-10-17,C,2050,2776,-726
2024-10-18,C,556,1864,-1308
2024-10-19,B,2230,2698,-468
2024-10-20,B,4076,2476,1600
2024-10-21,B,4344,1251,3093
2024-10-22,C,1279,1500,-221
2024-10-23,B,4385,2806,1579
2024-10-24,A,3665,356,3309
2024-10-25,A,982,828,154
2024-10-26,C,499,2601,-2102
2024-10-27,C,708,2365,-1657
2024-10-28,B,1738,57,1681
2024-10-29,C,2248,2605,-357
2024-10-30,C,1482,525,957
2024-10-31,A,1503,1370,133
2024-11-01,A,919,2261,-1342
2024-11-02,B,3392,534,2858
2024-11-03,C,919,2664,-1745
2024-11-04,C,519,954,-435
2024-11-05,A,4319,608,3711
2024-11-06,C,4617,2017,2600
2024-11-07,A,3402,2335,1067
2024-11-08,B,1608,1177,431
2024-11-09,A,867,1283,-416
2024-11-10,C,2144,2651,-507
2024-11-11,B,2239,2925,-686
2024-11-12,A,3129,517,2612
2024-11-13,A,1649,2483,-834
2024-11-14,B,1864,2872,-1008
2024-11-15,B,2745,897,1848
2024-11-16,A,3816,2484,1332
2024-11-17,C,4705,2974,1731
2024-11-18,A,4581,308,4273
2024-11-19,B,2393,332,2061
2024-11-20,A,4937,1699,3238
2024-11-21,B,2808,1948,860
2024-11-22,B,1000,89,911
2024-11-23,C,3184,2583,601
2024-11-24,B,2109,2317,-208
2024-11-25,B,341,1064,-723
2024-11-26,C,2485,662,1823
2024-11-27,B,4368,1965,2403
2024-11-28,C,771,737,34
2024-11-29,C,263,662,-399
2024-11-30,B,564,2357,-1793
2024-12-01,B,3142,2463,679
2024-12-02,A,4692,1831,2861
2024-12-03,C,4895,1860,3035
2024-12-04,A,2542,2641,-99
2024-12-05,B,4898,2746,2152
2024-12-06,A,2455,1597,858
2024-12-07,C,4378,1980,2398
2024-12-08,A,4824,2911,1913
2024-12-09,C,2657,1202,1455
2024-12-10,B,645,624,21
2024-12-11,B,4819,1960,2859
2024-12-12,C,3935,1062,2873
2024-12-13,B,693,719,-26
2024-12-14,B,4939,318,4621
2024-12-15,B,3904,1333,2571
2024-12-16,B,1559,973,586
2024-12-17,C,3593,1175,2418
2024-12-18,A,2701,1579,1122
2024-12-19,A,2544,1808,736
2024-12-20,B,2772,1644,1128
2024-12-21,A,4300,296,4004
2024-12-22,A,116,1610,-1494
2024-12-23,B,3291,2228,1063
2024-12-24,B,492,2450,-1958
2024-12-25,A,524,2293,-1769
2024-12-26,C,671,1989,-1318
2024-12-27,B,3731,979,2752
2024-12-28,C,1220,2742,-1522
2024-12-29,A,341,276,65
2024-12-30,B,3997,2798,1199
2024-12-31,C,4195,314,3881
2025-01-01,B,2379,1445,934
2025-01-02,A,888,1507,-619
2025-01-03,C,814,695,119
2025-01-04,A,4954,2308,2646
2025-01-05,A,2949,1468,1481
2025-01-06,B,875,1523,-648
2025-01-07,C,4126,1437,2689
2025-01-08,A,2347,1949,398
2025-01-09,A,178,2554,-2376
2025-01-10,C,4026,2822,1204
2025-01-11,A,955,1299,-344
2025-01-12,A,2248,1031,1217
2025-01-13,C,1131,1204,-73
2025-01-14,C,3371,637,2734
2025-01-15,C,3676,525,3151
2025-01-16,C,4282,1871,2411
2025-01-17,B,3556,1035,2521
2025-01-18,C,3606,2253,1353
2025-01-19,B,507,1291,-784
2025-01-20,B,2811,239,2572
2025-01-21,B,3188,1490,1698
2025-01-22,A,1768,1030,738
2025-01-23,B,247,1748,-1501
2025-01-24,B,4427,1765,2662
2025-01-25,A,3997,2643,1354
2025-01-26,A,2050,90,1960
2025-01-27,A,465,2404,-1939
2025-01-28,C,1774,992,782
2025-01-29,A,4631,387,4244
2025-01-30,A,4594,1387,3207
2025-01-31,B,2646,1148,1498
2025-02-01,A,662,2376,-1714
2025-02-02,C,3662,945,2717
2025-02-03,A,2589,2370,219
2025-02-04,C,872,2934,-2062
2025-02-05,A,2137,2717,-580
2025-02-06,A,3523,1724,1799
2025-02-07,A,2667,2959,-292
2025-02-08,A,1673,980,693
2025-02-09,C,3794,338,3456
2025-02-10,C,3391,773,2618
2025-02-11,B,1346,2990,-1644
2025-02-12,C,3819,2369,1450
2025-02-13,A,3939,2003,1936
2025-02-14,B,459,1139,-680
2025-02-15,B,2476,532,1944
2025-02-16,B,3109,985,2124
2025-02-17,A,3093,2345,748
2025-02-18,C,1062,205,857
2025-02-19,A,3732,1120,2612
2025-02-20,B,1927,2008,-81
2025-02-21,A,1713,2551,-838
2025-02-22,A,1740,2298,-558
2025-02-23,C,2316,1733,583
2025-02-24,C,4412,173,4239
2025-02-25,B,477,2098,-1621
2025-02-26,A,4314,1017,3297
2025-02-27,A,4385,904,3481
2025-02-28,C,469,689,-220
2025-03-01,A,2296,2288,8
2025-03-02,A,3847,1652,2195
2025-03-03,A,751,2613,-1862
2025-03-04,C,869,491,378
2025-03-05,B,2521,1994,527
2025-03-06,B,880,1888,-1008
2025-03-07,A,1816,1879,-63
2025-03-08,B,4083,2240,1843
2025-03-09,C,1411,582,829
2025-03-10,C,3459,2324,1135
2025-03-11,B,622,1386,-764
2025-03-12,B,621,998,-377
2025-03-13,A,4978,2069,2909
2025-03-14,B,2420,509,1911
2025-03-15,A,1035,600,435
2025-03-16,A,2330,442,1888
2025-03-17,C,4140,1837,2303
2025-03-18,C,4683,894,3789
2025-03-19,C,3797,2307,1490
2025-03-20,C,2937,1188,1749
2025-03-21,B,4183,695,3488
2025-03-22,C,2561,2316,245
2025-03-23,B,3343,2504,839
2025-03-24,C,3459,1516,1943
2025-03-25,B,785,1427,-642
2025-03-26,A,2260,2985,-725
2025-03-27,B,4088,2655,1433
2025-03-28,B,4166,2647,1519
2025-03-29,C,1667,191,1476
2025-03-30,B,138,2709,-2571
2025-03-31,A,2644,550,2094
2025-04-01,A,4975,889,4086
2025-04-02,C,1356,2799,-1443
2025-04-03,A,3090,1732,1358
2025-04-04,B,2296,1615,681
2025-04-05,A,3568,2096,1472
2025-04-06,C,2808,1580,1228
2025-04-07,B,401,645,-244
2025-04-08,C,746,1954,-1208
2025-04-09,B,4858,330,4528
2025-04-10,A,1859,473,1386
2025-04-11,C,4451,2953,1498
2025-04-12,C,697,319,378
2025-04-13,B,761,203,558
2025-04-14,C,4430,2711,1719
2025-04-15,B,1468,1800,-332
2025-04-16,B,2681,711,1970
2025-04-17,B,3968,2017,1951
2025-04-18,B,3637,132,3505
2025-04-19,A,4965,2996,1969
2025-04-20,B,4408,1499,2909
2025-04-21,C,4658,1348,3310
2025-04-22,A,382,2381,-1999
2025-04-23,C,3778,1029,2749
2025-04-24,A,1586,2270,-684
2025-04-25,B,4182,2860,1322
2025-04-26,A,4283,1709,2574
2025-04-27,A,560,1448,-888
2025-04-28,C,2425,682,1743
2025-04-29,C,3854,1581,2273
2025-04-30,B,2568,836,1732
2025-05-01,A,1824,447,1377
2025-05-02,A,1476,1193,283
2025-05-03,A,2843,983,1860
2025-05-04,B,614,1510,-896
2025-05-05,B,802,1902,-1100
2025-05-06,B,1753,2773,-1020
2025-05-07,B,2166,2562,-396
2025-05-08,B,122,335,-213
2025-05-09,C,2560,314,2246
2025-05-10,A,1404,2417,-1013
2025-05-11,A,3400,2770,630
2025-05-12,A,461,2917,-2456
2025-05-13,A,3827,2186,1641
2025-05-14,A,1384,1727,-343
