date,category,revenue,cost,profit
2024-06-15,B,3737,1337,2400
2024-06-16,A,3430,2193,1237
2024-06-17,A,2803,1161,1642
2024-06-18,B,570,1361,-791
2024-06-19,B,1453,2911,-1458
2024-06-20,B,2883,2588,295
2024-06-21,C,2931,501,2430
2024-06-22,B,457,1573,-1116
2024-06-23,C,3119,214,2905
2024-06-24,A,767,231,536
2024-06-25,C,4568,2566,2002
2024-06-26,B,1245,959,286
2024-06-27,A,4285,2832,1453
2024-06-28,A,3819,872,2947
2024-06-29,A,2845,993,1852
2024-06-30,C,639,2051,-1412
2024-07-01,B,2879,2104,775
2024-07-02,A,4236,379,3857
2024-07-03,A,4935,824,4111
2024-07-04,A,3875,2248,1627
2024-07-05,C,2608,196,2412
2024-07-06,C,2879,964,1915
2024-07-07,B,1024,1621,-597
2024-07-08,C,3056,1358,1698
2024-07-09,A,1681,2797,-1116
2024-07-10,B,3424,131,3293
2024-07-11,A,4585,563,4022
2024-07-12,A,355,1970,-1615
2024-07-13,C,4904,2912,1992
2024-07-14,B,1938,2806,-868
2024-07-15,C,2044,1989,55
2024-07-16,C,109,795,-686
2024-07-17,B,2971,1459,1512
2024-07-18,A,897,756,141
2024-07-19,A,1115,520,595
2024-07-20,B,1924,445,1479
2024-07-21,A,4569,1605,2964
2024-07-22,B,3236,2358,878
2024-07-23,B,2293,854,1439
2024-07-24,C,323,983,-660
2024-07-25,B,4258,1329,2929
2024-07-26,C,4025,1807,2218
2024-07-27,A,4884,954,3930
2024-07-28,A,4100,1126,2974
2024-07-29,A,1733,1940,-207
2024-07-30,A,2252,1573,679
2024-07-31,C,610,2951,-2341
2024-08-01,A,484,1437,-953
2024-08-02,B,504,1353,-849
2024-08-03,B,4713,642,4071
2024-08-04,B,4671,2811,1860
2024-08-05,C,2100,2729,-629
2024-08-06,A,2856,2156,700
2024-08-07,A,1768,177,1591
2024-08-08,A,1560,785,775
2024-08-09,C,3736,2818,918
2024-08-10,B,2824,2623,201
2024-08-11,B,4909,570,4339
2024-08-12,A,4278,2649,1629
2024-08-13,B,2148,286,1862
2024-08-14,B,4246,1354,2892
2024-08-15,C,4880,1831,3049
2024-08-16,C,816,1351,-535
2024-08-17,C,4644,2591,2053
2024-08-18,C,4683,2101,2582
2024-08-19,A,1923,2763,-840
2024-08-20,C,2181,491,1690
2024-08-21,B,3519,2126,1393
2024-08-22,A,1674,2707,-1033
2024-08-23,B,349,854,-505
2024-08-24,B,773,124,649
2024-08-25,B,4633,2935,1698
2024-08-26,C,2265,2225,40
2024-08-27,C,870,2139,-1269
2024-08-28,A,4062,1429,2633
2024-08-29,A,4463,90,4373
2024-08-30,C,2084,2131,-47
2024-08-31,B,1177,1750,-573
2024-09-01,A,335,1451,-1116
2024-09-02,C,488,637,-149
2024-09-03,C,3137,1672,1465
2024-09-04,C,4958,391,4567
2024-09-05,B,1948,2124,-176
2024-09-06,C,4819,695,4124
2024-09-07,C,2914,780,2134
2024-09-08,C,3474,217,3257
2024-09-09,C,3378,659,2719
2024-09-10,A,1352,2365,-1013
2024-09-11,A,4081,1822,2259
2024-09-12,C,4773,2090,2683
2024-09-13,B,2222,2918,-696
2024-09-14,A,4630,504,4126
2024-09-15,C,2250,1758,492
2024-09-16,A,4959,751,4208
2024-09-17,A,1429,2731,-1302
2024-09-18,B,1458,1649,-191
2024-09-19,C,2582,179,2403
2024-09-20,C,4642,1895,2747
2024-09-21,B,2117,1436,681
2024-09-22,B,1431,2916,-1485
2024-09-23,C,4444,742,3702
2024-09-24,C,4361,1444,2917
2024-09-25,B,1458,843,615
2024-09-26,A,4737,78,4659
2024-09-27,A,4954,198,4756
2024-09-28,B,3277,1369,1908
2024-09-29,A,2228,2108,120
2024-09-30,B,2280,2773,-493
2024-10-01,A,4992,1186,3806
2024-10-02,A,237,236,1
2024-10-03,C,3572,2904,668
2024-10-04,C,2932,2841,91
2024-10-05,A,3679,1300,2379
2024-10-06,A,3131,1383,1748
2024-10-07,C,4264,147,4117
2024-10-08,C,2693,104,2589
2024-10-09,C,4400,2720,1680
2024-10-10,B,3918,2761,1157
2024-10-11,A,4238,807,3431
2024-10-12,C,3923,455,3468
2024-10-13,A,4142,2166,1976
2024-10-14,B,2006,1362,644
2024-10-15,B,860,1835,-975
2024-10-16,C,3545,800,2745
2024-10-17,B,999,1812,-813
2024-10-18,A,4555,414,4141
2024-10-19,C,3047,2076,971
2024-10-20,A,1819,531,1288
2024-10-21,A,380,2298,-1918
2024-10-22,B,3366,203,3163
2024-10-23,B,1987,1574,413
2024-10-24,B,3366,2170,1196
2024-10-25,B,766,2810,-2044
2024-10-26,B,4288,2393,1895
2024-10-27,C,771,1090,-319
2024-10-28,A,2069,1714,355
2024-10-29,A,4256,1290,2966
2024-10-30,A,3222,110,3112
2024-10-31,A,4799,988,3811
2024-11-01,B,4877,1689,3188
2024-11-02,A,4000,2139,1861
2024-11-03,C,623,74,549
2024-11-04,C,2493,1112,1381
2024-11-05,A,3217,180,3037
2024-11-06,A,2693,1302,1391
2024-11-07,C,2068,157,1911
2024-11-08,C,1853,221,1632
2024-11-09,B,2396,1508,888
2024-11-10,C,2361,151,2210
2024-11-11,B,2386,2963,-577
2024-11-12,B,4302,2621,1681
2024-11-13,B,2978,2372,606
2024-11-14,B,4243,1686,2557
2024-11-15,B,3744,2914,830
2024-11-16,A,4532,1090,3442
2024-11-17,C,2155,379,1776
2024-11-18,B,4820,1570,3250
2024-11-19,C,1376,61,1315
2024-11-20,C,2866,1391,1475
2024-11-21,B,402,265,137
2024-11-22,A,738,388,350
2024-11-23,B,155,1849,-1694
2024-11-24,A,4921,2758,2163
2024-11-25,C,625,1800,-1175
2024-11-26,A,4669,1558,3111
2024-11-27,A,4223,2471,1752
2024-11-28,A,2225,759,1466
2024-11-29,C,3387,1273,2114
2024-11-30,C,464,2563,-2099
2024-12-01,A,4721,1162,3559
2024-12-02,A,1746,1341,405
2024-12-03,B,1018,538,480
2024-12-04,A,2897,1611,1286
2024-12-05,B,1631,96,1535
2024-12-06,A,3445,827,2618
2024-12-07,B,2006,1089,917
2024-12-08,C,3186,760,2426
2024-12-09,A,4680,450,4230
2024-12-10,A,2175,1867,308
2024-12-11,A,813,299,514
2024-12-12,A,1162,440,722
2024-12-13,B,2076,384,1692
2024-12-14,A,1396,678,718
2024-12-15,C,225,186,39
2024-12-16,C,4732,2980,1752
2024-12-17,A,3696,2785,911
2024-12-18,C,3383,1571,1812
2024-12-19,A,1703,876,827
2024-12-20,A,166,776,-610
2024-12-21,C,332,1550,-1218
2024-12-22,A,2256,2691,-435
2024-12-23,C,1269,1039,230
2024-12-24,B,2258,2469,-211
2024-12-25,A,4306,984,3322
2024-12-26,B,1593,451,1142
2024-12-27,C,4818,1516,3302
2024-12-28,B,4107,664,3443
2024-12-29,B,2572,1346,1226
2024-12-30,C,2760,1232,1528
2024-12-31,B,2839,2717,122
2025-01-01,B,1861,2285,-424
2025-01-02,C,3614,1171,2443
2025-01-03,B,2075,180,1895
2025-01-04,C,2462,2902,-440
2025-01-05,B,976,1244,-268
2025-01-06,C,3912,232,3680
2025-01-07,C,3548,413,3135
2025-01-08,B,1412,88,1324
2025-01-09,B,1560,2594,-1034
2025-01-10,B,2809,1422,1387
2025-01-11,A,2424,970,1454
2025-01-12,A,1833,2819,-986
2025-01-13,A,1705,65,1640
2025-01-14,C,2663,542,2121
2025-01-15,B,3521,1499,2022
2025-01-16,C,3617,1181,2436
2025-01-17,A,2497,2991,-494
2025-01-18,B,3835,360,3475
2025-01-19,C,2970,788,2182
2025-01-20,B,1260,595,665
2025-01-21,C,4954,2511,2443
2025-01-22,B,342,300,42
2025-01-23,A,2690,808,1882
2025-01-24,A,1163,1854,-691
2025-01-25,B,4424,1347,3077
2025-01-26,C,2695,1681,1014
2025-01-27,A,1019,1964,-945
2025-01-28,A,105,863,-758
2025-01-29,A,567,78,489
2025-01-30,B,4270,1007,3263
2025-01-31,B,103,2082,-1979
2025-02-01,C,745,526,219
2025-02-02,C,217,367,-150
2025-02-03,C,3028,294,2734
2025-02-04,B,2651,797,1854
2025-02-05,B,4389,746,3643
2025-02-06,C,946,321,625
2025-02-07,C,2862,1821,1041
2025-02-08,B,1241,1312,-71
2025-02-09,C,1910,2474,-564
2025-02-10,A,823,315,508
2025-02-11,B,324,970,-646
2025-02-12,C,4727,389,4338
2025-02-13,B,4308,438,3870
2025-02-14,A,4754,2674,2080
2025-02-15,B,2148,2100,48
2025-02-16,B,4849,1215,3634
2025-02-17,B,4515,425,4090
2025-02-18,B,1673,2083,-410
2025-02-19,A,1928,2421,-493
2025-02-20,B,2017,195,1822
2025-02-21,B,4334,2031,2303
2025-02-22,C,2126,342,1784
2025-02-23,B,3844,481,3363
2025-02-24,C,1001,754,247
2025-02-25,A,4885,2048,2837
2025-02-26,A,2139,2682,-543
2025-02-27,A,109,448,-339
2025-02-28,A,360,2914,-2554
2025-03-01,C,1773,1013,760
2025-03-02,B,2319,2284,35
2025-03-03,A,2160,2091,69
2025-03-04,B,3813,1878,1935
2025-03-05,C,1719,2158,-439
2025-03-06,C,420,988,-568
2025-03-07,C,1442,759,683
2025-03-08,A,2476,856,1620
2025-03-09,B,2932,1513,1419
2025-03-10,B,2924,1375,1549
2025-03-11,B,2094,60,2034
2025-03-12,C,3058,1135,1923
2025-03-13,A,2138,1918,220
2025-03-14,C,3590,2323,1267
2025-03-15,C,3777,2661,1116
2025-03-16,B,1218,821,397
2025-03-17,C,1704,1644,60
2025-03-18,B,4127,1657,2470
2025-03-19,A,335,1383,-1048
2025-03-20,B,2069,934,1135
2025-03-21,A,4529,1439,3090
2025-03-22,B,2008,275,1733
2025-03-23,C,475,874,-399
2025-03-24,C,3630,2315,1315
2025-03-25,A,2735,986,1749
2025-03-26,A,1670,2850,-1180
2025-03-27,A,2660,2603,57
2025-03-28,B,3491,2356,1135
2025-03-29,B,3065,1961,1104
2025-03-30,A,3743,1846,1897
2025-03-31,C,3950,103,3847
2025-04-01,B,972,776,196
2025-04-02,B,1352,2786,-1434
2025-04-03,B,1414,1594,-180
2025-04-04,A,4920,1093,3827
2025-04-05,A,2998,1963,1035
2025-04-06,A,177,1826,-1649
2025-04-07,A,2721,1646,1075
2025-04-08,A,4327,1964,2363
2025-04-09,C,700,2516,-1816
2025-04-10,C,1165,2787,-1622
2025-04-11,A,2236,899,1337
2025-04-12,B,2549,2159,390
2025-04-13,A,2443,2313,130
2025-04-14,C,1963,52,1911
2025-04-15,C,1418,209,1209
2025-04-16,B,4811,830,3981
2025-04-17,C,3697,942,2755
2025-04-18,A,3862,2080,1782
2025-04-19,B,4770,2426,2344
2025-04-20,A,2290,629,1661
2025-04-21,A,1092,1983,-891
2025-04-22,B,2812,1430,1382
2025-04-23,A,2292,1340,952
2025-04-24,C,1348,1690,-342
2025-04-25,A,3154,1001,2153
2025-04-26,B,4698,2732,1966
2025-04-27,B,4133,1037,3096
2025-04-28,B,2097,1268,829
2025-04-29,A,3787,970,2817
2025-04-30,B,2251,2835,-584
2025-05-01,B,4118,1405,2713
2025-05-02,A,3210,219,2991
2025-05-03,C,2070,570,1500
2025-05-04,A,297,1536,-1239
2025-05-05,B,2726,89,2637
2025-05-06,B,1302,1610,-308
2025-05-07,A,2135,1468,667
2025-05-08,C,577,1004,-427
2025-05-09,B,1354,1033,321
2025-05-10,B,1022,1024,-2
2025-05-11,B,519,87,432
2025-05-12,A,2304,2425,-121
2025-05-13,B,2697,1324,1373
2025-05-14,C,1220,1249,-29
