listing_id,neighborhood,room_type,price_eur,minimum_nights,number_of_reviews,latitude,longitude,last_scraped
ATH-100036,,Private room,89.65,5,13,38.004908,23.703261,2025-01-15
ATH-100037,Monastiraki,Entire home/apt,187.44,1,18,38.029414,23.735391,2025-01-15
ATH-100038,Psiri,Entire home/apt,112.31,2,23,38.013609,23.713858,2025-01-15
ATH-100039,Kallithea,Private room,67.62,7,15,37.965274,23.741965,2025-01-15
ATH-100040,Exarcheia,Entire home/apt,159.68,1,18,37.975216,23.699597,2025-01-15
ATH-100041,Exarcheia,Entire home/apt,95.7,7,25,37.975677,23.760354,2025-01-15
ATH-100042,Kypseli,Entire home/apt,83.44,1,12,37.998228,23.721755,2025-01-15
ATH-100043,Syntagma,Entire home/apt,129.88,7,14,37.952942,23.737047,2025-01-15
ATH-100044,Pangrati,Entire home/apt,82.26,2,21,37.953096,23.722438,2025-01-15
ATH-100045,Kypseli,Entire home/apt,61.99,2,20,37.991717,23.72611,2025-01-15
ATH-100046,Ilion,Entire home/apt,52.45,1,15,37.968621,23.723962,2025-01-15
ATH-100047,Koukaki,Private room,167.09,5,35,37.988751,23.755041,2025-01-15
ATH-100048,Psiri,Entire home/apt,719.76,2,15,37.988642,23.702109,2025-01-15
ATH-100049,Monastiraki,Entire home/apt,125.22,2,26,37.956781,23.742823,2025-01-15
ATH-100050,Metaxourgeio,Private room,59.88,7,28,37.959286,23.739556,2025-01-15
ATH-100051,Monastiraki,Entire home/apt,122.33,1,15,37.986386,23.708731,2025-01-15
ATH-100052,Ilion,Entire home/apt,43.93,2,12,37.994693,23.733656,2025-01-15
ATH-100053,Pangrati,Entire home/apt,99.81,7,20,37.96022,23.694353,2025-01-15
ATH-100054,Syntagma,Entire home/apt,188.8,2,14,37.97152,23.732178,2025-01-15
ATH-100055,Kolonaki,Entire home/apt,114.09,1,29,38.003938,23.764295,2025-01-15
ATH-100056,Metaxourgeio,Entire home/apt,84.6,1,13,37.981052,23.782136,2025-01-15
ATH-100057,Monastiraki,Private room,146.63,1,24,37.97905,23.715238,2025-01-15
ATH-100058,Kolonaki,Entire home/apt,150.98,3,11,38.017683,23.736683,2025-01-15
ATH-100059,Plaka,Entire home/apt,253.76,4,12,37.97698,23.71793,2025-01-15
ATH-100060,Kypseli,Entire home/apt,104.89,2,12,37.980186,23.706126,2025-01-15
ATH-100061,Kolonaki,Entire home/apt,€133.04,2,18,37.956034,23.723939,2025-01-15
ATH-100062,Exarcheia,Private room,90.68,7,21,37.985264,23.723284,2025-01-15
ATH-100063,Kolonaki,Entire home/apt,110.41,1,18,37.969475,23.716465,2025-01-15
ATH-100064,Syntagma,Entire home/apt,485.6,1,21,37.946662,23.722878,2025-01-15
ATH-100065,Pangrati,Entire home/apt,101.09,5,20,37.980088,23.7081,2025-01-15
ATH-100066,Kallithea,Entire home/apt,41.55,1,27,38.011744,23.769041,2025-01-15
ATH-100067,Monastiraki,Entire home/apt,93.32,1,20,37.990721,23.771265,2025-01-15
ATH-100068,Kallithea,Entire home/apt,134.39,1,10,38.007927,23.699416,2025-01-15
ATH-100069,Koukaki,Entire home/apt,140.44,5,16,38.004763,23.708135,2025-01-15
ATH-100070,Kypseli,Entire home/apt,113.85,4,21,37.988087,23.713755,2025-01-15
ATH-100071,Ilion,Entire home/apt,€112.36,4,17,38.004911,23.719645,2025-01-15
ATH-100072,Zografou,Entire home/apt,36.13,4,16,37.990619,23.768042,2025-01-15
ATH-100073,Vyronas,Entire home/apt,153.21,7,16,37.989622,23.717656,2025-01-15
ATH-100074,Kolonaki,Private room,182.49,3,11,37.962675,23.736512,2025-01-15
ATH-100075,Neos Kosmos,Entire home/apt,90.35,1,25,37.982319,23.766282,2025-01-15
ATH-100076,Psiri,Entire home/apt,197.63,10,17,38.00731,23.733922,2025-01-15
ATH-100077,Ilion,Entire home/apt,57.28,1,20,37.981749,23.735455,2025-01-15
ATH-100078,Kolonaki,Entire home/apt,205.07,1,18,38.014714,23.702212,2025-01-15
ATH-100079,Gazi,Entire home/apt,114.62,2,15,37.984708,23.676757,2025-01-15
ATH-100080,Kypseli,Private room,69.24,1,15,38.010838,23.767452,2025-01-15
ATH-100081,Monastiraki,Entire home/apt,102.93,3,24,38.003278,23.761355,2025-01-15
ATH-100082,Pangrati,Entire home/apt,101.32,1,17,37.971448,23.719722,2025-01-15
ATH-100083,Kallithea,Entire home/apt,73.18,4,20,37.996612,23.714176,2025-01-15
ATH-100084,Neos Kosmos,Private room,120.64,7,14,37.982103,23.737291,2025-01-15
ATH-100085,Psiri,Private room,142.95,2,19,37.954132,23.726495,2025-01-15
ATH-100086,Kolonaki,Entire home/apt,201.56,4,21,37.990777,23.72405,2025-01-15
ATH-100087,Gazi,Private room,128.98,5,21,37.980872,23.754413,2025-01-15
ATH-100088,Vyronas,Entire home/apt,49.12,2,10,38.002899,23.745099,2025-01-15
ATH-100089,Gazi,Entire home/apt,100.63,10,24,37.972171,23.728772,2025-01-15
ATH-100090,Vyronas,Entire home/apt,42.45,2,19,37.996776,23.735482,2025-01-15
ATH-100091,Monastiraki,Entire home/apt,88.5,3,20,37.980879,23.717281,2025-01-15
ATH-100092,Koukaki,Entire home/apt,82.38,3,27,37.975866,23.765485,2025-01-15
ATH-100093,Gazi,Entire home/apt,130.4,3,16,38.001277,23.749536,2025-01-15
ATH-100094,Neos Kosmos,Private room,89.29,1,27,37.990454,23.726589,2025-01-15
ATH-100095,Vyronas,Entire home/apt,56.28,5,16,37.979408,23.717971,2025-01-15
ATH-100096,Kallithea,Private room,77.74,2,17,37.984381,23.733354,2025-01-15
ATH-100097,Exarcheia,Entire home/apt,99.37,1,20,37.974805,23.709387,2025-01-15
ATH-100098,Exarcheia,Private room,86.54,2,23,37.957046,23.709461,2025-01-15
ATH-100099,Kallithea,Entire home/apt,90.48,1,19,37.984485,23.724967,2025-01-15
ATH-100100,Exarcheia,Entire home/apt,75.25,3,21,38.008063,23.724353,2025-01-15
ATH-100101,Neos Kosmos,Entire home/apt,86.14,3,22,37.986091,23.768552,2025-01-15
ATH-100102,Kolonaki,Private room,106.76,3,22,38.005348,23.741426,2025-01-15
ATH-100103,Metaxourgeio,Entire home/apt,93.86,3,24,37.978644,23.703849,2025-01-15
ATH-100104,Ilion,Entire home/apt,45.72,2,26,38.011115,23.743592,2025-01-15
ATH-100105,Vyronas,Entire home/apt,76.47,4,9,37.996464,23.733989,2025-01-15
ATH-100106,Exarcheia,Shared room,95.09,3,23,37.988821,23.756408,2025-01-15
ATH-100107,Neos Kosmos,Entire home/apt,79.25,1,18,37.976713,23.735273,2025-01-15
ATH-100108,Ilion,Entire home/apt,77.11,3,18,37.96448,23.743646,2025-01-15
ATH-100109,Kypseli,Entire home/apt,52.46,2,20,38.024153,23.695982,2025-01-15
ATH-100110,Ilion,Entire home/apt,100.53,3,16,37.975736,23.734258,2025-01-15
ATH-100111,Koukaki,Entire home/apt,99.02,2,11,37.991499,23.711844,2025-01-15
ATH-100112,Psiri,Entire home/apt,81.26,3,23,37.978853,23.697081,2025-01-15
ATH-100113,Monastiraki,Private room,115.0,2,24,37.967972,23.762237,2025-01-15
ATH-100114,Ilion,Entire home/apt,58.83,4,18,37.988055,23.706576,2025-01-15
ATH-100115,Kallithea,Shared room,86.31,1,19,37.970359,23.688155,2025-01-15
ATH-100116,Ilion,Entire home/apt,38.75,3,16,37.981259,23.727481,2025-01-15
ATH-100117,Kypseli,Entire home/apt,110.06,4,28,38.012049,23.735925,2025-01-15
ATH-100118,Gazi,Entire home/apt,91.23,3,22,37.997169,23.741247,2025-01-15
ATH-100119,Gazi,Entire home/apt,64.45,1,20,37.984694,23.741129,2025-01-15
ATH-100120,Gazi,Entire home/apt,€124.67,1,23,37.959231,23.690384,2025-01-15
ATH-100121,Vyronas,Private room,39.38,1,16,37.980746,23.714294,2025-01-15
ATH-100122,Vyronas,Entire home/apt,60.47,5,18,37.981815,23.673755,2025-01-15
ATH-100123,Gazi,Entire home/apt,89.84,1,15,37.992636,23.742457,2025-01-15
ATH-100124,Kypseli,Entire home/apt,52.46,7,11,37.942091,23.731249,2025-01-15
ATH-100125,Zografou,Entire home/apt,90.92,7,19,38.010419,23.754226,2025-01-15
ATH-100126,Kypseli,Private room,74.8,4,22,37.991204,23.739215,2025-01-15
ATH-100127,Kolonaki,Private room,165.84,7,14,37.960876,23.689562,2025-01-15
ATH-100128,Plaka,Entire home/apt,180.94,4,17,37.998452,23.718471,2025-01-15
ATH-100129,Neos Kosmos,Entire home/apt,64.74,4,14,37.989316,23.747641,2025-01-15
ATH-100130,Kypseli,Entire home/apt,44.02,1,22,37.978794,23.749378,2025-01-15
ATH-100131,Koukaki,Entire home/apt,201.23,2,23,38.003131,23.715941,2025-01-15
ATH-100132,Plaka,Entire home/apt,92.83,2,15,37.988783,23.725078,2025-01-15
ATH-100133,Kypseli,Private room,47.41,10,16,37.989506,23.703053,2025-01-15
ATH-100134,Koukaki,Entire home/apt,€160.0,4,20,37.96342,23.730318,2025-01-15
ATH-100135,Koukaki,Entire home/apt,172.25,1,12,37.977039,23.766317,2025-01-15
ATH-100136,Koukaki,Entire home/apt,141.94,3,13,37.98049,23.720636,2025-01-15
ATH-100137,Kallithea,Entire home/apt,30.73,1,25,37.96079,23.723388,2025-01-15
ATH-100138,Gazi,Private room,90.62,2,25,37.968245,23.716014,2025-01-15
ATH-100139,Koukaki,Private room,100.26,3,15,37.965979,23.768061,2025-01-15
ATH-100140,Pangrati,Entire home/apt,85.99,3,16,37.994994,23.703949,2025-01-15
ATH-100141,Kolonaki,Private room,171.45,1,18,37.948938,23.747044,2025-01-15
ATH-100142,Metaxourgeio,Private room,77.18,3,24,38.004369,23.734432,2025-01-15
ATH-100143,Kypseli,Entire home/apt,75.91,2,20,37.972799,23.750398,2025-01-15
ATH-100144,Pangrati,Private room,145.98,1,21,37.982161,23.716792,2025-01-15
ATH-100145,Exarcheia,Entire home/apt,120.61,1,20,37.993225,23.743025,2025-01-15
ATH-100146,Syntagma,Entire home/apt,119.95,4,21,37.993894,23.741524,2025-01-15
ATH-100147,Syntagma,Entire home/apt,201.39,2,19,38.013088,23.706964,2025-01-15
ATH-100148,Monastiraki,Entire home/apt,96.16,1,19,37.990633,23.739537,2025-01-15
ATH-100149,Syntagma,Entire home/apt,127.62,7,17,37.988247,23.708564,2025-01-15
ATH-100150,Kypseli,Entire home/apt,101.96,3,21,37.998653,23.726096,2025-01-15
ATH-100151,Koukaki,Private room,129.17,2,11,37.994495,23.714892,2025-01-15
ATH-100152,Kallithea,Entire home/apt,124.39,1,14,37.996958,23.756395,2025-01-15
ATH-100153,Monastiraki,Entire home/apt,161.56,1,23,38.028509,23.729109,2025-01-15
ATH-100154,Ilion,Entire home/apt,63.39,1,13,38.004092,23.743657,2025-01-15
ATH-100155,Metaxourgeio,Entire home/apt,68.02,2,14,37.989256,23.760015,2025-01-15
ATH-100156,Kypseli,Entire home/apt,74.65,1,18,37.975357,23.734176,2025-01-15
ATH-100157,Ilion,Entire home/apt,42.99,1,15,38.006522,23.762262,2025-01-15
ATH-100158,Exarcheia,Entire home/apt,102.51,3,11,37.960782,23.737002,2025-01-15
ATH-100159,Monastiraki,Entire home/apt,127.42,4,22,38.005244,23.736116,2025-01-15
ATH-100160,Koukaki,Entire home/apt,€82.81,1,18,37.983227,23.717168,2025-01-15
ATH-100161,Kolonaki,Entire home/apt,122.2,1,17,37.969408,23.721518,2025-01-15
ATH-100162,Ilion,Entire home/apt,51.03,1,22,37.949145,23.714371,2025-01-15
ATH-100163,Zografou,Entire home/apt,50.7,1,12,37.963002,23.739702,2025-01-15
ATH-100164,Metaxourgeio,Entire home/apt,45.55,2,22,37.960406,23.732305,2025-01-15
ATH-100165,Ilion,Entire home/apt,73.34,2,17,37.970137,23.725847,2025-01-15
ATH-100166,Gazi,Private room,90.33,3,17,37.938849,23.739503,2025-01-15
ATH-100167,Exarcheia,Entire home/apt,47.67,2,22,37.965329,23.725469,2025-01-15
ATH-100168,Kypseli,Private room,74.99,10,15,37.972551,23.737384,2025-01-15
ATH-100169,Koukaki,Private room,162.52,2,21,37.964222,23.735753,2025-01-15
ATH-100170,Koukaki,Entire home/apt,70.91,2,29,37.968518,23.731906,2025-01-15
ATH-100171,Exarcheia,Entire home/apt,91.54,3,22,37.996455,23.700601,2025-01-15
ATH-100172,Exarcheia,Entire home/apt,85.88,5,17,37.978923,23.68386,2025-01-15
ATH-100173,Kolonaki,Entire home/apt,158.06,1,22,37.965706,23.740205,2025-01-15
ATH-100174,Psiri,Entire home/apt,79.56,2,24,37.988294,23.749992,2025-01-15
ATH-100175,Kolonaki,Entire home/apt,212.79,2,16,37.983011,23.724634,2025-01-15
ATH-100176,Kallithea,Entire home/apt,119.72,7,8,37.996505,23.726889,2025-01-15
ATH-100177,Syntagma,Entire home/apt,112.83,1,17,38.006816,23.768316,2025-01-15
ATH-100178,Monastiraki,Entire home/apt,69.02,5,19,38.003546,23.731417,2025-01-15
ATH-100179,Neos Kosmos,Entire home/apt,€64.8,3,21,37.982238,23.7247,2025-01-15
ATH-100180,Ilion,Entire home/apt,56.17,1,17,37.973894,23.746104,2025-01-15
ATH-100181,Plaka,Private room,160.22,4,18,37.98373,23.703788,2025-01-15
ATH-100182,Exarcheia,Entire home/apt,111.81,2,22,38.000101,23.727758,2025-01-15
ATH-100183,Kolonaki,Entire home/apt,181.94,2,19,38.032296,23.736228,2025-01-15
ATH-100184,Kolonaki,Entire home/apt,319.45,1,20,37.977088,23.732371,2025-01-15
ATH-100185,Gazi,Entire home/apt,104.18,3,14,37.975292,23.768609,2025-01-15
ATH-100186,Neos Kosmos,Entire home/apt,89.71,2,17,37.98106,23.781414,2025-01-15
ATH-100187,Monastiraki,Entire home/apt,141.34,1,18,38.011841,23.695232,2025-01-15
ATH-100188,Koukaki,Entire home/apt,95.55,5,20,37.995487,23.741028,2025-01-15
ATH-100189,Syntagma,Private room,214.26,1,19,37.987627,23.753178,2025-01-15
ATH-100190,Monastiraki,Entire home/apt,130.64,3,14,38.007003,23.727239,2025-01-15
ATH-100191,Ilion,Entire home/apt,51.03,3,20,37.975366,23.709449,2025-01-15
ATH-100192,Neos Kosmos,Entire home/apt,103.23,3,21,37.973779,23.734941,2025-01-15
ATH-100193,Psiri,Entire home/apt,137.16,3,15,37.969864,23.740565,2025-01-15
ATH-100194,Kolonaki,Entire home/apt,175.72,1,12,38.003822,23.729996,2025-01-15
ATH-100195,Vyronas,Entire home/apt,59.62,10,18,38.004504,23.747524,2025-01-15
ATH-100196,Zografou,Entire home/apt,82.47,1,22,37.992229,23.729658,2025-01-15
ATH-100197,Kolonaki,Entire home/apt,193.86,2,13,37.977814,23.720244,2025-01-15
ATH-100198,Gazi,Entire home/apt,69.95,4,22,37.993595,23.719816,2025-01-15
ATH-100199,Ilion,Entire home/apt,62.07,5,24,37.965902,23.720288,2025-01-15
ATH-100200,Zografou,Entire home/apt,46.31,3,24,37.988058,23.726384,2025-01-15
ATH-100201,Gazi,Entire home/apt,106.83,2,16,37.965584,23.6991,2025-01-15
ATH-100202,Gazi,Private room,122.74,1,27,38.001312,23.690961,2025-01-15
ATH-100203,Pangrati,Entire home/apt,90.17,2,12,38.003366,23.744062,2025-01-15
ATH-100204,Kolonaki,Private room,125.21,3,16,37.979954,23.715905,2025-01-15
ATH-100205,Monastiraki,Private room,67.5,2,19,37.974625,23.737046,2025-01-15
ATH-100206,Exarcheia,Entire home/apt,93.49,2,15,37.991358,23.735491,2025-01-15
ATH-100207,Zografou,Entire home/apt,71.84,2,25,38.002122,23.761825,2025-01-15
ATH-100208,Metaxourgeio,Entire home/apt,61.52,5,23,37.968139,23.724896,2025-01-15
ATH-100209,Gazi,Entire home/apt,99.88,4,12,37.967876,23.687409,2025-01-15
ATH-100210,Zografou,Private room,49.15,1,17,37.974014,23.719472,2025-01-15
ATH-100211,Gazi,Entire home/apt,159.55,1,16,37.983079,23.739671,2025-01-15
ATH-100212,Ilion,Entire home/apt,42.09,2,24,38.014175,23.71202,2025-01-15
ATH-100213,Neos Kosmos,Entire home/apt,42.63,4,19,38.014104,23.724992,2025-01-15
ATH-100214,Syntagma,Entire home/apt,163.62,1,9,37.964753,23.708298,2025-01-15
ATH-100215,Pangrati,Private room,43.08,7,16,38.008345,23.78025,2025-01-15
ATH-100216,Neos Kosmos,Entire home/apt,79.41,2,22,38.006656,23.744763,2025-01-15
ATH-100217,Syntagma,Private room,103.25,1,16,37.997658,23.714733,2025-01-15
ATH-100218,Psiri,Entire home/apt,159.77,2,17,37.984787,23.710852,2025-01-15
ATH-100219,Neos Kosmos,Entire home/apt,88.87,2,16,37.977265,23.740047,2025-01-15
ATH-100220,Kallithea,Entire home/apt,113.81,2,17,37.975465,23.735545,2025-01-15
ATH-100221,Plaka,Entire home/apt,134.3,7,21,37.993017,23.704231,2025-01-15
ATH-100222,Kolonaki,Private room,181.34,1,10,37.970345,23.691384,2025-01-15
ATH-100223,Zografou,Entire home/apt,89.69,4,24,37.993736,23.719666,2025-01-15
ATH-100224,Psiri,Entire home/apt,101.34,1,24,37.949811,23.706552,2025-01-15
ATH-100225,Pangrati,Entire home/apt,100.62,3,25,37.957514,23.732829,2025-01-15
ATH-100226,Kypseli,Entire home/apt,51.49,2,17,37.99911,23.737132,2025-01-15
ATH-100227,Psiri,Shared room,169.59,7,21,37.970215,23.707261,2025-01-15
ATH-100228,Kypseli,Entire home/apt,53.97,2,10,37.976511,23.736683,2025-01-15
ATH-100229,Kolonaki,Entire home/apt,200.7,1,20,37.991446,23.732074,2025-01-15
ATH-100230,Psiri,Entire home/apt,77.55,1,18,37.957525,23.725143,2025-01-15
ATH-100231,Exarcheia,Entire home/apt,92.28,1,22,37.981366,23.692894,2025-01-15
ATH-100232,Monastiraki,Entire home/apt,162.11,1,29,37.983247,23.736227,2025-01-15
ATH-100233,Gazi,Entire home/apt,171.43,10,22,37.979076,23.70221,2025-01-15
ATH-100234,Ilion,Entire home/apt,54.46,3,13,37.943485,23.737479,2025-01-15
ATH-100235,Syntagma,Entire home/apt,132.07,1,15,37.938633,23.764929,2025-01-15
ATH-100236,Ilion,Entire home/apt,99.81,2,9,37.984427,23.707006,2025-01-15
ATH-100237,Neos Kosmos,Entire home/apt,96.57,2,13,38.014599,23.711062,2025-01-15
ATH-100238,Pangrati,Entire home/apt,138.31,4,24,37.983679,23.690877,2025-01-15
ATH-100239,Vyronas,Entire home/apt,106.26,1,17,37.96235,23.737126,2025-01-15
ATH-100240,Neos Kosmos,Entire home/apt,140.03,4,19,37.975118,23.754799,2025-01-15
ATH-100241,Monastiraki,Entire home/apt,144.68,1,18,37.990327,23.72797,2025-01-15
ATH-100242,Koukaki,Entire home/apt,125.09,1,15,38.009146,23.763853,2025-01-15
ATH-100243,Kallithea,Entire home/apt,59.5,5,22,37.957725,23.736133,2025-01-15
ATH-100244,Plaka,Entire home/apt,241.88,1,18,37.978876,23.701029,2025-01-15
ATH-100245,Exarcheia,Entire home/apt,98.31,10,21,37.963768,23.768946,2025-01-15
ATH-100246,Metaxourgeio,Entire home/apt,59.63,1,18,38.027991,23.723139,2025-01-15
ATH-100247,Vyronas,Entire home/apt,106.12,5,22,37.999907,23.730438,2025-01-15
ATH-100248,Zografou,Entire home/apt,75.5,1,13,37.970994,23.745495,2025-01-15
ATH-100249,Psiri,Entire home/apt,96.06,1,20,37.961904,23.74206,2025-01-15
ATH-100250,Syntagma,Entire home/apt,178.34,7,24,37.961251,23.734101,2025-01-15
ATH-100251,Kypseli,Entire home/apt,31.07,2,25,37.996477,23.717673,2025-01-15
ATH-100252,Vyronas,Entire home/apt,20.4,2,22,38.001219,23.739425,2025-01-15
ATH-100253,Monastiraki,Entire home/apt,113.33,2,14,37.992934,23.69851,2025-01-15
ATH-100254,Syntagma,Entire home/apt,152.21,4,19,37.976079,23.722947,2025-01-15
ATH-100255,Neos Kosmos,Entire home/apt,€85.67,2,16,37.986042,23.725254,2025-01-15
ATH-100256,Vyronas,Entire home/apt,75.41,2,14,38.002233,23.699102,2025-01-15
ATH-100257,Zografou,Entire home/apt,82.92,1,16,38.024826,23.709228,2025-01-15
ATH-100258,Kypseli,Entire home/apt,59.52,5,16,37.964639,23.73451,2025-01-15
ATH-100259,Kallithea,Entire home/apt,83.49,10,11,37.982846,23.771081,2025-01-15
ATH-100260,Syntagma,Entire home/apt,199.28,4,15,38.017863,23.762327,2025-01-15
ATH-100261,Metaxourgeio,Entire home/apt,82.29,2,20,37.971849,23.749833,2025-01-15
ATH-100262,Syntagma,Entire home/apt,153.85,2,20,37.966569,23.733664,2025-01-15
ATH-100263,Kypseli,Entire home/apt,38.06,3,19,37.985607,23.697049,2025-01-15
ATH-100264,Gazi,Entire home/apt,70.22,1,17,38.002302,23.754956,2025-01-15
ATH-100265,Zografou,Entire home/apt,34.87,2,23,38.003601,23.726784,2025-01-15
ATH-100266,Koukaki,Private room,73.69,2,17,38.020401,23.782933,2025-01-15
ATH-100267,Syntagma,Entire home/apt,111.15,2,14,37.975205,23.681484,2025-01-15
ATH-100268,Syntagma,Entire home/apt,115.87,4,15,37.978643,23.747729,2025-01-15
ATH-100269,Monastiraki,Private room,96.82,2,17,38.00789,23.745535,2025-01-15
ATH-100270,Neos Kosmos,Entire home/apt,40.82,2,18,37.981819,23.746485,2025-01-15
ATH-100271,Ilion,Entire home/apt,63.17,5,13,37.965546,23.702225,2025-01-15
ATH-100272,Pangrati,Entire home/apt,72.91,2,23,37.949192,23.73266,2025-01-15
ATH-100273,Kypseli,Private room,92.77,2,18,37.995675,23.744861,2025-01-15
ATH-100274,Vyronas,Entire home/apt,€61.84,1,22,37.942544,23.727445,2025-01-15
ATH-100275,Pangrati,Entire home/apt,56.56,2,11,37.998531,23.759867,2025-01-15
ATH-100276,Gazi,Entire home/apt,128.8,7,26,37.997204,23.757059,2025-01-15
ATH-100277,Vyronas,Private room,54.31,2,18,37.972502,23.724281,2025-01-15
ATH-100278,Zografou,Entire home/apt,69.22,5,16,37.987626,23.742093,2025-01-15
ATH-100279,Metaxourgeio,Entire home/apt,71.72,5,21,38.010881,23.729642,2025-01-15
ATH-100280,,Entire home/apt,148.05,3,21,38.006507,23.67872,2025-01-15
ATH-100281,Syntagma,Entire home/apt,93.61,2,22,38.004797,23.754153,2025-01-15
ATH-100282,Monastiraki,Entire home/apt,80.98,3,14,38.000196,23.700331,2025-01-15
ATH-100283,Gazi,Entire home/apt,137.51,1,15,38.00476,23.749892,2025-01-15
ATH-100284,Kypseli,Entire home/apt,39.22,1,18,37.978022,23.722264,2025-01-15
ATH-100285,Kolonaki,Entire home/apt,280.17,1,14,37.987679,23.72845,2025-01-15
ATH-100286,Kolonaki,Entire home/apt,117.91,1,19,37.98532,23.715299,2025-01-15
ATH-100287,Syntagma,Entire home/apt,135.03,7,21,37.991052,23.733195,2025-01-15
ATH-100288,Monastiraki,Entire home/apt,67.18,3,14,37.953985,23.687777,2025-01-15
ATH-100289,Monastiraki,Entire home/apt,107.69,5,22,37.963295,23.692765,2025-01-15
ATH-100290,Kallithea,Entire home/apt,144.64,2,13,37.954447,23.73467,2025-01-15
ATH-100291,Pangrati,Entire home/apt,106.86,3,10,37.965835,23.716143,2025-01-15
ATH-100292,Syntagma,Private room,160.23,10,16,37.998939,23.738496,2025-01-15
ATH-100293,Metaxourgeio,Entire home/apt,99.27,4,20,37.989086,23.753699,2025-01-15
ATH-100294,Zografou,Entire home/apt,51.72,3,15,37.981434,23.712593,2025-01-15
ATH-100295,Metaxourgeio,Entire home/apt,102.89,1,20,38.008081,23.689524,2025-01-15
ATH-100296,Metaxourgeio,Private room,56.91,3,22,38.019922,23.730552,2025-01-15
ATH-100297,Kolonaki,Private room,201.56,2,16,37.994118,23.74984,2025-01-15
ATH-100298,Metaxourgeio,Private room,97.66,4,13,37.974744,23.711914,2025-01-15
ATH-100299,Monastiraki,Entire home/apt,191.09,4,19,37.994031,23.760362,2025-01-15
ATH-100300,Neos Kosmos,Entire home/apt,66.28,2,19,38.027169,23.755857,2025-01-15
ATH-100301,Kypseli,Entire home/apt,57.21,1,15,37.987822,23.746668,2025-01-15
ATH-100302,Neos Kosmos,Entire home/apt,74.6,7,24,38.003106,23.75016,2025-01-15
ATH-100303,Kypseli,Entire home/apt,59.28,2,20,37.961813,23.698304,2025-01-15
ATH-100304,Neos Kosmos,Entire home/apt,92.79,3,21,37.995049,23.700924,2025-01-15
