Order ID,Order Date,Region,State,Segment,Category,Sub-Category,Quantity,Discount,Sales,Profit,Order Date Parsed,Profit Ratio,Year,Month
ORD-000013,2018-03-08 18:08:22,Central,IN,Consumer,Furniture,Tables,1,0.1,295.01,-47.18,2018-03-08 18:08:22,-0.1599267821429782,2018,Mar
ORD-000014,2017-02-09 10:15:47,South,FL,Consumer,Office Supplies,Storage,5,0.26,1545.82,161.56,2017-02-09 10:15:47,0.10451410901657374,2017,Feb
ORD-000015,2015-09-06 07:44:09,East,NY,Consumer,Technology,Copiers,4,0.33,456.99,25.87,2015-09-06 07:44:09,0.056609553819558414,2015,Sep
ORD-000016,2014-12-17 16:51:15,East,VA,Consumer,Technology,Copiers,4,0.22,755.89,81.96,2014-12-17 16:51:15,0.10842847504266494,2014,Dec
ORD-000017,2015-01-04 02:48:10,West,WA,Corporate,Office Supplies,Storage,4,0.24,276.47,-57.98,2015-01-04 02:48:10,-0.20971533981987192,2015,Jan
ORD-000018,2015-11-04 18:41:14,South,NC,Home Office,Office Supplies,Accessories,1,0.13,207.28,51.75,2015-11-04 18:41:14,0.24966229255113856,2015,Nov
ORD-000019,2014-04-20 03:00:10,East,PA,Consumer,Office Supplies,Binders,7,0.0,2540.37,463.8,2014-04-20 03:00:10,0.18257183008774314,2014,Apr
ORD-000020,2015-11-24 09:47:43,East,MD,Consumer,Furniture,Chairs,3,0.23,661.2,1.25,2015-11-24 09:47:43,0.0018905021173623714,2015,Nov
ORD-000021,2015-05-05 04:44:11,East,NY,Consumer,Office Supplies,Paper,5,0.12,669.21,45.38,2015-05-05 04:44:11,0.06781129989091615,2015,May
ORD-000022,2015-03-25 12:27:19,South,TN,Consumer,Office Supplies,Binders,7,0.28,1416.65,125.71,2015-03-25 12:27:19,0.0887375145589948,2015,Mar
ORD-000023,2018-04-25 18:36:15,East,NY,Consumer,Technology,Accessories,2,0.04,367.85,72.09,2018-04-25 18:36:15,0.1959766209052603,2018,Apr
ORD-000024,2016-06-04 20:52:14,Central,MI,Corporate,Office Supplies,Storage,5,0.14,292.59,-15.86,2016-06-04 20:52:14,-0.05420554359342425,2016,Jun
ORD-000025,2017-06-30 13:34:44,West,WA,Corporate,Furniture,Furnishings,1,0.06,6.67,-71.05,2017-06-30 13:34:44,-10.652173913043478,2017,Jun
ORD-000026,2016-01-12 23:31:44,East,MD,Consumer,Office Supplies,Accessories,2,0.12,713.21,10.27,2016-01-12 23:31:44,0.01439968592700607,2016,Jan
ORD-000027,2015-04-12 10:21:54,South,GA,Corporate,Technology,Accessories,3,0.05,123.23,50.56,2015-04-12 10:21:54,0.41028970218291,2015,Apr
ORD-000028,2017-07-31 11:42:36,West,CO,Consumer,Office Supplies,Storage,4,0.31,204.25,160.5,2017-07-31 11:42:36,0.7858017135862914,2017,Jul
ORD-000029,2016-07-03 13:59:57,West,CO,Consumer,Furniture,Bookcases,2,0.18,576.72,-10.83,2016-07-03 13:59:57,-0.0187786100707449,2016,Jul
ORD-000030,2018-10-03 22:57:11,South,TX,Consumer,Technology,Machines,5,0.22,1669.63,258.23,2018-10-03 22:57:11,0.15466300916969627,2018,Oct
ORD-000031,2014-02-27 12:15:57,West,AZ,Home Office,Technology,Copiers,6,0.16,155.11,-19.11,2014-02-27 12:15:57,-0.12320288827283861,2014,Feb
ORD-000032,2016-08-14 06:58:06,Central,OH,Consumer,Office Supplies,Storage,1,0.23,507.63,-63.98,2016-08-14 06:58:06,-0.12603668025924394,2016,Aug
ORD-000033,2014-11-22 02:25:31,East,MD,Consumer,Technology,Phones,1,0.16,136.11,10.56,2014-11-22 02:25:31,0.07758430681066784,2014,Nov
ORD-000034,2014-10-22 19:38:30,Central,MI,Home Office,Office Supplies,Paper,2,0.25,603.12,28.34,2014-10-22 19:38:30,0.046988990582305344,2014,Oct
ORD-000035,2016-07-08 20:08:04,West,CO,Home Office,Furniture,Tables,4,0.2,246.78,16.31,2016-07-08 20:08:04,0.06609125536915471,2016,Jul
ORD-000036,2014-12-23 15:06:08,Central,MO,Consumer,Office Supplies,Accessories,3,0.15,20.0,-76.28,2014-12-23 15:06:08,-3.814,2014,Dec
ORD-000037,2015-09-13 15:28:33,Central,MO,Corporate,Office Supplies,Accessories,3,0.2,1242.69,165.32,2015-09-13 15:28:33,0.13303398273101094,2015,Sep
ORD-000038,2018-02-22 19:11:27,South,GA,Home Office,Technology,Accessories,4,0.24,1373.19,325.97,2018-02-22 19:11:27,0.23738157137759525,2018,Feb
ORD-000039,2016-07-30 12:19:31,Central,IN,Corporate,Furniture,Bookcases,1,0.16,144.96,-86.58,2016-07-30 12:19:31,-0.5972682119205297,2016,Jul
ORD-000040,2014-01-25 00:00:00,South,FL,Consumer,Office Supplies,Binders,1,0.17,491.65,69.62,2014-01-25 00:00:00,0.1416048001627174,2014,Jan
ORD-000041,2017-10-04 05:27:06,West,AZ,Consumer,Furniture,Tables,2,0.07,527.47,157.78,2017-10-04 05:27:06,0.29912601664549643,2017,Oct
ORD-000042,2014-07-16 09:32:25,East,MD,Corporate,Office Supplies,Binders,1,0.37,128.07,-40.98,2014-07-16 09:32:25,-0.3199812602483017,2014,Jul
ORD-000043,2018-06-14 22:23:12,Central,OH,Consumer,Technology,Accessories,5,0.13,2084.62,156.44,2018-06-14 22:23:12,0.07504485229922,2018,Jun
ORD-000044,2017-01-17 12:07:23,Central,MI,Consumer,Technology,Phones,3,0.11,703.28,-59.35,2017-01-17 12:07:23,-0.08439028551928109,2017,Jan
ORD-000045,2014-07-13 19:40:16,South,FL,Consumer,Furniture,Bookcases,3,0.16,20.0,-4.13,2014-07-13 19:40:16,-0.2065,2014,Jul
ORD-000046,2018-03-28 23:35:21,West,CA,Consumer,Technology,Copiers,7,0.23,3007.07,308.92,2018-03-28 23:35:21,0.10273123006780686,2018,Mar
ORD-000047,2014-06-05 01:57:28,West,WA,Corporate,Technology,Copiers,6,0.21,2025.04,223.21,2014-06-05 01:57:28,0.1102249832102082,2014,Jun
ORD-000048,2017-07-25 17:47:39,South,NC,Consumer,Technology,Machines,3,0.17,946.13,314.46,2017-07-25 17:47:39,0.33236447422658616,2017,Jul
ORD-000049,2017-12-30 08:20:22,Central,MI,Consumer,Furniture,Tables,1,0.12,84.35,-27.08,2017-12-30 08:20:22,-0.3210432720806165,2017,Dec
ORD-000050,2014-10-27 01:05:18,Central,MO,Home Office,Technology,Phones,2,0.04,545.82,100.72,2014-10-27 01:05:18,0.1845296984353816,2014,Oct
ORD-000051,2015-02-05 18:14:19,South,TN,Consumer,Furniture,Tables,1,0.17,102.79,-42.96,2015-02-05 18:14:19,-0.4179394882770697,2015,Feb
ORD-000052,2018-08-23 07:16:02,East,MA,Home Office,Office Supplies,Accessories,4,0.2,1609.91,182.91,2018-08-23 07:16:02,0.11361504680385859,2018,Aug
ORD-000053,2016-10-11 00:34:30,West,AZ,Consumer,Furniture,Tables,1,0.1,183.65,13.8,2016-10-11 00:34:30,0.07514293493057446,2016,Oct
ORD-000054,2018-06-11 03:26:58,East,MD,Consumer,Technology,Machines,2,0.19,13.33,184.94,2018-06-11 03:26:58,13.87396849212303,2018,Jun
ORD-000055,2016-12-16 14:09:10,Central,MO,Consumer,Furniture,Tables,3,0.08,508.57,9.99,2016-12-16 14:09:10,0.019643313604813497,2016,Dec
ORD-000056,2016-05-22 18:49:15,Central,IL,Home Office,Furniture,Furnishings,7,0.13,287.17,94.86,2016-05-22 18:49:15,0.33032698401643623,2016,May
ORD-000057,2017-09-18 04:08:06,East,NY,Home Office,Furniture,Chairs,2,0.27,679.0,55.23,2017-09-18 04:08:06,0.081340206185567,2017,Sep
ORD-000058,2017-04-18 19:59:51,East,MD,Consumer,Office Supplies,Accessories,4,0.24,26.67,-10.51,2017-04-18 19:59:51,-0.39407574053243344,2017,Apr
ORD-000059,2016-10-21 16:13:29,Central,OH,Corporate,Office Supplies,Paper,4,0.37,1570.67,-30.02,2016-10-21 16:13:29,-0.019112862663704024,2016,Oct
ORD-000060,2015-02-20 15:21:54,Central,IL,Home Office,Furniture,Furnishings,4,0.11,1296.93,108.97,2015-02-20 15:21:54,0.0840214969196487,2015,Feb
ORD-000061,2018-03-17 17:52:43,South,FL,Corporate,Office Supplies,Accessories,4,0.27,1334.39,217.18,2018-03-17 17:52:43,0.162756015857433,2018,Mar
ORD-000062,2015-09-12 03:46:09,East,NY,Consumer,Office Supplies,Accessories,4,0.25,152.78,33.12,2015-09-12 03:46:09,0.216782301348344,2015,Sep
ORD-000063,2015-05-20 11:13:06,West,AZ,Consumer,Office Supplies,Storage,3,0.14,728.83,221.99,2015-05-20 11:13:06,0.3045840593828465,2015,May
ORD-000064,2014-07-01 03:45:58,Central,WI,Consumer,Furniture,Bookcases,3,0.08,649.81,128.54,2014-07-01 03:45:58,0.1978116680260384,2014,Jul
ORD-000065,2014-11-29 02:48:32,South,GA,Consumer,Technology,Machines,7,0.16,555.77,156.88,2014-11-29 02:48:32,0.28227504183385216,2014,Nov
ORD-000066,2015-03-06 00:35:46,East,VA,Consumer,Technology,Accessories,4,0.28,1240.04,130.54,2015-03-06 00:35:46,0.1052707977162027,2015,Mar
ORD-000067,2017-10-30 22:01:43,Central,MI,Consumer,Office Supplies,Accessories,3,0.22,511.72,48.76,2017-10-30 22:01:43,0.09528648479637301,2017,Oct
ORD-000068,2016-08-25 17:42:32,East,MD,Consumer,Office Supplies,Binders,2,0.2,579.33,74.45,2016-08-25 17:42:32,0.12851052077399755,2016,Aug
ORD-000069,2018-04-09 05:47:08,Central,OH,Consumer,Technology,Copiers,4,0.26,1535.53,224.86,2018-04-09 05:47:08,0.14643803768080077,2018,Apr
ORD-000070,2017-08-02 14:56:42,West,AZ,Home Office,Furniture,Furnishings,5,0.15,1326.01,23.84,2017-08-02 14:56:42,0.017978748274899887,2017,Aug
ORD-000071,2016-12-29 12:36:08,Central,WI,Consumer,Technology,Phones,2,0.34,772.99,40.41,2016-12-29 12:36:08,0.052277519760928336,2016,Dec
ORD-000072,2018-10-01 13:15:29,Central,MI,Corporate,Office Supplies,Paper,2,0.15,204.76,-60.14,2018-10-01 13:15:29,-0.2937097089275249,2018,Oct
ORD-000073,2014-11-29 06:46:42,West,CA,Corporate,Furniture,Tables,7,0.31,2352.19,122.81,2014-11-29 06:46:42,0.05221091833567867,2014,Nov
ORD-000074,2014-11-26 04:24:02,Central,MO,Home Office,Technology,Machines,1,0.13,33.84,-59.89,2014-11-26 04:24:02,-1.7697990543735223,2014,Nov
ORD-000075,2015-08-13 03:19:18,East,PA,Consumer,Furniture,Bookcases,2,0.09,926.87,201.79,2015-08-13 03:19:18,0.21771122163841747,2015,Aug
ORD-000076,2016-06-03 20:26:01,East,NY,Consumer,Technology,Phones,4,0.21,672.64,58.16,2016-06-03 20:26:01,0.08646527117031398,2016,Jun
ORD-000077,2018-05-30 03:09:11,West,AZ,Consumer,Office Supplies,Paper,7,0.2,1507.65,125.51,2018-05-30 03:09:11,0.08324876463370146,2018,May
ORD-000078,2018-05-03 22:28:27,West,WA,Consumer,Technology,Phones,3,0.02,806.45,63.88,2018-05-03 22:28:27,0.07921135842271684,2018,May
ORD-000079,2015-12-27 19:08:17,East,PA,Corporate,Furniture,Furnishings,3,0.13,20.0,9.02,2015-12-27 19:08:17,0.45099999999999996,2015,Dec
ORD-000080,2017-11-29 09:10:38,Central,IN,Consumer,Furniture,Furnishings,3,0.1,334.98,151.71,2017-11-29 09:10:38,0.45289271001253806,2017,Nov
ORD-000081,2016-02-10 14:35:02,East,VA,Consumer,Furniture,Chairs,5,0.26,745.49,248.75,2016-02-10 14:35:02,0.33367315456947777,2016,Feb
ORD-000082,2017-04-16 18:26:32,South,TX,Corporate,Office Supplies,Accessories,3,0.22,305.3,-124.44,2017-04-16 18:26:32,-0.40759908286930885,2017,Apr
ORD-000083,2016-11-18 00:00:00,East,MA,Corporate,Technology,Accessories,1,0.14,194.2,31.42,2016-11-18 00:00:00,0.16179196704428425,2016,Nov
ORD-000084,2014-09-22 07:10:39,South,GA,Consumer,Office Supplies,Storage,4,0.14,1049.84,46.47,2014-09-22 07:10:39,0.04426388783052656,2014,Sep
ORD-000085,2017-07-31 22:46:27,South,NC,Consumer,Technology,Accessories,6,0.23,40.0,-46.79,2017-07-31 22:46:27,-1.16975,2017,Jul
ORD-000086,2016-10-19 08:28:44,West,CA,Corporate,Furniture,Tables,5,0.07,33.33,-74.31,2016-10-19 08:28:44,-2.2295229522952296,2016,Oct
ORD-000087,2014-03-12 16:00:50,Central,OH,Consumer,Office Supplies,Accessories,3,0.08,611.69,89.0,2014-03-12 16:00:50,0.14549853684055647,2014,Mar
ORD-000088,2015-04-22 20:36:50,South,NC,Home Office,Office Supplies,Accessories,6,0.14,710.11,121.75,2015-04-22 20:36:50,0.17145231020546112,2015,Apr
ORD-000089,2016-09-27 08:32:31,Central,MI,Home Office,Office Supplies,Paper,4,0.23,794.07,-38.36,2016-09-27 08:32:31,-0.04830808367020539,2016,Sep
ORD-000090,2016-02-26 06:57:29,East,VA,Home Office,Office Supplies,Binders,2,0.05,735.57,153.39,2016-02-26 06:57:29,0.20853215873404296,2016,Feb
ORD-000091,2018-11-02 12:31:41,South,GA,Consumer,Office Supplies,Paper,2,0.02,671.07,-72.17,2018-11-02 12:31:41,-0.10754466747135172,2018,Nov
ORD-000092,2014-10-15 07:17:38,Central,IN,Corporate,Furniture,Tables,5,0.25,281.47,15.53,2014-10-15 07:17:38,0.05517461896472092,2014,Oct
ORD-000093,2016-05-17 18:17:49,Central,IL,Consumer,Furniture,Tables,5,0.24,250.96,38.7,2016-05-17 18:17:49,0.15420784188715334,2016,May
ORD-000094,2016-09-04 12:52:21,East,PA,Consumer,Furniture,Furnishings,7,0.28,46.67,-87.31,2016-09-04 12:52:21,-1.8707949432183415,2016,Sep
ORD-000095,2017-10-06 05:24:59,Central,IN,Consumer,Technology,Phones,5,0.2,207.02,88.65,2017-10-06 05:24:59,0.42821949570089846,2017,Oct
ORD-000096,2016-07-09 06:21:57,West,CA,Consumer,Furniture,Chairs,3,0.04,1268.78,25.46,2016-07-09 06:21:57,0.020066520594586926,2016,Jul
ORD-000097,2017-07-19 07:04:26,West,CA,Consumer,Furniture,Chairs,2,0.08,496.97,193.34,2017-07-19 07:04:26,0.3890375676600197,2017,Jul
ORD-000098,2014-11-06 17:32:33,East,MA,Consumer,Furniture,Tables,3,0.14,460.06,48.48,2014-11-06 17:32:33,0.10537755944876755,2014,Nov
ORD-000099,2014-02-19 09:31:22,South,FL,Consumer,Office Supplies,Storage,3,0.15,708.26,123.22,2014-02-19 09:31:22,0.1739756586564256,2014,Feb
ORD-000100,2014-02-09 00:30:32,East,NY,Corporate,Furniture,Chairs,6,0.2,40.0,44.76,2014-02-09 00:30:32,1.119,2014,Feb
ORD-000101,2016-09-19 02:27:34,West,AZ,Corporate,Office Supplies,Binders,1,0.14,242.78,29.9,2016-09-19 02:27:34,0.12315676744377625,2016,Sep
ORD-000102,2016-02-19 13:28:21,East,MD,Corporate,Furniture,Bookcases,5,0.21,1580.22,-44.58,2016-02-19 13:28:21,-0.028211261723051217,2016,Feb
ORD-000103,2014-01-07 00:55:09,South,NC,Consumer,Furniture,Chairs,6,0.18,1021.67,-104.42,2014-01-07 00:55:09,-0.1022052130335627,2014,Jan
ORD-000104,2015-05-09 20:30:48,South,FL,Corporate,Furniture,Furnishings,3,0.28,335.13,201.95,2015-05-09 20:30:48,0.6026019753528481,2015,May
ORD-000105,2014-07-16 10:12:26,West,WA,Corporate,Office Supplies,Accessories,5,0.15,764.08,80.94,2014-07-16 10:12:26,0.10593131609255574,2014,Jul
ORD-000106,2015-08-31 03:49:49,Central,OH,Consumer,Technology,Phones,4,0.19,886.02,69.85,2015-08-31 03:49:49,0.0788356921965644,2015,Aug
ORD-000107,2015-10-29 17:06:11,East,VA,Consumer,Furniture,Chairs,7,0.25,237.06,-44.13,2015-10-29 17:06:11,-0.18615540369526704,2015,Oct
ORD-000108,2017-11-18 00:00:00,West,WA,Corporate,Technology,Copiers,1,0.21,361.25,-11.0,2017-11-18 00:00:00,-0.03044982698961938,2017,Nov
ORD-000109,2014-11-28 00:07:44,East,NY,Corporate,Technology,Copiers,2,0.08,616.52,184.42,2014-11-28 00:07:44,0.2991306040355544,2014,Nov
ORD-000110,2014-11-30 07:05:28,Central,MI,Home Office,Office Supplies,Storage,1,0.06,140.96,40.11,2014-11-30 07:05:28,0.2845488081725312,2014,Nov
ORD-000111,2014-05-13 01:44:28,Central,IN,Corporate,Office Supplies,Accessories,4,0.05,1599.37,196.66,2014-05-13 01:44:28,0.12296091586062012,2014,May
ORD-000112,2014-11-14 08:54:35,East,MD,Consumer,Technology,Machines,4,0.14,469.62,102.37,2014-11-14 08:54:35,0.21798475363059497,2014,Nov
ORD-000113,2016-03-12 19:04:02,South,GA,Consumer,Office Supplies,Storage,1,0.13,6.67,-46.81,2016-03-12 19:04:02,-7.017991004497752,2016,Mar
ORD-000114,2016-06-04 15:14:08,Central,IN,Consumer,Office Supplies,Paper,3,0.14,713.2,176.56,2016-06-04 15:14:08,0.2475602916432978,2016,Jun
ORD-000115,2018-09-30 13:23:45,Central,OH,Consumer,Furniture,Tables,1,0.15,403.31,-44.16,2018-09-30 13:23:45,-0.10949393766581537,2018,Sep
ORD-000116,2017-09-27 16:26:06,South,TN,Corporate,Office Supplies,Binders,2,0.0,678.87,101.03,2017-09-27 16:26:06,0.1488208346222399,2017,Sep
ORD-000117,2017-12-08 03:13:46,South,FL,Home Office,Office Supplies,Storage,3,0.24,376.72,112.81,2017-12-08 03:13:46,0.29945317477171374,2017,Dec
ORD-000118,2016-11-14 02:31:16,East,MD,Home Office,Office Supplies,Storage,6,0.19,2008.89,221.27,2016-11-14 02:31:16,0.11014540368063956,2016,Nov
ORD-000119,2017-09-08 17:10:13,West,AZ,Consumer,Technology,Copiers,1,0.19,402.07,56.09,2017-09-08 17:10:13,0.139503071604447,2017,Sep
ORD-000120,2018-07-09 11:33:27,South,FL,Corporate,Office Supplies,Accessories,2,0.14,13.33,-155.83,2018-07-09 11:33:27,-11.690172543135786,2018,Jul
ORD-000121,2018-06-20 02:05:00,East,MA,Home Office,Technology,Copiers,8,0.23,1871.4,347.43,2018-06-20 02:05:00,0.18565245270920167,2018,Jun
ORD-000122,2017-09-28 08:40:46,West,CO,Consumer,Office Supplies,Storage,4,0.21,638.21,47.47,2017-09-28 08:40:46,0.07437990630043402,2017,Sep
ORD-000123,2018-11-17 12:07:22,Central,MO,Consumer,Technology,Phones,7,0.1,46.67,-10.74,2018-11-17 12:07:22,-0.23012641954146132,2018,Nov
ORD-000124,2016-02-27 06:13:53,South,NC,Consumer,Technology,Machines,7,0.21,1479.96,156.32,2016-02-27 06:13:53,0.10562447633719829,2016,Feb
ORD-000125,2018-08-31 08:17:11,South,TN,Home Office,Office Supplies,Storage,3,0.25,637.31,-12.1,2018-08-31 08:17:11,-0.01898605074453563,2018,Aug
ORD-000126,2015-10-05 22:12:04,South,TX,Corporate,Office Supplies,Paper,5,0.33,2170.2,268.67,2015-10-05 22:12:04,0.1237996498018616,2015,Oct
ORD-000127,2014-11-05 17:05:41,South,TN,Home Office,Office Supplies,Storage,1,0.15,90.53,-40.28,2014-11-05 17:05:41,-0.4449353805368386,2014,Nov
ORD-000128,2018-06-02 05:09:38,South,TX,Corporate,Furniture,Furnishings,1,0.25,242.68,-2.88,2018-06-02 05:09:38,-0.011867479808801713,2018,Jun
ORD-000129,2018-06-27 22:09:19,South,FL,Home Office,Office Supplies,Accessories,2,0.23,571.19,92.58,2018-06-27 22:09:19,0.1620826695145223,2018,Jun
ORD-000130,2018-12-06 00:18:36,South,TN,Consumer,Technology,Copiers,5,0.26,1284.4,153.05,2018-12-06 00:18:36,0.11916069760199315,2018,Dec
ORD-000131,2014-07-17 14:12:59,East,NY,Consumer,Furniture,Chairs,5,0.0,33.33,84.51,2014-07-17 14:12:59,2.535553555355536,2014,Jul
ORD-000132,2017-02-28 16:11:32,Central,WI,Corporate,Technology,Phones,1,0.26,308.42,135.77,2017-02-28 16:11:32,0.440211400038908,2017,Feb
ORD-000133,2016-09-04 02:45:52,West,CO,Home Office,Office Supplies,Accessories,5,0.17,519.63,102.48,2016-09-04 02:45:52,0.1972172507361007,2016,Sep
ORD-000134,2017-07-06 17:13:13,East,MD,Consumer,Technology,Machines,3,0.09,589.59,87.59,2017-07-06 17:13:13,0.1485608643294493,2017,Jul
ORD-000135,2015-08-28 06:39:12,East,VA,Consumer,Technology,Phones,9,0.11,60.0,95.31,2015-08-28 06:39:12,1.5885,2015,Aug
ORD-000136,2016-03-09 08:59:59,Central,MO,Consumer,Technology,Accessories,4,0.13,827.59,119.0,2016-03-09 08:59:59,0.14379100762454838,2016,Mar
ORD-000137,2018-11-18 10:24:32,Central,MO,Home Office,Technology,Phones,3,0.16,20.0,-46.96,2018-11-18 10:24:32,-2.348,2018,Nov
ORD-000138,2016-12-19 05:09:37,South,TN,Consumer,Office Supplies,Storage,5,0.38,197.08,87.54,2016-12-19 05:09:37,0.44418510249644816,2016,Dec
ORD-000139,2016-01-20 21:29:20,South,TN,Home Office,Office Supplies,Paper,6,0.14,2127.2,269.44,2016-01-20 21:29:20,0.12666415945844303,2016,Jan
ORD-000140,2017-04-12 15:58:17,Central,WI,Corporate,Technology,Accessories,5,0.25,1345.18,132.91,2017-04-12 15:58:17,0.09880462094292213,2017,Apr
ORD-000141,2016-12-22 12:59:29,Central,MO,Corporate,Office Supplies,Paper,5,0.12,187.38,52.96,2016-12-22 12:59:29,0.2826342192336429,2016,Dec
ORD-000142,2018-12-20 05:21:42,East,PA,Home Office,Office Supplies,Paper,3,0.13,133.33,-47.51,2018-12-20 05:21:42,-0.3563339083477086,2018,Dec
ORD-000143,2018-11-15 04:17:18,South,TN,Consumer,Furniture,Tables,3,0.2,788.49,89.13,2018-11-15 04:17:18,0.11303884640261766,2018,Nov
ORD-000144,2015-10-26 21:11:51,Central,MO,Home Office,Technology,Machines,4,0.06,1559.86,186.99,2015-10-26 21:11:51,0.1198761427307579,2015,Oct
ORD-000145,2016-06-24 08:31:28,East,VA,Corporate,Technology,Machines,4,0.12,485.63,177.03,2016-06-24 08:31:28,0.36453678726602556,2016,Jun
ORD-000146,2016-12-09 00:00:00,South,TN,Consumer,Technology,Phones,4,0.09,1147.98,124.79,2016-12-09 00:00:00,0.10870398438997196,2016,Dec
ORD-000147,2015-10-29 21:29:06,Central,IL,Corporate,Technology,Copiers,5,0.21,310.37,-51.19,2015-10-29 21:29:06,-0.16493217772336244,2015,Oct
ORD-000148,2014-02-07 10:50:06,Central,IN,Consumer,Office Supplies,Paper,5,0.09,278.49,57.35,2014-02-07 10:50:06,0.2059319903766742,2014,Feb
ORD-000149,2015-02-12 17:50:07,South,FL,Home Office,Technology,Accessories,2,0.13,35.87,102.05,2015-02-12 17:50:07,2.8449958182325066,2015,Feb
ORD-000150,2018-07-06 10:20:10,East,MA,Corporate,Technology,Copiers,3,0.12,715.31,118.77,2018-07-06 10:20:10,0.1660398987851421,2018,Jul
ORD-000151,2015-02-05 04:59:14,Central,MO,Corporate,Furniture,Tables,3,0.24,20.0,23.03,2015-02-05 04:59:14,1.1515,2015,Feb
ORD-000152,2018-11-23 14:33:07,South,NC,Consumer,Technology,Copiers,3,0.14,969.99,28.74,2018-11-23 14:33:07,0.029629171434757056,2018,Nov
ORD-000153,2016-12-08 09:01:42,East,MA,Corporate,Furniture,Bookcases,2,0.2,534.2,-111.97,2016-12-08 09:01:42,-0.20960314488955445,2016,Dec
ORD-000154,2016-12-10 03:14:13,Central,MI,Consumer,Office Supplies,Binders,2,0.27,19.94,-93.22,2016-12-10 03:14:13,-4.675025075225677,2016,Dec
ORD-000155,2015-06-04 00:09:26,Central,IL,Consumer,Furniture,Chairs,5,0.06,602.96,26.28,2015-06-04 00:09:26,0.04358498076157622,2015,Jun
ORD-000156,2016-01-02 04:18:08,South,TX,Consumer,Technology,Machines,3,0.18,976.19,320.97,2016-01-02 04:18:08,0.32879869697497416,2016,Jan
ORD-000157,2017-03-16 20:25:19,East,PA,Consumer,Technology,Phones,4,0.24,563.0,-0.93,2017-03-16 20:25:19,-0.0016518650088809947,2017,Mar
ORD-000158,2018-01-21 10:29:38,Central,IN,Home Office,Technology,Accessories,4,0.17,26.67,-57.78,2018-01-21 10:29:38,-2.1664791901012372,2018,Jan
ORD-000159,2018-07-11 00:48:29,Central,WI,Corporate,Furniture,Furnishings,7,0.15,1887.12,166.34,2018-07-11 00:48:29,0.08814489804569928,2018,Jul
ORD-000160,2014-04-29 13:00:23,West,CO,Consumer,Office Supplies,Binders,2,0.19,550.41,-7.79,2014-04-29 13:00:23,-0.014153085881433842,2014,Apr
ORD-000161,2018-07-06 05:37:13,West,AZ,Consumer,Technology,Phones,2,0.27,1229.91,417.0,2018-07-06 05:37:13,0.3390491987218577,2018,Jul
ORD-000162,2017-01-01 14:26:27,West,CO,Consumer,Office Supplies,Storage,5,0.09,1449.08,225.31,2017-01-01 14:26:27,0.1554848593590416,2017,Jan
ORD-000163,2014-12-28 06:51:09,Central,IL,Corporate,Furniture,Bookcases,3,0.23,1287.55,94.62,2014-12-28 06:51:09,0.07348840821715662,2014,Dec
ORD-000164,2015-10-13 13:55:13,West,CO,Home Office,Office Supplies,Paper,2,0.12,910.82,75.19,2015-10-13 13:55:13,0.0825519861223952,2015,Oct
ORD-000165,2018-02-15 07:57:38,East,PA,Consumer,Technology,Accessories,3,0.04,1080.99,192.6,2018-02-15 07:57:38,0.17817001082341186,2018,Feb
