Order ID,Order Date,Region,State,Segment,Category,Sub-Category,Quantity,Discount,Sales,Profit
ORD-000031,2014-02-27 12:15:57,West,AZ,Home Office,Technology,Copiers,6,0.16,155.11,-19.11
ORD-000032,2016-08-14 06:58:06,Central,OH,Consumer,Office Supplies,Storage,1,0.23,507.63,-63.98
ORD-000033,2014-11-22 02:25:31,East,MD,Consumer,Technology,Phones,1,0.16,136.11,10.56
ORD-000034,2014-10-22 19:38:30,Central,MI,Home Office,Office Supplies,Paper,2,0.25,603.12,28.34
ORD-000035,2016-07-08 20:08:04,West,CO,Home Office,Furniture,Tables,4,0.2,246.78,16.31
ORD-000036,2014-12-23 15:06:08,Central,MO,Consumer,Office Supplies,Accessories,3,0.15,20.0,-76.28
ORD-000037,2015-09-13 15:28:33,Central,MO,Corporate,Office Supplies,Accessories,3,0.2,1242.69,165.32
ORD-000038,2018-02-22 19:11:27,South,GA,Home Office,Technology,Accessories,4,0.24,1373.19,325.97
ORD-000039,2016-07-30 12:19:31,Central,IN,Corporate,Furniture,Bookcases,1,0.16,144.96,-86.58
ORD-000040,2014-01-25 00:00:00,South,FL,Consumer,Office Supplies,Binders,1,0.17,491.65,69.62
ORD-000041,2017-10-04 05:27:06,West, AZ ,Consumer,Furniture,Tables,2,0.07,527.47,157.78
ORD-000042,2014-07-16 09:32:25,East,MD,Corporate,Office Supplies,Binders,1,0.37,128.07,-40.98
ORD-000043,2018-06-14 22:23:12,Central,OH,Consumer,Technology,Accessories,5,0.13,2084.62,156.44
ORD-000044,2017-01-17 12:07:23,Central, MI ,Consumer,Technology,Phones,3,0.11,703.28,-59.35
ORD-000045,2014-07-13 19:40:16,South,FL,Consumer,Furniture,Bookcases,3,0.16,20.0,-4.13
ORD-000046,2018-03-28 23:35:21,West,CA,Consumer,Technology,Copiers,7,0.23,3007.07,308.92
ORD-000047,2014-06-05 01:57:28,West,WA,Corporate,Technology,Copiers,6,0.21,2025.04,223.21
ORD-000048,2017-07-25 17:47:39,South,NC,Consumer,Technology,Machines,3,0.17,946.13,314.46
ORD-000049,2017-12-30 08:20:22,Central,MI,Consumer,Furniture,Tables,1,0.12,84.35,-27.08
ORD-000050,2014-10-27 01:05:18,Central,MO,Home Office,Technology,Phones,2,0.04,545.82,100.72
ORD-000051,2015-02-05 18:14:19,South,TN,Consumer,Furniture,Tables,1,0.17,102.79,-42.96
ORD-000052,2018-08-23 07:16:02,East,MA,Home Office,Office Supplies,Accessories,4,0.2,1609.91,182.91
ORD-000053,2016-10-11 00:34:30,West,AZ,Consumer,Furniture,Tables,1,0.1,183.65,13.8
ORD-000054,2018-06-11 03:26:58,East,MD,Consumer,Technology,Machines,2,0.19,13.33,184.94
ORD-000055,2016-12-16 14:09:10,Central,MO,Consumer,Furniture,Tables,3,0.08,508.57,9.99
ORD-000056,2016-05-22 18:49:15,Central,IL,Home Office,Furniture,Furnishings,7,0.13,287.17,94.86
ORD-000057,2017-09-18 04:08:06,East,NY,Home Office,Furniture,Chairs,2,0.27,679.0,55.23
ORD-000058,2017-04-18 19:59:51,East,MD,Consumer,Office Supplies,Accessories,4,0.24,26.67,-10.51
ORD-000059,2016-10-21 16:13:29,Central,OH,Corporate,Office Supplies,Paper,4,0.37,1570.67,-30.02
ORD-000060,2015-02-20 15:21:54,Central,IL,Home Office,Furniture,Furnishings,4,0.11,1296.93,108.97
ORD-000061,2018-03-17 17:52:43,South,FL,Corporate,Office Supplies,Accessories,4,0.27,1334.39,217.18
ORD-000062,2015-09-12 03:46:09,East,NY,Consumer,Office Supplies,Accessories,4,0.25,152.78,33.12
ORD-000063,2015-05-20 11:13:06,West,AZ,Consumer,Office Supplies,Storage,3,0.14,728.83,221.99
ORD-000064,2014-07-01 03:45:58,Central,WI,Consumer,Furniture,Bookcases,3,0.08,649.81,128.54
ORD-000065,2014-11-29 02:48:32,South,GA,Consumer,Technology,Machines,7,0.16,555.77,156.88
ORD-000066,2015-03-06 00:35:46,East,VA,Consumer,Technology,Accessories,4,0.28,1240.04,130.54
ORD-000067,2017-10-30 22:01:43,Central,MI,Consumer,Office Supplies,Accessories,3,0.22,511.72,48.76
ORD-000068,2016-08-25 17:42:32,East,MD,Consumer,Office Supplies,Binders,2,0.2,579.33,74.45
ORD-000069,2018-04-09 05:47:08,Central,OH,Consumer,Technology,Copiers,4,0.26,1535.53,224.86
ORD-000070,2017-08-02 14:56:42,West,AZ,Home Office,Furniture,Furnishings,5,0.15,1326.01,23.84
ORD-000071,2016-12-29 12:36:08,Central,WI,Consumer,Technology,Phones,2,0.34,772.99,40.41
ORD-000072,2018-10-01 13:15:29,Central,MI,Corporate,Office Supplies,Paper,2,0.15,204.76,-60.14
ORD-000073,2014-11-29 06:46:42,West,CA,Corporate,Furniture,Tables,7,0.31,2352.19,122.81
ORD-000074,2014-11-26 04:24:02,Central,MO,Home Office,Technology,Machines,1,0.13,33.84,-59.89
ORD-000075,2015-08-13 03:19:18,East,PA,Consumer,Furniture,Bookcases,2,0.09,926.87,201.79
ORD-000076,2016-06-03 20:26:01,East,NY,Consumer,Technology,Phones,4,0.21,672.64,58.16
ORD-000077,2018-05-30 03:09:11,West,AZ,Consumer,Office Supplies,Paper,7,0.2,1507.65,125.51
ORD-000078,2018-05-03 22:28:27,west,WA,Consumer,Technology,Phones,3,0.02,806.45,63.88
ORD-000079,2015-12-27 19:08:17,East,PA,Corporate,Furniture,Furnishings,3,0.13,20.0,9.02
ORD-000080,2017-11-29 09:10:38,Central,IN,Consumer,Furniture,Furnishings,3,0.1,334.98,151.71
ORD-000081,2016-02-10 14:35:02,East,VA,Consumer,Furniture,Chairs,5,0.26,745.49,248.75
ORD-000082,2017-04-16 18:26:32,South,TX,Corporate,Office Supplies,Accessories,3,0.22,305.3,-124.44
ORD-000083,2016-11-18 00:00:00,East,MA,Corporate,Technology,Accessories,1,0.14,194.2,31.42
ORD-000084,2014-09-22 07:10:39,South,GA,Consumer,Office Supplies,Storage,4,0.14,1049.84,46.47
ORD-000085,2017-07-31 22:46:27,South,NC,Consumer,Technology,Accessories,6,0.23,40.0,-46.79
ORD-000086,2016-10-19 08:28:44,West,CA,Corporate,Furniture,Tables,5,0.07,33.33,-74.31
ORD-000087,2014-03-12 16:00:50,Central,OH,Consumer,Office Supplies,Accessories,3,0.08,611.69,89.0
ORD-000088,2015-04-22 20:36:50,South,NC,Home Office,Office Supplies,Accessories,6,0.14,710.11,121.75
ORD-000089,2016-09-27 08:32:31,Central,MI,Home Office,Office Supplies,Paper,4,0.23,794.07,-38.36
ORD-000090,2016-02-26 06:57:29,East,VA,Home Office,Office Supplies,Binders,2,0.05,735.57,153.39
ORD-000091,2018-11-02 12:31:41,South,GA,Consumer,Office Supplies,Paper,2,0.02,671.07,-72.17
ORD-000092,2014-10-15 07:17:38,Central,IN,Corporate,Furniture,Tables,5,0.25,281.47,15.53
ORD-000093,2016-05-17 18:17:49,Central,IL,Consumer,Furniture,Tables,5,0.24,250.96,38.7
ORD-000094,2016-09-04 12:52:21,East,PA,Consumer,Furniture,Furnishings,7,0.28,46.67,-87.31
ORD-000095,2017-10-06 05:24:59,Central,IN,Consumer,Technology,Phones,5,0.2,207.02,88.65
ORD-000096,2016-07-09 06:21:57,West,CA,Consumer,Furniture,Chairs,3,0.04,1268.78,25.46
ORD-000097,2017-07-19 07:04:26,West,CA,Consumer,Furniture,Chairs,2,0.08,496.97,193.34
ORD-000098,2014-11-06 17:32:33,East,MA,Consumer,Furniture,Tables,3,0.14,460.06,48.48
ORD-000099,2014-02-19 09:31:22,South,FL,Consumer,Office Supplies,Storage,3,0.15,708.26,123.22
ORD-000100,2014-02-09 00:30:32,East,NY,Corporate,Furniture,Chairs,6,0.2,40.0,44.76
ORD-000101,2016-09-19 02:27:34,West,AZ,Corporate,Office Supplies,Binders,1,0.14,242.78,29.9
ORD-000102,2016-02-19 13:28:21,East,MD,Corporate,Furniture,Bookcases,5,0.21,1580.22,-44.58
ORD-000103,2014-01-07 00:55:09,South,NC,Consumer,Furniture,Chairs,6,0.18,1021.67,-104.42
ORD-000104,2015-05-09 20:30:48,South,FL,Corporate,Furniture,Furnishings,3,0.28,335.13,201.95
ORD-000105,2014-07-16 10:12:26,West,WA,Corporate,Office Supplies,Accessories,5,0.15,764.08,80.94
ORD-000106,2015-08-31 03:49:49,Central,OH,Consumer,Technology,Phones,4,0.19,886.02,69.85
ORD-000107,2015-10-29 17:06:11,East,VA,Consumer,Furniture,Chairs,7,0.25,237.06,-44.13
ORD-000108,2017-11-18 00:00:00,West,WA,Corporate,Technology,Copiers,1,0.21,361.25,-11.0
ORD-000109,2014-11-28 00:07:44,East,NY,Corporate,Technology,Copiers,2,0.08,616.52,184.42
ORD-000110,2014-11-30 07:05:28,Central,MI,Home Office,Office Supplies,Storage,1,0.06,140.96,40.11
ORD-000111,2014-05-13 01:44:28,Central,IN,Corporate,Office Supplies,Accessories,4,0.05,1599.37,196.66
ORD-000112,2014-11-14 08:54:35,East,MD,Consumer,Technology,Machines,4,0.14,469.62,102.37
ORD-000113,2016-03-12 19:04:02,South,GA,Consumer,Office Supplies,Storage,1,0.13,6.67,-46.81
ORD-000114,2016-06-04 15:14:08,Central, IN ,Consumer,Office Supplies,Paper,3,0.14,713.2,176.56
ORD-000115,2018-09-30 13:23:45,Central,OH,Consumer,Furniture,Tables,1,0.15,403.31,-44.16
ORD-000116,2017-09-27 16:26:06,South,TN,Corporate,Office Supplies,Binders,2,0.0,678.87,101.03
ORD-000117,2017-12-08 03:13:46,South,FL,Home Office,Office Supplies,Storage,3,0.24,376.72,112.81
ORD-000118,2016-11-14 02:31:16,East,MD,Home Office,Office Supplies,Storage,6,0.19,2008.89,221.27
ORD-000119,2017-09-08 17:10:13,West,AZ,Consumer,Technology,Copiers,1,0.19,402.07,56.09
ORD-000120,2018-07-09 11:33:27,South,FL,Corporate,Office Supplies,Accessories,2,0.14,13.33,-155.83
ORD-000121,2018-06-20 02:05:00,East,MA,Home Office,Technology,Copiers,8,0.23,1871.4,347.43
ORD-000122,2017-09-28 08:40:46,west,CO,Consumer,Office Supplies,Storage,4,0.21,638.21,47.47
ORD-000123,2018-11-17 12:07:22,Central,MO,Consumer,Technology,Phones,7,0.1,46.67,-10.74
ORD-000124,2016-02-27 06:13:53,South,NC,Consumer,Technology,Machines,7,0.21,1479.96,156.32
ORD-000125,2018-08-31 08:17:11,South,TN,Home Office,Office Supplies,Storage,3,0.25,637.31,-12.1
ORD-000126,2015-10-05 22:12:04,South,TX,Corporate,Office Supplies,Paper,5,0.33,2170.2,268.67
ORD-000127,2014-11-05 17:05:41,South,TN,Home Office,Office Supplies,Storage,1,0.15,90.53,-40.28
ORD-000128,2018-06-02 05:09:38,South,TX,Corporate,Furniture,Furnishings,1,0.25,242.68,-2.88
ORD-000129,2018-06-27 22:09:19,South,FL,Home Office,Office Supplies,Accessories,2,0.23,571.19,92.58
ORD-000130,2018-12-06 00:18:36,South,TN,Consumer,Technology,Copiers,5,0.26,1284.4,153.05
ORD-000131,2014-07-17 14:12:59,East,NY,Consumer,Furniture,Chairs,5,0.0,33.33,84.51
ORD-000132,2017-02-28 16:11:32,Central,WI,Corporate,Technology,Phones,1,0.26,308.42,135.77
ORD-000133,2016-09-04 02:45:52,West,CO,Home Office,Office Supplies,Accessories,5,0.17,519.63,102.48
ORD-000134,2017-07-06 17:13:13,East,MD,Consumer,Technology,Machines,3,0.09,589.59,87.59
ORD-000135,2015-08-28 06:39:12,East,VA,Consumer,Technology,Phones,9,0.11,60.0,95.31
ORD-000136,2016-03-09 08:59:59,Central,MO,Consumer,Technology,Accessories,4,0.13,827.59,119.0
ORD-000137,2018-11-18 10:24:32,Central,MO,Home Office,Technology,Phones,3,0.16,20.0,-46.96
ORD-000138,2016-12-19 05:09:37,South,TN,Consumer,Office Supplies,Storage,5,0.38,197.08,87.54
ORD-000139,2016-01-20 21:29:20,South,TN,Home Office,Office Supplies,Paper,6,0.14,2127.2,269.44
ORD-000140,2017-04-12 15:58:17,Central,WI,Corporate,Technology,Accessories,5,0.25,1345.18,132.91
ORD-000141,2016-12-22 12:59:29,Central,MO,Corporate,Office Supplies,Paper,5,0.12,187.38,52.96
ORD-000142,2018-12-20 05:21:42,East,PA,Home Office,Office Supplies,Paper,3,0.13,133.33,-47.51
ORD-000143,2018-11-15 04:17:18,South,TN,Consumer,Furniture,Tables,3,0.2,788.49,89.13
ORD-000144,2015-10-26 21:11:51,Central,MO,Home Office,Technology,Machines,4,0.06,1559.86,186.99
ORD-000145,2016-06-24 08:31:28,East,VA,Corporate,Technology,Machines,4,0.12,485.63,177.03
ORD-000146,2016-12-09 00:00:00,South,TN,Consumer,Technology,Phones,4,0.09,1147.98,124.79
ORD-000147,2015-10-29 21:29:06,Central,IL,Corporate,Technology,Copiers,5,0.21,310.37,-51.19
ORD-000148,2014-02-07 10:50:06,Central,IN,Consumer,Office Supplies,Paper,5,0.09,278.49,57.35
ORD-000149,2015-02-12 17:50:07,South,FL,Home Office,Technology,Accessories,2,0.13,35.87,102.05
ORD-000150,2018-07-06 10:20:10,East,MA,Corporate,Technology,Copiers,3,0.12,715.31,118.77
ORD-000151,2015-02-05 04:59:14,Central,MO,Corporate,Furniture,Tables,3,0.24,20.0,23.03
ORD-000152,2018-11-23 14:33:07,South,NC,Consumer,Technology,Copiers,3,0.14,969.99,28.74
ORD-000153,2016-12-08 09:01:42,East,MA,Corporate,Furniture,Bookcases,2,0.2,534.2,-111.97
ORD-000154,2016-12-10 03:14:13,Central,MI,Consumer,Office Supplies,Binders,2,0.27,19.94,-93.22
ORD-000155,2015-06-04 00:09:26,Central,IL,Consumer,Furniture,Chairs,5,0.06,602.96,26.28
ORD-000156,2016-01-02 04:18:08,South,TX,Consumer,Technology,Machines,3,0.18,976.19,320.97
ORD-000157,2017-03-16 20:25:19,East,PA,Consumer,Technology,Phones,4,0.24,563.0,-0.93
ORD-000158,2018-01-21 10:29:38,Central,IN,Home Office,Technology,Accessories,4,0.17,26.67,-57.78
ORD-000159,2018-07-11 00:48:29,Central,WI,Corporate,Furniture,Furnishings,7,0.15,1887.12,166.34
ORD-000160,2014-04-29 13:00:23,West,CO,Consumer,Office Supplies,Binders,2,0.19,550.41,-7.79
ORD-000161,2018-07-06 05:37:13,West,AZ,Consumer,Technology,Phones,2,0.27,1229.91,417.0
ORD-000162,2017-01-01 14:26:27,West,CO,Consumer,Office Supplies,Storage,5,0.09,1449.08,225.31
ORD-000163,2014-12-28 06:51:09,Central,IL,Corporate,Furniture,Bookcases,3,0.23,1287.55,94.62
ORD-000164,2015-10-13 13:55:13,West,CO,Home Office,Office Supplies,Paper,2,0.12,910.82,75.19
ORD-000165,2018-02-15 07:57:38,East,PA,Consumer,Technology,Accessories,3,0.04,1080.99,192.6
ORD-000166,2014-12-23 04:01:48,East,VA,Corporate,Technology,Machines,4,0.1,26.67,-39.68
ORD-000167,2016-09-06 01:14:13,Central,WI,Corporate,Technology,Accessories,5,0.21,118.72,-69.78
ORD-000168,2014-09-07 01:43:43,East,VA,Consumer,Office Supplies,Binders,6,0.15,40.0,-108.79
ORD-000169,2018-09-04 20:04:43,East,VA,Corporate,Technology,Phones,4,0.23,251.41,67.39
ORD-000170,2017-09-29 10:16:37,South,FL,Corporate,Furniture,Bookcases,6,0.14,1863.03,
ORD-000171,2014-07-23 04:01:28,Central,IL,Corporate,Technology,Phones,3,0.14,837.61,282.71
ORD-000172,2016-09-02 03:58:36,West,CA,Consumer,Technology,Machines,4,0.08,26.67,40.77
ORD-000173,2017-12-07 02:09:09,South,TN,Corporate,Office Supplies,Paper,1,0.15,219.52,80.99
ORD-000174,2018-08-09 13:02:40,East,PA,Consumer,Furniture,Bookcases,5,0.13,1148.5,29.31
ORD-000175,2014-05-12 09:56:08,south,FL,Corporate,Furniture,Tables,7,0.24,3558.46,310.74
ORD-000176,2016-10-20 21:47:16,West,CA,Consumer,Office Supplies,Accessories,1,0.24,240.04,-18.96
ORD-000177,2015-08-29 03:43:26,South,FL,Consumer,Office Supplies,Accessories,3,0.13,686.09,147.16
ORD-000178,2014-08-08 04:48:18,Central,MO,Consumer,Office Supplies,Paper,2,0.17,13.33,-22.41
ORD-000179,2014-05-24 07:44:07,East,NY,Home Office,Technology,Phones,5,11%,33.33,131.63
ORD-000180,2015-10-25 10:50:31,East,VA,Consumer,Technology,Machines,6,0.23,1985.7,284.28
ORD-000181,2015-12-30 00:07:57,Central,IL,Corporate,Office Supplies,Storage,5,0.3,3239.98,296.67
ORD-000182,2015-09-13 03:41:49,South,TN,Home Office,Technology,Accessories,4,0.16,1002.84,166.03
ORD-000183,2017-04-26 14:36:30,South,NC,Consumer,Office Supplies,Binders,1,0.1,51.89,61.96
ORD-000184,2016-04-18 13:32:25,East,MD,Corporate,Technology,Machines,4,0.08,796.19,-0.59
ORD-000185,2014-05-14 06:45:12,West,WA,Home Office,Technology,Accessories,4,0.29,1719.26,208.66
ORD-000186,2016-02-17 13:07:14,South,NC,Consumer,Office Supplies,Accessories,3,0.15,980.31,133.29
ORD-000187,2014-03-18 09:45:06,South,GA,Consumer,Furniture,Chairs,1,0.11,302.22,25.67
ORD-000188,2014-06-20 13:55:12,Central,MO,Consumer,Office Supplies,Paper,5,0.11,2494.49,302.18
ORD-000189,2015-08-14 02:48:19,South,NC,Corporate,Office Supplies,Binders,6,0.27,1989.32,218.11
ORD-000190,2016-06-02 02:33:43,West,CO,Consumer,Office Supplies,Binders,5,0.18,915.12,94.67
ORD-000191,2017-04-24 03:39:05,Central,MO,Home Office,Office Supplies,Paper,8,0.09,53.33,-30.86
ORD-000192,2017-02-20 09:53:45,East,NY,Consumer,Furniture,Tables,5,0.17,33.33,85.79
ORD-000193,2014-02-05 01:16:58,Central,MI,Corporate,Office Supplies,Storage,4,0.15,670.19,73.99
ORD-000194,2017-07-12 18:14:43,Central,MI,Corporate,Office Supplies,Binders,6,0.18,40.0,-29.86
ORD-000195,2014-02-22 16:11:00,Central,WI,Consumer,Office Supplies,Storage,5,0.1,1905.24,187.55
ORD-000196,2015-05-12 11:44:06,West,AZ,Home Office,Technology,Accessories,3,0.27,216.4,208.63
ORD-000197,2017-01-31 07:47:40,central,MI,Corporate,Office Supplies,Storage,1,0.19,290.0,112.61
ORD-000198,2018-07-12 16:26:17,East,MA,Corporate,Technology,Accessories,3,0.12,681.45,221.14
ORD-000199,2016-11-16 02:30:31,East,VA,Consumer,Technology,Machines,4,0.24,26.67,-18.27
ORD-000200,2017-10-08 16:20:32,Central,OH,Corporate,Office Supplies,Paper,2,0.21,442.56,134.66
ORD-000201,2017-04-27 17:11:16,South,NC,Consumer,Furniture,Chairs,4,0.03,826.0,113.92
ORD-000202,2014-05-03 21:00:07,Central, MI ,Corporate,Technology,Machines,4,0.27,2158.93,256.1
ORD-000203,2017-06-12 16:24:41,South,FL,Consumer,Technology,Phones,3,0.32,1267.56,144.61
ORD-000204,2015-09-04 11:39:48,South,FL,Consumer,Technology,Accessories,4,0.07,1670.72,202.34
ORD-000205,2018-03-18 21:10:56,West,WA,Consumer,Office Supplies,Storage,7,0.19,3167.82,331.87
ORD-000206,2017-11-29 02:40:26,Central,MI,Consumer,Technology,Copiers,3,30%,1374.85,262.68
ORD-000207,2016-03-11 00:46:21,Central,WI,Home Office,Office Supplies,Accessories,1,0.11,174.78,-43.96
ORD-000208,2018-06-17 20:08:58,South,TN,Consumer,Technology,Accessories,2,0.13,390.77,205.72
ORD-000209,2017-09-19 23:22:24,East,PA,Home Office,Office Supplies,Paper,5,0.24,2821.53,213.86
ORD-000210,2016-09-01 00:30:05,Central,IN,Corporate,Furniture,Bookcases,1,0.02,6.67,-55.09
ORD-000211,2014-10-31 00:46:49,South,TX,Consumer,Furniture,Tables,3,0.23,910.64,81.07
ORD-000212,2014-04-18 12:00:11,South,NC,Corporate,Furniture,Bookcases,3,0.07,837.77,75.25
ORD-000213,2014-01-07 16:11:59,South,FL,Corporate,Furniture,Chairs,3,0.0,248.41,13.87
ORD-000214,2015-11-08 19:45:18,West,WA,Home Office,Furniture,Bookcases,3,0.0,758.71,149.37
ORD-000215,2014-11-18 15:27:16,South,NC,Corporate,Technology,Copiers,6,0.26,933.82,118.72
ORD-000216,2014-12-30 22:39:38,East,MD,Corporate,Furniture,Furnishings,5,0.14,2303.04,145.89
ORD-000217,2017-08-18 05:33:00,South,FL,Consumer,Technology,Machines,4,0.25,106.2,74.91
ORD-000218,2017-09-18 07:20:20,South,TX,Corporate,Office Supplies,Storage,4,0.17,571.85,8.67
ORD-000219,2018-06-26 22:24:30,South,TX,Corporate,Technology,Machines,5,0.02,920.82,258.18
ORD-000220,2016-01-04 22:01:20,East,VA,Consumer,Technology,Copiers,3,0.16,562.03,172.25
ORD-000221,2014-07-06 04:21:11,South,TX,Consumer,Furniture,Tables,4,0.13,948.92,136.68
ORD-000222,2014-08-11 14:18:15,Central,MO,Home Office,Office Supplies,Binders,6,0.21,332.05,14.78
ORD-000223,2016-03-24 16:41:26,Central,MO,Home Office,Technology,Copiers,7,0.13,245.66,51.95
ORD-000224,2017-12-03 13:42:13,South,NC,Consumer,Furniture,Tables,2,0.21,13.33,22.62
ORD-000225,2016-11-11 02:59:55,South,TN,Consumer,Technology,Copiers,7,0.17,2447.22,228.05
ORD-000226,2014-10-18 05:43:42,Central,WI,Consumer,Technology,Phones,4,0.15,741.6,105.71
ORD-000227,2018-06-11 15:31:00,East,VA,Consumer,Office Supplies,Accessories,5,0.09,63.07,
ORD-000228,2018-05-10 21:37:28,West,CA,Corporate,Office Supplies,Accessories,4,0.13,826.98,145.31
ORD-000229,2015-02-03 03:38:31,East,MD,Home Office,Office Supplies,Binders,3,0.23,434.26,31.83
ORD-000230,2018-03-23 06:12:00,West,CO,Consumer,Technology,Copiers,4,0.09,347.31,-34.17
ORD-000231,2017-04-11 20:42:41,East,NY,Corporate,Office Supplies,Paper,3,0.2,824.86,102.99
ORD-000232,2015-05-10 21:33:17,Central,IL,Consumer,Technology,Accessories,6,0.22,934.92,186.56
ORD-000233,2018-03-04 23:46:30,West,CA,Home Office,Office Supplies,Paper,8,0.13,2336.43,163.8
ORD-000234,2017-04-23 04:48:20,East,NY,Consumer,Furniture,Chairs,3,0.15,20.0,-66.82
ORD-000235,2014-05-03 17:26:54,East,VA,Consumer,Technology,Phones,4,0.35,1128.61,164.5
ORD-000236,2015-12-04 04:50:59,West,WA,Consumer,Technology,Copiers,7,0.05,46.67,14.46
ORD-000237,2015-02-02 02:51:20,South,NC,Corporate,Furniture,Tables,8,0.15,1560.09,142.45
ORD-000238,2016-06-29 11:57:52,South,FL,Consumer,Technology,Machines,5,0.14,915.67,97.79
ORD-000239,2014-09-06 11:58:18,Central,OH,Consumer,Office Supplies,Paper,4,22%,1041.95,222.92
ORD-000240,2015-09-15 19:10:36,Central,WI,Home Office,Office Supplies,Paper,5,0.14,781.24,80.28
ORD-000241,2017-07-19 04:00:16,South,GA,Consumer,Technology,Accessories,3,0.19,32.08,-40.23
ORD-000242,2015-05-18 10:51:24,Central,WI,Consumer,Office Supplies,Storage,2,0.26,473.17,27.23
ORD-000243,2015-06-14 19:32:25,Central,MI,Corporate,Furniture,Tables,1,0.14,206.45,-84.8
ORD-000244,2016-02-08 12:42:23,West,CO,Consumer,Office Supplies,Storage,6,0.16,40.0,54.37
ORD-000245,2014-05-08 20:36:32,East,VA,Corporate,Technology,Accessories,7,0.16,749.65,154.36
ORD-000246,2017-05-28 15:48:51,East,NY,Corporate,Furniture,Chairs,5,0.02,1022.7,10.16
ORD-000247,2014-06-21 23:49:35,East,VA,Corporate,Office Supplies,Paper,3,0.27,20.0,62.62
ORD-000248,2018-12-16 02:12:02,West,CO,Corporate,Technology,Copiers,4,0.2,424.72,73.94
ORD-000249,2017-06-04 11:30:22,Central,IL,Home Office,Furniture,Tables,1,0.25,253.35,30.36
ORD-000250,2016-08-12 02:38:03,East,MA,Consumer,Technology,Copiers,9,0.13,2699.35,429.24
ORD-000251,2016-11-26 01:04:58,Central,WI,Corporate,Furniture,Tables,3,0.1,797.31,129.83
ORD-000252,2015-07-05 22:12:38,South,TN,Consumer,Furniture,Bookcases,6,0.04,597.71,193.76
ORD-000253,2015-09-01 06:28:28,Central,IN,Consumer,Technology,Accessories,1,0.19,380.39,31.69
ORD-000254,2018-02-19 05:55:58,East,NY,Consumer,Office Supplies,Accessories,3,0.11,20.0,-61.62
