show_id,type,title,rating,release_year,date_added,duration,country,listed_in,description,date_added_parsed,duration_value,duration_unit,date_added_year
s00048,Movie,Title 0048,TV-PG,1957,"March 28, 2017",122 min,Canada,Romantic Movies,A short description.,2017-03-28,122,Minutes,2017.0
s00049,TV Show,Title 0049,R,1988,"November 02, 2011",4 Seasons,"Germany, Turkey","Horror Movies, International Movies",A short description.,2011-11-02,4,Seasons,2011.0
s00050,Movie,Title 0050,TV-MA,1957,"January 02, 2013",147 min,Australia,Action & Adventure,A short description.,2013-01-02,147,Minutes,2013.0
s00051,Movie,Title 0051,NR,1998,"April 16, 2014",73 min,Thailand,TV Dramas,A short description.,2014-04-16,73,Minutes,2014.0
s00052,Movie,Title 0052,TV-MA,1954,"May 20, 2011",170 min,Australia,"International Movies, Sports Movies",A short description.,2011-05-20,170,Minutes,2011.0
s00053,TV Show,Title 0053,G,1986,"December 09, 2011",8 Seasons,United States,"Horror Movies, Kids' TV, Independent Movies",A short description.,2011-12-09,8,Seasons,2011.0
s00054,TV Show,Title 0054,TV-MA,1976,"August 21, 2011",7 Seasons,South Korea,"Sports Movies, Independent Movies",A short description.,2011-08-21,7,Seasons,2011.0
s00055,TV Show,Title 0055,TV-MA,1959,"June 30, 2020",5 Seasons,Japan,"Dramas, Romantic Movies, Action & Adventure",A short description.,2020-06-30,5,Seasons,2020.0
s00056,TV Show,Title 0056,TV-14,1983,"April 20, 2020",2 Seasons,Japan,"Romantic Movies, Kids' TV, Comedies",A short description.,2020-04-20,2,Seasons,2020.0
s00057,Movie,Title 0057,NR,1964,"November 30, 2016",162 min,Brazil,"TV Comedies, Sports Movies",A short description.,2016-11-30,162,Minutes,2016.0
s00058,Movie,Title 0058,TV-MA,1967,"July 05, 2011",137 min,Spain,Thrillers,A short description.,2011-07-05,137,Minutes,2011.0
s00059,Movie,Title 0059,NR,2013,"July 22, 2010",103 min,Australia,"Documentaries, Thrillers",A short description.,2010-07-22,103,Minutes,2010.0
s00060,Movie,Title 0060,TV-MA,1974,"February 23, 2014",92 min,Turkey,"International Movies, Dramas",A short description.,2014-02-23,92,Minutes,2014.0
s00061,TV Show,Title 0061,TV-14,1978,"October 29, 2020",7 Seasons,Spain,Action & Adventure,A short description.,2020-10-29,7,Seasons,2020.0
s00062,Movie,Title 0062,TV-14,1950,04/05/2015,78 min,Nigeria,"Action & Adventure, Sports Movies, Kids' TV",A short description.,,78,Minutes,
s00063,Movie,Title 0063,TV-MA,1971,"November 20, 2018",86 min,Canada,"Independent Movies, Documentaries, Comedies",A short description.,2018-11-20,86,Minutes,2018.0
s00064,TV Show,Title 0064,TV-G,1974,"January 26, 2014",3 Seasons,Germany,"Sports Movies, TV Comedies",A short description.,2014-01-26,3,Seasons,2014.0
s00065,Movie,Title 0065,TV-14,2001,"May 27, 2013",134 min,India,"Thrillers, TV Comedies",A short description.,2013-05-27,134,Minutes,2013.0
s00066,Movie,Title 0066,R,1958,"December 08, 2018",72 min,Australia,"Action & Adventure, Comedies",A short description.,2018-12-08,72,Minutes,2018.0
s00067,Movie,Title 0067,TV-PG,2016,"March 07, 2015",121 min,South Africa,"Kids' TV, TV Dramas",A short description.,2015-03-07,121,Minutes,2015.0
s00068,Movie,Title 0068,TV-14,1959,"January 19, 2018",165 min,Australia,"Romantic Movies, TV Comedies, Comedies",A short description.,2018-01-19,165,Minutes,2018.0
s00069,Movie,Title 0069,TV-PG,1996,"December 29, 2017",89 min,Spain,"Comedies, TV Dramas",A short description.,2017-12-29,89,Minutes,2017.0
s00070,Movie,Title 0070,TV-Y,1950,"December 31, 2017",65 min,United States,Thrillers,A short description.,2017-12-31,65,Minutes,2017.0
s00071,Movie,Title 0071,R,2008,"June 09, 2017",134 min,Mexico,"Independent Movies, TV Comedies",A short description.,2017-06-09,134,Minutes,2017.0
s00072,Movie,Title 0072,TV-14,1999,"November 27, 2018",107 min,South Africa,"Romantic Movies, Independent Movies",A short description.,2018-11-27,107,Minutes,2018.0
s00073,TV Show,Title 0073,R,2009,"February 04, 2015",8 Seasons,Mexico,"TV Dramas, Comedies",A short description.,2015-02-04,8,Seasons,2015.0
s00074,Movie,Title 0074,TV-PG,2016,"May 03, 2013",142 min,United Kingdom,Action & Adventure,A short description.,2013-05-03,142,Minutes,2013.0
s00075,Movie,Title 0075,TV-14,2009,"August 21, 2015",167 min,"United Kingdom, Germany",Romantic Movies,A short description.,2015-08-21,167,Minutes,2015.0
s00076,Movie,Title 0076,TV-PG,1994,"July 28, 2013",74 min,Brazil,Kids' TV,A short description.,2013-07-28,74,Minutes,2013.0
s00077,Movie,Title 0077,TV-14,2009,"June 23, 2010",151 min,"United Kingdom, Thailand",Independent Movies,A short description.,2010-06-23,151,Minutes,2010.0
s00078,TV Show,Title 0078,PG-13,1956,2013-12-24,5 Seasons,"Brazil, Spain","TV Dramas, Dramas",A short description.,,5,Seasons,
s00079,Movie,Title 0079,NC-17,1995,"July 05, 2015",91 min,"South Korea, Mexico","Sports Movies, Thrillers",A short description.,2015-07-05,91,Minutes,2015.0
s00080,TV Show,Title 0080,TV-G,2020,"September 22, 2015",5 Seasons,Mexico,TV Comedies,A short description.,2015-09-22,5,Seasons,2015.0
s00081,TV Show,Title 0081,PG,1976,"September 29, 2013",4 Seasons,Turkey,"International Movies, Kids' TV",A short description.,2013-09-29,4,Seasons,2013.0
s00082,Movie,Title 0082,TV-PG,2019,"December 24, 2017",123 min,Spain,"Sports Movies, TV Dramas",A short description.,2017-12-24,123,Minutes,2017.0
s00083,TV Show,Title 0083,PG-13,1985,"February 19, 2013",7 Seasons,India,"Thrillers, Sports Movies",A short description.,2013-02-19,7,Seasons,2013.0
s00084,Movie,Title 0084,TV-MA,1983,"February 14, 2017",121 min,"United States, Mexico",Kids' TV,A short description.,2017-02-14,121,Minutes,2017.0
s00085,Movie,Title 0085,TV-14,1971,"December 19, 2012",136 min,Canada,"TV Comedies, Horror Movies",A short description.,2012-12-19,136,Minutes,2012.0
s00086,Movie,Title 0086,TV-MA,1957,"February 20, 2017",145 min,Turkey,International Movies,A short description.,2017-02-20,145,Minutes,2017.0
s00087,TV Show,Title 0087,TV-MA,2012,"February 16, 2016",2 Seasons,"Japan, Thailand",Dramas,A short description.,2016-02-16,2,Seasons,2016.0
s00088,Movie,Title 0088,NC-17,2001,"September 21, 2014",81 min,"Canada, United Kingdom",Comedies,A short description.,2014-09-21,81,Minutes,2014.0
s00089,Movie,Title 0089,NR,1978,"April 26, 2018",138 min,United Kingdom,"Kids' TV, Dramas",A short description.,2018-04-26,138,Minutes,2018.0
s00090,Movie,Title 0090,TV-14,2018,09/07/2014,169 min,"United Kingdom, Australia","Independent Movies, TV Dramas",A short description.,,169,Minutes,
s00091,Movie,Title 0091,TV-MA,1963,2018-11-02,142 min,South Korea,"Dramas, International Movies, Documentaries",A short description.,,142,Minutes,
s00092,TV Show,Title 0092,R,2005,"October 02, 2011",7 Seasons,United Kingdom,Action & Adventure,A short description.,2011-10-02,7,Seasons,2011.0
s00093,Movie,Title 0093,TV-14,1982,"January 09, 2019",110 min,Brazil,Thrillers,A short description.,2019-01-09,110,Minutes,2019.0
s00094,Movie,Title 0094,PG,1994,"July 31, 2020",136 min,"Canada, Germany","Kids' TV, TV Dramas, Dramas",A short description.,2020-07-31,136,Minutes,2020.0
s00095,Movie,Title 0095,,1952,"June 18, 2012",85 min,Nigeria,Comedies,A short description.,2012-06-18,85,Minutes,2012.0
s00096,Movie,Title 0096,TV-14,1993,2020-07-03,118 min,France,"TV Comedies, Sports Movies",A short description.,,118,Minutes,
s00097,Movie,Title 0097,TV-MA,1998,"June 20, 2014",171 min,United States,"Documentaries, Comedies",A short description.,2014-06-20,171,Minutes,2014.0
s00098,Movie,Title 0098,TV-MA,2019,"August 26, 2017",94 min,France,"Horror Movies, TV Comedies",A short description.,2017-08-26,94,Minutes,2017.0
s00099,Movie,Title 0099,TV-MA,1974,"February 04, 2012",69 min,Canada,"TV Comedies, Sports Movies",A short description.,2012-02-04,69,Minutes,2012.0
s00100,Movie,Title 0100,TV-14,1955,"September 14, 2014",61 min,"Brazil, Thailand","Horror Movies, International Movies, Comedies",A short description.,2014-09-14,61,Minutes,2014.0
s00101,TV Show,Title 0101,TV-MA,1954,"September 26, 2017",6 Seasons,Spain,"TV Dramas, Horror Movies",A short description.,2017-09-26,6,Seasons,2017.0
s00102,TV Show,Title 0102,TV-MA,1960,"November 05, 2019",7 Seasons,Germany,"Romantic Movies, Action & Adventure",A short description.,2019-11-05,7,Seasons,2019.0
s00103,Movie,Title 0103,TV-MA,1971,"October 19, 2014",177 min,Japan,"Documentaries, Kids' TV",A short description.,2014-10-19,177,Minutes,2014.0
s00104,Movie,Title 0104,TV-MA,2008,10/29/2010,111 min,Nigeria,"Thrillers, Sports Movies",A short description.,,111,Minutes,
s00105,TV Show,Title 0105,PG-13,1963,"July 21, 2014",1 Season,United Kingdom,"TV Dramas, Romantic Movies, Independent Movies",A short description.,2014-07-21,1,Seasons,2014.0
s00106,TV Show,Title 0106,TV-MA,1960,"August 18, 2019",8 Seasons,France,"TV Dramas, Sports Movies",A short description.,2019-08-18,8,Seasons,2019.0
s00107,Movie,Title 0107,NR,1952,"May 10, 2018",84,Australia,"International Movies, Documentaries",A short description.,2018-05-10,84,Minutes,2018.0
s00108,Movie,Title 0108,TV-MA,1977,"October 27, 2011",157 min,"Canada, South Korea","Documentaries, Romantic Movies",A short description.,2011-10-27,157,Minutes,2011.0
s00109,Movie,Title 0109,TV-MA,1992,"September 20, 2015",125 min,Australia,"Documentaries, Romantic Movies, Dramas",A short description.,2015-09-20,125,Minutes,2015.0
s00110,TV Show,Title 0110,TV-MA,1969,"May 03, 2016",6 Seasons,United States,Documentaries,A short description.,2016-05-03,6,Seasons,2016.0
s00111,Movie,Title 0111,R,1985,"February 26, 2015",109 min,South Korea,Horror Movies,A short description.,2015-02-26,109,Minutes,2015.0
s00112,Movie,Title 0112,TV-MA,1967,"February 26, 2020",139 min,France,"Kids' TV , TV Comedies",A short description.,2020-02-26,139,Minutes,2020.0
s00113,Movie,Title 0113,TV-14,2006,"July 23, 2020",126 min,South Africa,"Dramas, Romantic Movies",A short description.,2020-07-23,126,Minutes,2020.0
s00114,Movie,Title 0114,TV-MA,1951,"April 24, 2012",112 min,Japan,"Kids' TV, Action & Adventure, TV Dramas",A short description.,2012-04-24,112,Minutes,2012.0
s00115,Movie,Title 0115,,1964,"July 10, 2020",117 min,"South Korea, Brazil","Thrillers, Action & Adventure, International Movies",A short description.,2020-07-10,117,Minutes,2020.0
s00116,TV Show,Title 0116,TV-MA,1990,"April 25, 2019",3 Seasons,Nigeria,"Independent Movies, Horror Movies",A short description.,2019-04-25,3,Seasons,2019.0
s00117,TV Show,Title 0117,TV-14,2009,"October 02, 2017",6 Seasons,"United States, France, South Korea","Documentaries, Independent Movies",A short description.,2017-10-02,6,Seasons,2017.0
s00118,TV Show,Title 0118,NR,1978,"March 13, 2014",2 Seasons,Spain,"Romantic Movies, Dramas",A short description.,2014-03-13,2,Seasons,2014.0
s00119,Movie,Title 0119,TV-MA,1954,"May 13, 2018",118 min,South Africa,"Romantic Movies, International Movies",A short description.,2018-05-13,118,Minutes,2018.0
s00120,Movie,Title 0120,TV-MA,1989,"June 13, 2016",137 min,Brazil,"International Movies, Dramas",A short description.,2016-06-13,137,Minutes,2016.0
s00121,Movie,Title 0121,PG,1969,11/22/2019,97 min,United States,Independent Movies,A short description.,,97,Minutes,
s00122,Movie,Title 0122,TV-MA,1971,"October 28, 2017",173 min,South Korea,"Kids' TV, TV Dramas",A short description.,2017-10-28,173,Minutes,2017.0
s00123,Movie,Title 0123,TV-MA,2015,"August 10, 2020",75 min,"Japan, Nigeria",Romantic Movies,A short description.,2020-08-10,75,Minutes,2020.0
s00124,Movie,Title 0124,TV-14,2016,"August 12, 2014",90 min,Mexico,"Horror Movies, Sports Movies, Documentaries",A short description.,2014-08-12,90,Minutes,2014.0
s00125,Movie,Title 0125,TV-MA,1968,"November 27, 2010",87 min,South Africa,"Horror Movies, Romantic Movies",A short description.,2010-11-27,87,Minutes,2010.0
s00126,Movie,Title 0126,TV-Y,1991,"May 31, 2015",94 min,"South Africa, India","Horror Movies, Sports Movies, Independent Movies",A short description.,2015-05-31,94,Minutes,2015.0
s00127,Movie,Title 0127,TV-PG,1988,"December 21, 2020",86,Mexico,"Dramas, Action & Adventure, Romantic Movies",A short description.,2020-12-21,86,Minutes,2020.0
s00128,Movie,Title 0128,TV-PG,2018,"March 16, 2017",167 min,France,"Dramas, Documentaries",A short description.,2017-03-16,167,Minutes,2017.0
s00129,Movie,Title 0129,TV-MA,2017,"September 25, 2017",179 min,Brazil,"Thrillers, Independent Movies",A short description.,2017-09-25,179,Minutes,2017.0
s00130,Movie,Title 0130,R,1974,"November 17, 2016",138 min,France,Action & Adventure,A short description.,2016-11-17,138,Minutes,2016.0
s00131,Movie,Title 0131,R,1951,"July 09, 2016",138 min,Spain,"Dramas, Horror Movies, Independent Movies",A short description.,2016-07-09,138,Minutes,2016.0
s00132,TV Show,Title 0132,TV-MA,1950,"September 04, 2010",1 Season,"Canada, Turkey",Comedies,A short description.,2010-09-04,1,Seasons,2010.0
s00133,Movie,Title 0133,NR,1950,"December 14, 2010",104 min,Turkey,"TV Dramas, Comedies",A short description.,2010-12-14,104,Minutes,2010.0
s00134,Movie,Title 0134,TV-PG,2005,"September 13, 2013",157 min,"Thailand, United Kingdom",Documentaries,A short description.,2013-09-13,157,Minutes,2013.0
s00135,Movie,Title 0135,PG,2002,"December 02, 2017",163 min,Germany,Horror Movies,A short description.,2017-12-02,163,Minutes,2017.0
s00136,Movie,Title 0136,TV-MA,2008,"November 06, 2018",86 min,Spain,Romantic Movies,A short description.,2018-11-06,86,Minutes,2018.0
s00137,Movie,Title 0137,TV-MA,1959,"June 17, 2012",77 min,Mexico,"TV Dramas, Romantic Movies",A short description.,2012-06-17,77,Minutes,2012.0
s00138,Movie,Title 0138,R,1954,"March 14, 2017",177 min,"South Africa, United Kingdom","Thrillers, Sports Movies",A short description.,2017-03-14,177,Minutes,2017.0
s00139,TV Show,Title 0139,PG,1962,"June 28, 2012",3 Seasons,Canada,"International Movies, Independent Movies",A short description.,2012-06-28,3,Seasons,2012.0
s00140,Movie,Title 0140,TV-14,1994,"July 24, 2020",80 min,Mexico,"Sports Movies, Independent Movies",A short description.,2020-07-24,80,Minutes,2020.0
s00141,Movie,Title 0141,TV-MA,1950,"March 04, 2012",159 min,"Mexico, United Kingdom",Kids' TV,A short description.,2012-03-04,159,Minutes,2012.0
s00142,Movie,Title 0142,PG,1996,"July 22, 2011",145 min,Australia,"Dramas, Sports Movies",A short description.,2011-07-22,145,Minutes,2011.0
s00143,TV Show,Title 0143,TV-MA,2013,07/18/2010,4 Seasons,United States,Romantic Movies,A short description.,,4,Seasons,
s00144,Movie,Title 0144,TV-14,1960,"June 20, 2015",165 min,"Australia, Japan","Independent Movies, Thrillers",A short description.,2015-06-20,165,Minutes,2015.0
s00145,Movie,Title 0145,TV-PG,2002,"February 11, 2011",73,"France, Thailand",Kids' TV,A short description.,2011-02-11,73,Minutes,2011.0
s00146,Movie,Title 0146,TV-MA,1989,"June 02, 2016",75 min,"Canada, Turkey","Independent Movies, TV Dramas",A short description.,2016-06-02,75,Minutes,2016.0
s00147,Movie,Title 0147,TV-MA,2017,"December 29, 2016",158 min,Nigeria,International Movies,A short description.,2016-12-29,158,Minutes,2016.0
s00148,Movie,Title 0148,TV-MA,1967,"April 13, 2012",114 min,Turkey,Romantic Movies,A short description.,2012-04-13,114,Minutes,2012.0
s00149,Movie,Title 0149,TV-Y,1966,"August 07, 2011",77 min,India,Kids' TV,A short description.,2011-08-07,77,Minutes,2011.0
s00150,Movie,Title 0150,TV-14,1951,"February 09, 2011",77 min,South Africa,"Documentaries, Thrillers",A short description.,2011-02-09,77,Minutes,2011.0
s00151,TV Show,Title 0151,R,2000,"January 20, 2011",7 Seasons,Germany,"Dramas, Independent Movies",A short description.,2011-01-20,7,Seasons,2011.0
s00152,TV Show,Title 0152,,2011,"October 18, 2010",6 Seasons,Turkey,Romantic Movies,A short description.,2010-10-18,6,Seasons,2010.0
s00153,Movie,Title 0153,R,1951,"November 05, 2012",110 min,Mexico,TV Comedies,A short description.,2012-11-05,110,Minutes,2012.0
s00154,Movie,Title 0154,TV-14,1984,"October 22, 2018",150 min,"United Kingdom, Australia","Horror Movies, Action & Adventure, Documentaries",A short description.,2018-10-22,150,Minutes,2018.0
s00155,Movie,Title 0155,TV-14,2001,"September 05, 2016",75 min,"Australia, Germany","TV Comedies, Thrillers",A short description.,2016-09-05,75,Minutes,2016.0
s00156,TV Show,Title 0156,TV-14,2005,"October 02, 2012",7 Seasons,Mexico,TV Dramas,A short description.,2012-10-02,7,Seasons,2012.0
s00157,Movie,Title 0157,TV-PG,2016,"April 01, 2020",145 min,Mexico,Sports Movies,A short description.,2020-04-01,145,Minutes,2020.0
s00158,TV Show,Title 0158,TV-G,2001,"May 16, 2018",2 Seasons,France,"Independent Movies, Horror Movies",A short description.,2018-05-16,2,Seasons,2018.0
s00159,TV Show,Title 0159,PG-13,2015,"July 28, 2018",4 Seasons,India,International Movies,A short description.,2018-07-28,4,Seasons,2018.0
s00160,TV Show,Title 0160,TV-14,2020,"November 20, 2019",7 Seasons,"Canada, Germany","Thrillers, Documentaries",A short description.,2019-11-20,7,Seasons,2019.0
s00161,Movie,Title 0161,TV-14,2015,"March 16, 2018",88,,"International Movies, TV Comedies",A short description.,2018-03-16,88,Minutes,2018.0
s00162,TV Show,Title 0162,UR,1981,07/11/2020,3 Seasons,South Africa,Comedies,A short description.,,3,Seasons,
s00163,Movie,Title 0163,TV-MA,1978,"August 19, 2013",119,Mexico,International Movies,A short description.,2013-08-19,119,Minutes,2013.0
s00164,Movie,Title 0164,G,1980,2019-06-03,84 min,United States,"Kids' TV, TV Dramas",A short description.,,84,Minutes,
s00165,Movie,Title 0165,TV-MA,2017,"March 25, 2011",60 min,"France, South Korea, India",Kids' TV,A short description.,2011-03-25,60,Minutes,2011.0
s00166,Movie,Title 0166,R,1970,"April 20, 2013",125 min,Thailand,"Romantic Movies, Documentaries",A short description.,2013-04-20,125,Minutes,2013.0
s00167,TV Show,Title 0167,PG,2003,10/24/2019,5 Seasons,Japan,"Sports Movies, International Movies",A short description.,,5,Seasons,
s00168,TV Show,Title 0168,TV-14,1994,"June 20, 2011",8 Seasons,South Africa,Thrillers,A short description.,2011-06-20,8,Seasons,2011.0
s00169,Movie,Title 0169,TV-MA,1954,"July 06, 2015",146 min,India,Action & Adventure,A short description.,2015-07-06,146,Minutes,2015.0
s00170,Movie,Title 0170,G,1984,"September 30, 2013",73 min,"South Africa, United Kingdom","International Movies, Horror Movies",A short description.,2013-09-30,73,Minutes,2013.0
s00171,Movie,Title 0171,TV-14,1963,"February 08, 2011",144 min,France,"Documentaries, Romantic Movies",A short description.,2011-02-08,144,Minutes,2011.0
s00172,Movie,Title 0172,TV-14,2001,"August 05, 2012",131,Australia,"Kids' TV, Comedies",A short description.,2012-08-05,131,Minutes,2012.0
s00173,Movie,Title 0173,TV-14,1981,"November 20, 2015",97 min,"United Kingdom, South Africa",Independent Movies,A short description.,2015-11-20,97,Minutes,2015.0
s00174,TV Show,Title 0174,TV-14,1975,"December 09, 2016",4 Seasons,Turkey,Horror Movies,A short description.,2016-12-09,4,Seasons,2016.0
s00175,Movie,Title 0175,R,1954,"June 06, 2017",148 min,Australia,"Kids' TV , Independent Movies",A short description.,2017-06-06,148,Minutes,2017.0
s00176,Movie,Title 0176,TV-MA,1959,"June 13, 2011",95 min,"Australia, South Africa",Romantic Movies,A short description.,2011-06-13,95,Minutes,2011.0
s00177,Movie,Title 0177,TV-14,2004,,87 min,"United States, Japan","Documentaries, Romantic Movies",A short description.,,87,Minutes,
s00178,,Title 0178,TV-Y,2011,"February 23, 2011",169 min,India,"Documentaries , TV Dramas",A short description.,2011-02-23,169,Minutes,2011.0
s00179,TV Show,Title 0179,TV-MA,1970,"February 07, 2010",8 Seasons,South Africa,"Horror Movies, TV Dramas, Sports Movies",A short description.,2010-02-07,8,Seasons,2010.0
s00180,TV Show,Title 0180,TV-14,2008,"April 19, 2014",3 Seasons,Germany,Independent Movies,A short description.,2014-04-19,3,Seasons,2014.0
