order_id,order_date,region,state,segment,category,quantity,discount,sales,profit,customer_id
ORD-100050,2015-01-22,Central,Wisconsin,Consumer,Technology,5,0.0279,1009.76,115.84,C12929
ORD-100051,2017-03-05,West,Oregon,Consumer,Technology,5,0.0305,958.21,101.7,C11867
ORD-100052,2017-09-13,Central,Illinois,Consumer,Furniture,3,0.1738,1323.74,66.02,C11746
ORD-100053,2014-08-26,East,Massachusetts,Consumer,Technology,1,0.1732,190.13,15.03,C10005
ORD-100054,2016-08-13,Central,WISCONSIN,Consumer,Technology,4,0.1761,805.15,130.97,C10570
ORD-100055,2015-01-26,Central,Missouri,Corporate,Furniture,2,0.0615,311.5,43.96,C10658
ORD-100056,2017-08-05,Central,Ohio,Corporate,Technology,2,0.0658,380.01,34.82,C13866
ORD-100057,2016-09-01,East,Pennsylvania,Consumer,Technology,2,0.112,326.51,43.21,C13937
ORD-100058,2016-07-12,Central,Iowa,Corporate,Technology,1,0.063,181.41,27.76,C12070
ORD-100059,2017-12-13,South,Oklahoma,Consumer,Office Supplies,3,0.0966,194.87,22.65,C10067
ORD-100060,2016-02-04,East,North Carolina,Consumer,Office Supplies,4,0.3373,441.92,21.05,C12917
ORD-100061,2014-05-05,South,Oklahoma,Consumer,Furniture,2,0.0879,509.5,-56.16,C13303
ORD-100062,2014-06-12,Central,Ohio,Home Office,Office Supplies,1,0.1959,92.55,-10.94,C11841
ORD-100063,2017-02-12,South,Tennessee,Consumer,Furniture,2,0.1693,256.79,9.2,C13504
ORD-100064,2016-12-25,Central,Michigan,Consumer,Office Supplies,2,0.1802,160.84,34.15,C11409
ORD-100065,2015-02-16,West,Colorado,Consumer,Furniture,3,0.2117,614.13,83.98,C13652
ORD-100066,2017-05-18,East,New York,Consumer,Office Supplies,2,0.12,86.06,8.93,C12822
ORD-100067,2014-07-03,East,Pennsylvania,Consumer,Furniture,2,0.2021,433.7,48.2,C10065
ORD-100068,2015-05-28,East,Georgia,Corporate,Furniture,2,0.0434,367.78,57.49,C12004
ORD-100069,2017-09-10,South,South Carolina,Corporate,Office Supplies,3,0.1749,172.41,27.6,C13809
ORD-100070,2014-05-04,West,Nevada,Consumer,Furniture,4,0.0254,1088.39,,C10584
ORD-100071,2015-08-09,South,Kentucky,Corporate,Furniture,2,0.0562,350.14,42.76,C10150
ORD-100072,2014-02-05,West,Oregon,Consumer,Furniture,4,0.2519,820.67,8.55,C13894
ORD-100073,2014-01-11,West,Nevada,Home Office,Office Supplies,4,0.0627,324.81,65.44,C10219
ORD-100074,2015-09-10,West,Washington,Consumer,Technology,2,0.1081,365.69,25.24,C11341
ORD-100075,2016-09-19,East,Florida,Consumer,Furniture,2,0.0857,300.96,29.5,C13451
ORD-100076,2016-03-05,Central,Ohio,Home Office,Furniture,2,0.1652,693.77,72.65,C12802
ORD-100077,2017-07-31,South,Texas,Consumer,Furniture,2,0.2213,258.44,27.76,C13485
ORD-100078,2015-10-03,South,Oklahoma,Consumer,Office Supplies,4,0.0738,415.13,97.12,C12843
ORD-100079,2015-09-14,East,Virginia,Consumer,Technology,2,0.0419,433.06,41.46,C10303
ORD-100080,2016-12-26,South,Alabama,Corporate,Office Supplies,3,0.2694,156.31,11.85,C13343
ORD-100081,2017-03-25,Central,Ohio,Home Office,Technology,4,0.0564,969.19,87.59,C11257
ORD-100082,2017-05-31,Central,Minnesota,Corporate,Furniture,5,0.1277,1202.3,56.82,C10651
ORD-100083,2017-05-17,East,Pennsylvania,Consumer,Technology,3,0.0496,411.81,100.65,C13696
ORD-100084,2017-08-22,South,Oklahoma,Consumer,Office Supplies,1,0.012,31.44,5.33,C12210
ORD-100085,2016-07-26,Central,Minnesota,Corporate,Office Supplies,2,0.2613,77.48,5.48,C10282
ORD-100086,2014-01-08,West,Idaho,Consumer,Office Supplies,4,0.0475,251.93,-77.45,C11267
ORD-100087,2017-08-14,South,Arkansas,Corporate,Technology,1,0.2257,209.37,20.0,C10314
ORD-100088,2016-01-30,West,Arizona,Consumer,Furniture,2,0.0436,276.56,10.55,C10453
ORD-100089,2017-10-10,Central,Iowa,Corporate,Office Supplies,3,0.0633,254.68,-54.09,C10694
ORD-100090,2015-10-09,West,Utah,Consumer,Furniture,1,0.0653,177.42,11.59,C10434
ORD-100091,2016-12-12,West,California,Consumer,Office Supplies,4,0.0704,211.02,26.55,C10649
ORD-100092,2016-04-07,South,Oklahoma,Corporate,Furniture,2,0.0082,117.63,7.83,C13016
ORD-100093,2016-06-02,Central,Kansas,Consumer,Office Supplies,4,0.099,176.32,34.84,C10768
ORD-100094,2017-06-07,West,Nevada,Consumer,Office Supplies,1,0.2539,67.78,7.5,C13937
ORD-100095,2014-11-06,South,Arkansas,Consumer,Office Supplies,6,0.0122,545.16,92.56,C10640
ORD-100096,2014-01-04,South,Texas,Corporate,Furniture,3,0.0016,542.62,92.65,C12307
ORD-100097,2017-04-02,South,Tennessee,Consumer,Technology,3,0.1202,1893.81,257.64,C10974
ORD-100098,2016-01-31,South,Texas,Home Office,Office Supplies,2,0.0717,130.5,11.16,C10078
ORD-100099,2016-03-12,West,Colorado,Consumer,Technology,3,0.1025,476.84,54.36,C12597
ORD-100100,2015-12-10,East,Florida,Corporate,Furniture,4,0.0954,918.25,77.98,C11906
ORD-100101,2014-12-11,South,Texas,Corporate,Technology,4,0.0757,992.38,172.63,C11799
ORD-100102,2017-09-18,West,Idaho,Home Office,Technology,5,0.128,1605.27,94.33,C10669
ORD-100103,2014-12-14,Central,Iowa,Consumer,Office Supplies,3,0.0606,159.88,-16.29,C13973
ORD-100104,2017-09-25,Central,Kansas,Consumer,Technology,3,,522.54,48.77,C11860
ORD-100105,2015-05-28,West,Arizona,Corporate,Technology,3,0.1149,522.02,73.73,C12682
ORD-100106,2014-03-11,East,Pennsylvania,Consumer,Technology,2,0.2846,363.24,-3.42,C11359
ORD-100107,2015-05-31,West,Idaho,Corporate,Office Supplies,4,0.155,247.32,30.1,C13036
ORD-100108,2015-08-03,East,New Jersey,Consumer,Furniture,2,0.0285,250.76,13.13,C13354
ORD-100109,2014-07-29,West,Utah,Consumer,Office Supplies,2,0.0632,193.03,40.91,C10331
ORD-100110,2014-06-13,South,Texas,Consumer,Furniture,3,0.1218,362.42,55.61,C13956
ORD-100111,2014-02-21,Central,Illinois,Consumer,Office Supplies,4,0.066,199.98,-26.07,C10944
ORD-100112,2015-07-02,West,Idaho,Home Office,Furniture,4,0.0881,622.25,52.12,C12219
ORD-100113,2014-09-27,Central,Ohio,Corporate,Technology,5,0.0364,1419.17,153.61,C10128
ORD-100114,2017-05-16,East,Virginia,Home Office,Office Supplies,2,0.0628,81.63,12.8,C10735
ORD-100115,2014-09-06,Central,Michigan,Consumer,Office Supplies,3,0.0175,190.66,33.32,C13679
ORD-100116,2016-01-30,East,North Carolina,Consumer,Office Supplies,1,0.2249,54.12,9.61,C12112
ORD-100117,2017-04-24,Central,Kansas,Corporate,Office Supplies,6,0.0755,215.13,45.28,C10690
ORD-100118,2016-01-14,Central,Wisconsin,Home Office,Office Supplies,3,0.0719,152.59,28.95,C10913
ORD-100119,2015-02-27,West,Utah,Consumer,Office Supplies,4,0.2078,203.72,29.62,C11127
ORD-100120,2015-04-18,East,Massachusetts,Consumer,Technology,3,0.1096,965.87,136.33,C11030
ORD-100121,2014-05-08,East,Virginia,Consumer,Technology,3,0.2197,462.89,48.47,C12928
ORD-100122,2017-01-12,South,Louisiana,Consumer,Technology,8,0.1748,2904.63,150.16,C11453
ORD-100123,2017-08-04,West,Washington,Consumer,Office Supplies,1,0.0975,43.22,8.17,C12947
ORD-100124,2014-04-20,West,Arizona,Consumer,Office Supplies,7,0.255,587.84,85.79,C13394
ORD-100125,2015-05-15,South,Alabama,Consumer,Office Supplies,2,,150.24,24.18,C11412
ORD-100126,2016-06-13,West,Colorado,Consumer,Office Supplies,4,0.1056,384.77,55.43,C10501
ORD-100127,2015-09-01,East,Florida,Consumer,Furniture,3,0.0244,832.3,140.14,C13643
ORD-100128,2016-11-30,East,Pennsylvania,Home Office,Technology,3,0.2731,612.71,98.7,C13529
ORD-100129,2017-10-06,Central,Iowa,Consumer,Office Supplies,2,0.1324,108.05,16.27,C10694
ORD-100130,2015-02-15,South,Alabama,Consumer,Furniture,2,0.1977,202.81,8.59,C12240
ORD-100131,2015-12-09,West,Arizona,Consumer,Technology,2,0.0419,560.02,-22.1,C12179
ORD-100132,2014-10-27,Central,Ohio,Consumer,Office Supplies,2,0.0793,77.46,11.41,C13086
ORD-100133,2016-02-11,West,California,Consumer,Technology,3,0.0471,746.33,57.57,C10160
ORD-100134,2017-05-31,East,Florida,Consumer,Technology,4,0.1624,556.2,38.22,C12668
ORD-100135,2017-01-11,Central,Minnesota,Consumer,Office Supplies,1,0.0876,67.18,16.45,C11049
ORD-100136,2017-04-30,East,New York,Consumer,Furniture,4,0.3215,549.94,25.03,C11588
ORD-100137,2017-06-17,West,Washington,Consumer,Office Supplies,3,0.0832,135.95,16.77,C13504
ORD-100138,2017-02-20,West,Colorado,Consumer,Office Supplies,4,0.1383,223.6,45.11,C10782
ORD-100139,2015-02-26,East,New York,Consumer,Office Supplies,3,0.1496,123.74,9.66,C10885
ORD-100140,2016-11-02,South,Kentucky,Home Office,Office Supplies,4,0.1583,150.6,24.33,C11884
ORD-100141,2014-11-28,West,Oregon,Corporate,Office Supplies,3,0.0962,156.98,33.14,C12488
ORD-100142,2015-08-06,South,Arkansas,Corporate,Technology,3,0.2352,731.05,-167.7,C12059
ORD-100143,2014-05-27,West,California,Consumer,Furniture,3,0.1379,556.76,20.72,C10702
ORD-100144,2015-07-03,Central,Iowa,Corporate,Office Supplies,3,0.141,76.89,13.96,C12500
ORD-100145,2016-12-03,West,California,Corporate,Office Supplies,4,0.0335,260.33,32.74,C10350
ORD-100146,2016-10-23,Central,Wisconsin,Consumer,Office Supplies,2,0.0727,93.39,16.3,C10004
ORD-100147,2017-04-25,Central,Illinois,Consumer,Office Supplies,5,0.026,309.27,50.64,C12659
ORD-100148,2015-11-04,South,Arkansas,Consumer,Furniture,6,0.1233,1323.56,-21.05,C13375
ORD-100149,2016-09-03,West,California,Corporate,Office Supplies,4,0.088,244.29,34.74,C11817
ORD-100150,2016-10-24,South,Oklahoma,Corporate,Office Supplies,7,0.0741,447.84,76.71,C11167
ORD-100151,2014-12-03,East,Georgia,Consumer,Furniture,3,0.2345,983.23,36.35,C10335
ORD-100152,2015-12-09,East,Pennsylvania,Consumer,Office Supplies,5,0.0652,249.97,53.24,C11427
ORD-100153,2016-11-28,East,North Carolina,Corporate,Furniture,4,0.0384,894.95,141.66,C10427
ORD-100154,2015-09-25,West,Nevada,Consumer,Technology,1,0.026,140.5,18.86,C13097
ORD-100155,2016-06-09,South,Alabama,Corporate,Furniture,4,0.109,1036.41,144.35,C12955
ORD-100156,2014-09-19,East,New York,Home Office,Furniture,4,0.1492,925.79,127.17,C12605
ORD-100157,2017-07-13,East,Massachusetts,Consumer,Office Supplies,3,0.2254,177.72,28.74,C10482
ORD-100158,2015-11-06,East,Virginia,Consumer,Office Supplies,4,0.1236,383.52,-24.34,C10945
ORD-100159,2017-10-02,West,Oregon,Consumer,Technology,1,0.1927,256.6,31.43,C11525
ORD-100160,2014-07-03,East,Massachusetts,Home Office,Furniture,2,0.1167,266.86,22.22,C10469
ORD-100161,2014-12-24,Central,Michigan,Corporate,Furniture,2,0.0516,408.44,18.17,C10768
ORD-100162,2017-01-25,South,Texas,Corporate,Furniture,2,0.2343,328.47,-12.9,C10712
ORD-100163,2015-04-25,South,Oklahoma,Consumer,Furniture,3,0.0468,515.17,110.2,C10139
ORD-100164,2017-03-23,Central,Illinois,Corporate,Office Supplies,3,0.2385,100.49,12.69,C11787
ORD-100165,2014-10-29,East,North Carolina,Corporate,Technology,2,0.0743,483.32,81.97,C11260
ORD-100166,2016-07-26,Central,Wisconsin,Home Office,Technology,4,0.0284,389.27,43.61,C12229
ORD-100167,2017-10-08,Central,Michigan,Consumer,Office Supplies,6,0.0907,303.02,91.04,C11966
ORD-100168,2016-05-21,Central,Missouri,Consumer,Furniture,3,0.1875,579.88,28.71,C13532
ORD-100169,2016-06-29,East,Virginia,Consumer,Office Supplies,3,0.1592,115.14,10.14,C12729
ORD-100170,2017-08-10,Central,Missouri,Corporate,Furniture,3,0.1291,689.92,69.55,C11531
ORD-100171,2014-08-17,Central,Ohio,Consumer,Furniture,2,0.0728,272.79,1.96,C12246
ORD-100172,2014-08-01,West,California,Consumer,Furniture,4,0.0451,1213.64,218.01,C11180
ORD-100173,2017-01-21,West,Utah,Home Office,Office Supplies,2,0.0981,207.38,35.91,C10173
ORD-100174,2014-11-03,Central,Kansas,Consumer,Furniture,1,0.007,269.15,14.14,C13869
ORD-100175,2016-09-04,West,Oregon,Consumer,Office Supplies,2,0.1318,103.83,24.78,C11484
ORD-100176,2017-11-29,South,Louisiana,Home Office,Furniture,5,0.1661,2043.49,120.47,C13707
ORD-100177,2014-04-27,West,Washington,Consumer,Office Supplies,3,0.1226,122.55,16.76,C12434
ORD-100178,2017-07-20,East,Pennsylvania,Consumer,Furniture,3,0.2364,619.35,23.78,C13662
ORD-100179,2016-06-07,South,Arkansas,Corporate,Office Supplies,2,0.1302,168.4,19.19,C12262
ORD-100180,2016-01-15,West,Colorado,Home Office,Furniture,2,0.3015,419.79,41.7,C12025
ORD-100181,2014-06-06,West,Colorado,Consumer,Technology,2,0.058,416.96,30.94,C11239
ORD-100182,2014-09-28,Central,Wisconsin,Consumer,Technology,4,0.1234,873.96,31.2,C11146
ORD-100183,2016-04-15,West,Idaho,Consumer,Technology,1,0.0433,285.7,61.37,C12721
ORD-100184,2016-04-04,Central,Michigan,Home Office,Furniture,1,0.0492,200.71,25.08,C13902
ORD-100185,2014-07-24,Central,Illinois,Home Office,Office Supplies,3,0.242,214.05,35.67,C12520
ORD-100186,2014-08-29,Central,Ohio,Consumer,Office Supplies,4,0.1109,262.22,58.78,C11546
ORD-100187,2016-10-01,South,Alabama,Corporate,Office Supplies,3,0.0315,147.5,32.54,C11443
ORD-100188,2014-11-04,Central,Minnesota,Corporate,Technology,3,0.1578,1039.17,84.71,C10095
ORD-100189,2017-07-09,South,Oklahoma,Consumer,Office Supplies,3,0.055,130.46,21.52,C10444
ORD-100190,2016-03-03,Central,Kansas,Consumer,Technology,6,0.1797,1231.3,103.42,C12841
ORD-100191,2016-06-28,West,Arizona,Home Office,Technology,2,0.052,668.85,92.12,C11951
ORD-100192,2017-11-30,South,Louisiana,Consumer,Office Supplies,2,0.0473,115.97,11.77,C12756
ORD-100193,2015-05-01,South,South Carolina,Consumer,Office Supplies,5,0.055,243.58,-30.48,C10189
ORD-100194,2014-12-23,Central,Kansas,Corporate,Furniture,4,0.0919,745.77,94.64,C12014
ORD-100195,2014-06-19,Central,Illinois,Consumer,Furniture,1,0.0375,275.9,33.89,C11404
ORD-100196,2014-01-03,West,Nevada,Consumer,Office Supplies,3,0.2421,136.13,16.66,C10583
ORD-100197,2014-09-10,South,Arkansas,Corporate,Office Supplies,2,0.0607,172.79,16.39,C12835
ORD-100198,2017-05-08,West,California,Consumer,Technology,2,0.1591,486.65,28.21,C10031
ORD-100199,2015-09-07,West,Idaho,Corporate,Office Supplies,2,0.0747,90.94,14.26,C11028
ORD-100200,2014-10-29,South,Tennessee,Consumer,Furniture,4,0.0178,488.56,44.97,C12426
ORD-100201,2017-05-04,East,Florida,Consumer,Furniture,2,0.0646,414.1,57.62,C13994
ORD-100202,2017-09-29,Central,Ohio,Corporate,Office Supplies,3,0.0743,135.17,20.51,C11117
ORD-100203,2015-05-11,South,Alabama,Consumer,Technology,2,0.1526,853.29,82.79,C13084
ORD-100204,2016-02-23,South,Alabama,Home Office,Technology,5,0.1252,1176.65,147.37,C10098
ORD-100205,2015-08-17,Central,Wisconsin,Consumer,Office Supplies,4,0.0492,209.89,23.35,C11408
ORD-100206,2017-08-17,West,Colorado,Consumer,Technology,1,0.0176,170.44,13.44,C10115
ORD-100207,2017-12-04,South,Louisiana,Consumer,Technology,5,0.0131,780.59,162.02,C10833
ORD-100208,2015-06-01,Central,Illinois,Corporate,Office Supplies,2,0.0857,104.6,-5.68,C11960
ORD-100209,2014-05-03,South,Oklahoma,Corporate,Technology,1,0.1874,244.81,21.51,C10629
ORD-100210,2016-10-18,Central,Kansas,Corporate,Office Supplies,1,0.0362,48.31,7.56,C12080
ORD-100211,2016-03-09,Central,Kansas,Corporate,Office Supplies,1,0.0833,56.36,8.65,C11452
ORD-100212,2015-01-03,Central,Iowa,Consumer,Office Supplies,2,0.1071,101.92,13.39,C13544
ORD-100213,2016-05-07,Central,Ohio,Corporate,Technology,3,0.0816,256.17,27.84,C12117
ORD-100214,2015-04-22,South,Kentucky,Consumer,Furniture,3,0.1414,1078.22,48.26,C13887
ORD-100215,2015-08-18,East,Pennsylvania,Consumer,Technology,4,0.1205,1424.84,145.61,C13639
ORD-100216,2015-05-19,West,California,Corporate,Furniture,3,0.0029,546.14,81.11,C11058
ORD-100217,2014-03-22,West,Oregon,Consumer,Office Supplies,3,0.0144,166.52,40.56,C12187
ORD-100218,2014-04-24,West,Colorado,Corporate,Office Supplies,4,0.0633,189.59,40.99,C13697
ORD-100219,2017-06-05,South,Louisiana,Corporate,Technology,6,0.0147,1968.7,334.31,C13403
ORD-100220,2015-06-30,South,South Carolina,Corporate,Office Supplies,5,0.0963,263.46,39.08,C11979
ORD-100221,2015-01-10,Central,Kansas,Consumer,Office Supplies,2,0.0874,132.4,-16.8,C10897
ORD-100222,2014-06-02,West,Oregon,Consumer,Office Supplies,3,0.0455,186.93,17.45,C13838
ORD-100223,2014-07-14,Central,Illinois,Consumer,Technology,4,0.0492,860.19,86.05,C13210
ORD-100224,2014-01-20,South,ALABAMA,Consumer,Furniture,1,0.0828,342.32,27.27,C12441
ORD-100225,2017-07-07,Central,Kansas,Corporate,Office Supplies,3,0.1094,151.74,21.4,C11552
ORD-100226,2014-07-19,South,Tennessee,Corporate,Office Supplies,4,0.1102,177.54,25.44,C13365
ORD-100227,2017-08-29,South,South Carolina,Corporate,Technology,3,0.077,542.05,68.19,C11951
ORD-100228,2014-08-05,East,New York,Consumer,Furniture,5,0.0822,1285.6,176.83,C10805
ORD-100229,2016-11-13,East,New Jersey,Home Office,Office Supplies,2,0.2908,142.18,15.14,C10451
ORD-100230,2015-08-12,Central,Iowa,Consumer,Office Supplies,1,0.0954,54.79,4.78,C10626
ORD-100231,2014-12-30,East,New Jersey,Home Office,Office Supplies,3,0.0462,232.4,36.2,C11480
ORD-100232,2017-11-22,West,Idaho,Consumer,Furniture,3,0.0106,622.75,45.81,C10068
ORD-100233,2015-04-09,Central,Illinois,Consumer,Technology,2,0.1852,684.03,7.27,C10596
ORD-100234,2016-10-03,East,North Carolina,Corporate,Furniture,3,0.1753,458.32,4.11,C11468
ORD-100235,2015-05-09,South,Texas,Corporate,Office Supplies,4,0.1362,217.91,27.97,C11345
ORD-100236,2014-10-25,East,Georgia,Corporate,Technology,4,0.14,1160.83,181.46,C13816
ORD-100237,2017-01-04,West,Arizona,Consumer,Furniture,4,0.0552,640.38,74.84,C11012
ORD-100238,2015-01-15,East,Pennsylvania,Home Office,Furniture,2,0.0882,239.53,-0.92,C10020
ORD-100239,2014-10-18,Central,Kansas,Consumer,Office Supplies,3,0.1966,90.19,15.43,C12459
ORD-100240,2016-07-05,Central,Missouri,Corporate,Technology,1,0.0129,234.07,34.35,C11157
ORD-100241,2016-12-24,East,New Jersey,Corporate,Office Supplies,4,0.1925,154.3,23.2,C11604
ORD-100242,2017-07-31,Central,Missouri,Consumer,Technology,4,0.0786,897.07,94.38,C10368
ORD-100243,2014-02-28,South,Arkansas,Consumer,Technology,1,0.0274,273.65,31.74,C10189
ORD-100244,2017-04-15,Central,Michigan,Consumer,Furniture,1,0.1435,198.16,1.93,C12705
ORD-100245,2015-09-08,West,Utah,Consumer,Office Supplies,4,0.1538,278.17,50.13,C13239
ORD-100246,2016-07-13,Central,Ohio,Consumer,Furniture,5,0.0479,1528.68,77.11,C10519
ORD-100247,2016-06-18,West,California,Home Office,Office Supplies,1,0.0534,36.11,7.47,C10027
ORD-100248,2016-05-08,South,Kentucky,Corporate,Technology,3,0.2896,466.55,-5.09,C10186
ORD-100249,2014-07-25,West,Washington,Home Office,Furniture,1,,135.51,2.78,C11139
ORD-100250,2017-01-16,West,Nevada,Home Office,Office Supplies,2,0.1196,114.05,23.96,C13255
ORD-100251,2014-04-24,Central,Kansas,Corporate,Office Supplies,4,0.1816,257.57,42.06,C12168
ORD-100252,2016-02-02,West,California,Home Office,Office Supplies,7,0.1021,550.69,-21.56,C13263
ORD-100253,2014-08-17,West,Oregon,Consumer,Office Supplies,3,0.1333,131.72,22.69,C13547
ORD-100254,2017-01-06,South,Oklahoma,Consumer,Office Supplies,4,0.1228,177.58,26.85,C11766
ORD-100255,2015-01-27,Central,Missouri,Corporate,Office Supplies,3,0.0803,190.61,44.76,C13496
ORD-100256,2017-03-01,Central,Kansas,Consumer,Office Supplies,2,0.0308,135.66,23.17,C11297
ORD-100257,2015-11-30,Central,Iowa,Consumer,Furniture,6,0.0539,547.14,-38.01,C13684
ORD-100258,2017-10-23,East,New York,Consumer,Furniture,3,0.2213,773.34,89.25,C10709
ORD-100259,2014-11-26,West,Nevada,Corporate,Furniture,3,0.0524,897.37,121.18,C10697
ORD-100260,2017-06-06,West,Colorado,Corporate,Office Supplies,2,0.1052,155.01,30.02,C12700
ORD-100261,2016-09-28,West,Colorado,Consumer,Furniture,4,0.1771,1105.68,60.51,C10680
ORD-100262,2016-09-02,West,Oregon,Consumer,Technology,5,0.1336,1380.78,39.25,C12287
ORD-100263,2014-08-11,South,Kentucky,Consumer,Technology,1,0.1652,227.98,26.43,C11100
ORD-100264,2016-10-26,South,Louisiana,Corporate,Office Supplies,4,0.2371,261.34,31.03,C11423
ORD-100265,2015-03-19,South,Kentucky,Consumer,Technology,3,0.0173,464.06,61.68,C13638
ORD-100266,2016-07-27,East,North Carolina,Consumer,Office Supplies,5,0.0669,193.55,40.02,C12001
ORD-100267,2015-12-08,South,Louisiana,Consumer,Furniture,2,0.2221,277.43,32.71,C10321
ORD-100268,2016-01-26,Central,Ohio,Consumer,Furniture,3,0.0377,804.85,22.24,C10216
ORD-100269,2015-10-01,South,Oklahoma,Corporate,Furniture,2,0.071,225.91,8.55,C10756
ORD-100270,2015-10-01,West,Utah,Consumer,Technology,1,0.098,354.71,62.45,C13467
ORD-100271,2016-12-16,East,Massachusetts,Consumer,Office Supplies,3,0.0578,181.87,41.65,C12154
